Codes;Names;Borough;Population;Hectares;Square Kilometres;Population per hectare;Population per square kilometre;;Census population (2011);Population per hectare
E05000323;Upminster;Havering;14,689;2253.4;22.5;6.5;652;;12,833;5.7
E05000324;Barnhill;Hillingdon;13,904;211.9;2.1;65.6;6,562;;13,449;63.5
E05000325;Botwell;Hillingdon;13,989;437.2;4.4;32.0;3,200;;15,034;34.4
E05000326;Brunel;Hillingdon;25,476;327.7;3.3;77.7;7,774;;13,841;42.2
E05000327;Cavendish;Hillingdon;14,266;201.3;2.0;70.9;7,087;;11,658;57.9
E05000328;Charville;Hillingdon;12,790;297.3;3.0;43.0;4,302;;12,622;42.5
E05000329;Eastcote and East Ruislip;Hillingdon;12,961;405.8;4.1;31.9;3,194;;12,142;29.9
E05000330;Harefield;Hillingdon;14,861;1522.4;15.2;9.8;976;;7,399;4.9
E05000331;Heathrow Villages;Hillingdon;7,822;2352.5;23.5;3.3;332;;12,199;5.2
E05000332;Hillingdon East;Hillingdon;13,787;359.4;3.6;38.4;3,836;;12,906;35.9
E05000333;Ickenham;Hillingdon;13,978;620.7;6.2;22.5;2,252;;10,387;16.7
E05000334;Manor;Hillingdon;11,180;197.4;2.0;56.6;5,664;;11,442;58.0
E05000335;Northwood;Hillingdon;12,516;740.6;7.4;16.9;1,690;;10,469;14.1
E05000336;Northwood Hills;Hillingdon;11,536;332.8;3.3;34.7;3,466;;11,578;34.8
E05000337;Pinkwell;Hillingdon;12,659;274.4;2.7;46.1;4,613;;14,767;53.8
E05000338;South Ruislip;Hillingdon;16,274;741.1;7.4;22.0;2,196;;12,364;16.7
E05000339;Townfield;Hillingdon;13,849;349.8;3.5;39.6;3,959;;14,106;40.3
E05000340;Uxbridge North;Hillingdon;17,924;463.3;4.6;38.7;3,869;;12,048;26.0
E05000341;Uxbridge South;Hillingdon;18,051;311.7;3.1;57.9;5,791;;13,979;44.8
E05000342;West Drayton;Hillingdon;16,075;349;3.5;46.1;4,606;;14,370;41.2
E05000343;West Ruislip;Hillingdon;19,074;439;4.4;43.4;4,345;;10,611;24.2
E05000344;Yeading;Hillingdon;12,463;233.2;2.3;53.4;5,344;;13,586;58.3
E05000345;Yiewsley;Hillingdon;14,976;401.3;4.0;37.3;3,732;;12,979;32.3
E05000346;Bedfont;Hounslow;15,986;444.7;4.4;35.9;3,595;;12,701;28.6
E05000347;Brentford;Hounslow;13,523;318.7;3.2;42.4;4,243;;14,353;45.0
E05000348;Chiswick Homefields;Hounslow;19,474;225.6;2.3;86.3;8,632;;11,346;50.3
E05000349;Chiswick Riverside;Hounslow;12,018;208.1;2.1;57.8;5,775;;11,543;55.5
E05000350;Cranford;Hounslow;11,867;272.3;2.7;43.6;4,358;;12,330;45.3
E05000351;Feltham North;Hounslow;13,358;338.4;3.4;39.5;3,947;;11,563;34.2
E05000352;Feltham West;Hounslow;12,994;318.2;3.2;40.8;4,084;;15,541;48.8
E05000353;Hanworth;Hounslow;16,214;325.1;3.3;49.9;4,987;;12,155;37.4
E05000354;Hanworth Park;Hounslow;12,174;364.1;3.6;33.4;3,344;;11,408;31.3
E05000355;Heston Central;Hounslow;12,730;168.5;1.7;75.5;7,555;;12,288;72.9
E05000356;Heston East;Hounslow;13,622;200.4;2.0;68.0;6,797;;12,319;61.5
E05000357;Heston West;Hounslow;14,415;383;3.8;37.6;3,764;;12,438;32.5
E05000358;Hounslow Central;Hounslow;13,143;173.6;1.7;75.7;7,571;;15,169;87.4
E05000359;Hounslow Heath;Hounslow;21,737;278.7;2.8;78.0;7,799;;14,727;52.8
E05000360;Hounslow South;Hounslow;16,387;179.3;1.8;91.4;9,139;;11,408;63.6
E05000361;Hounslow West;Hounslow;12,342;162.1;1.6;76.1;7,614;;12,658;78.1
E05000362;Isleworth;Hounslow;15,765;203.1;2.0;77.6;7,762;;11,977;59.0
E05000363;Osterley and Spring Grove;Hounslow;12,936;633.7;6.3;20.4;2,041;;13,031;20.6
E05000364;Syon;Hounslow;14,303;285.2;2.9;50.2;5,015;;13,554;47.5
E05000365;Turnham Green;Hounslow;17,990;176.6;1.8;101.9;10,187;;11,448;64.8
E05000366;Barnsbury;Islington;12,366;83;0.8;149.0;14,899;;12,201;147.0
E05000367;Bunhill;Islington;14,155;108.9;1.1;130.0;12,998;;14,639;134.4
E05000368;Caledonian;Islington;19,971;113.8;1.1;175.5;17,549;;13,896;122.1
E05000369;Canonbury;Islington;16,869;80.7;0.8;209.0;20,903;;12,072;149.6
E05000370;Clerkenwell;Islington;13,521;93.5;0.9;144.6;14,461;;11,490;122.9
E05000371;Finsbury Park;Islington;13,313;91.6;0.9;145.3;14,534;;14,358;156.7
E05000372;Highbury East;Islington;17,263;100.4;1.0;171.9;17,194;;11,634;115.9
E05000373;Highbury West;Islington;14,060;108.2;1.1;129.9;12,994;;15,030;138.9
E05000374;Hillrise;Islington;19,003;82.5;0.8;230.3;23,034;;11,794;143.0
E05000375;Holloway;Islington;13,484;100.9;1.0;133.6;13,364;;14,983;148.5
E05000376;Junction;Islington;17,223;102.8;1.0;167.5;16,754;;12,025;117.0
E05000377;Mildmay;Islington;13,496;82.6;0.8;163.4;16,339;;12,917;156.4
E05000378;St. George's;Islington;14,714;84.6;0.8;173.9;17,392;;12,400;146.6
E05000379;St. Mary's;Islington;14,509;86.9;0.9;167.0;16,696;;11,553;132.9
E05000380;St. Peter's;Islington;13,724;81;0.8;169.4;16,943;;11,822;146.0
E05000381;Tollington;Islington;15,808;84.7;0.8;186.6;18,664;;13,311;157.2
E05000382;Abingdon;Kensington and Chelsea;14,725;62.9;0.6;234.1;23,410;;10,013;159.2
E05000383;Brompton;Kensington and Chelsea;11,795;95.5;1.0;123.5;12,351;;8,839;92.6
E05000384;Campden;Kensington and Chelsea;9,171;91.2;0.9;100.6;10,056;;8,178;89.7
E05000385;Colville;Kensington and Chelsea;8,575;39.1;0.4;219.3;21,931;;8,377;214.2
E05000386;Courtfield;Kensington and Chelsea;8,161;48.2;0.5;169.3;16,932;;8,933;185.3
E05000387;Cremorne;Kensington and Chelsea;8,558;61.2;0.6;139.8;13,984;;7,964;130.1
E05000388;Earl's Court;Kensington and Chelsea;8,267;45.9;0.5;180.1;18,011;;9,104;198.3
E05000389;Golborne;Kensington and Chelsea;10,617;94.9;0.9;111.9;11,188;;8,937;94.2
E05000390;Hans Town;Kensington and Chelsea;9,683;55.2;0.6;175.4;17,542;;8,792;159.3
E05000391;Holland;Kensington and Chelsea;8,789;103.9;1.0;84.6;8,459;;9,767;94.0
E05000392;Norland;Kensington and Chelsea;9,884;72.7;0.7;136.0;13,596;;8,675;119.3
E05000393;Notting Barns;Kensington and Chelsea;8,625;62.3;0.6;138.4;13,844;;9,537;153.1
E05000394;Pembridge;Kensington and Chelsea;9,341;48.8;0.5;191.4;19,141;;7,659;156.9
E05000395;Queen's Gate;Kensington and Chelsea;7,604;60.5;0.6;125.7;12,569;;9,847;162.8
E05000396;Redcliffe;Kensington and Chelsea;9,791;69.4;0.7;141.1;14,108;;9,245;133.2
E05000397;Royal Hospital;Kensington and Chelsea;9,365;90.1;0.9;103.9;10,394;;7,252;80.5
E05000398;St. Charles;Kensington and Chelsea;7,214;70.9;0.7;101.7;10,175;;9,343;131.8
E05000399;Stanley;Kensington and Chelsea;8,994;66.3;0.7;135.7;13,566;;8,187;123.5
E05000400;Alexandra;Kingston upon Thames;8,012;267.7;2.7;29.9;2,993;;9,246;34.5
E05000401;Berrylands;Kingston upon Thames;11,224;145.2;1.5;77.3;7,730;;9,437;65.0
E05000402;Beverley;Kingston upon Thames;11,145;188;1.9;59.3;5,928;;10,109;53.8
E05000403;Canbury;Kingston upon Thames;11,913;124.1;1.2;96.0;9,600;;12,373;99.7
E05000404;Chessington North and Hook;Kingston upon Thames;16,499;192.9;1.9;85.5;8,553;;8,741;45.3
E05000405;Chessington South;Kingston upon Thames;9,410;755.2;7.6;12.5;1,246;;10,232;13.5
E05000406;Coombe Hill;Kingston upon Thames;11,162;441;4.4;25.3;2,531;;10,357;23.5
E05000407;Coombe Vale;Kingston upon Thames;11,277;164.7;1.6;68.5;6,847;;9,750;59.2
E05000408;Grove;Kingston upon Thames;10,660;192;1.9;55.5;5,552;;10,955;57.1
E05000409;Norbiton;Kingston upon Thames;13,882;134.8;1.3;103.0;10,298;;10,107;75.0
E05000410;Old Malden;Kingston upon Thames;11,937;180.5;1.8;66.1;6,613;;9,431;52.2
E05000411;St. James;Kingston upon Thames;10,740;216.7;2.2;49.6;4,956;;8,969;41.4
E05000412;St. Mark's;Kingston upon Thames;9,945;137.6;1.4;72.3;7,227;;10,483;76.2
E05000413;Surbiton Hill;Kingston upon Thames;12,580;166.4;1.7;75.6;7,560;;10,459;62.9
E05000414;Tolworth and Hook Rise;Kingston upon Thames;11,736;259.5;2.6;45.2;4,523;;9,833;37.9
E05000415;Tudor;Kingston upon Thames;12,026;158.3;1.6;76.0;7,597;;9,578;60.5
E05000416;Bishop's;Lambeth;10,298;153.4;1.5;67.1;6,713;;9,675;63.1
E05000417;Brixton Hill;Lambeth;11,601;112.9;1.1;102.8;10,275;;15,842;140.3
E05000418;Clapham Common;Lambeth;17,180;134.3;1.3;127.9;12,792;;12,852;95.7
E05000419;Clapham Town;Lambeth;14,666;112;1.1;130.9;13,095;;13,795;123.2
E05000420;Coldharbour;Lambeth;15,431;120.8;1.2;127.7;12,774;;16,784;138.9
E05000421;Ferndale;Lambeth;18,610;85.3;0.9;218.2;21,817;;15,032;176.2
E05000422;Gipsy Hill;Lambeth;17,587;157;1.6;112.0;11,202;;13,712;87.3
E05000423;Herne Hill;Lambeth;14,991;203.2;2.0;73.8;7,377;;15,107;74.3
E05000424;Knight's Hill;Lambeth;16,823;147.3;1.5;114.2;11,421;;14,763;100.2
E05000425;Larkhall;Lambeth;15,645;105.9;1.1;147.7;14,773;;17,243;162.8
E05000426;Oval;Lambeth;19,905;127.5;1.3;156.1;15,612;;15,106;118.5
E05000427;Prince's;Lambeth;19,718;116.2;1.2;169.7;16,969;;14,262;122.7
E05000428;St. Leonard's;Lambeth;17,316;144.9;1.4;119.5;11,950;;14,550;100.4
E05000429;Stockwell;Lambeth;16,526;86.9;0.9;190.2;19,017;;14,777;170.0
E05000430;Streatham Hill;Lambeth;15,991;127.3;1.3;125.6;12,562;;14,263;112.0
E05000431;Streatham South;Lambeth;16,276;169.8;1.7;95.9;9,585;;14,336;84.4
E05000432;Streatham Wells;Lambeth;14,994;145.1;1.5;103.3;10,334;;14,906;102.7
E05000433;Thornton;Lambeth;17,275;108.3;1.1;159.5;15,951;;12,526;115.7
E05000434;Thurlow Park;Lambeth;15,397;151.5;1.5;101.6;10,163;;13,641;90.0
E05000435;Tulse Hill;Lambeth;14,636;102.9;1.0;142.2;14,224;;15,771;153.3
E05000436;Vassall;Lambeth;16,326;112.9;1.1;144.6;14,461;;14,143;125.3
E05000437;Bellingham;Lewisham;17,087;308.5;3.1;55.4;5,539;;14,775;47.9
E05000438;Blackheath;Lewisham;16,287;231.3;2.3;70.4;7,042;;14,039;60.7
E05000439;Brockley;Lewisham;15,815;168.6;1.7;93.8;9,380;;17,156;101.8
E05000440;Catford South;Lewisham;19,249;186.8;1.9;103.0;10,305;;15,214;81.4
E05000441;Crofton Park;Lewisham;15,806;172.1;1.7;91.8;9,184;;14,937;86.8
E05000442;Downham;Lewisham;15,974;238.9;2.4;66.9;6,686;;14,567;61.0
E05000443;Evelyn;Lewisham;15,644;177.4;1.8;88.2;8,818;;16,603;93.6
E05000444;Forest Hill;Lewisham;26,093;182.8;1.8;142.7;14,274;;14,854;81.3
E05000445;Grove Park;Lewisham;17,171;239.2;2.4;71.8;7,179;;14,648;61.2
E05000446;Ladywell;Lewisham;15,630;160.9;1.6;97.1;9,714;;14,515;90.2
E05000447;Lee Green;Lewisham;15,436;180.9;1.8;85.3;8,533;;14,573;80.6
E05000448;Lewisham Central;Lewisham;16,521;205.6;2.1;80.4;8,036;;17,446;84.9
E05000449;New Cross;Lewisham;26,443;181.7;1.8;145.5;14,553;;15,756;86.7
E05000450;Perry Vale;Lewisham;21,390;168.4;1.7;127.0;12,702;;15,618;92.7
E05000451;Rushey Green;Lewisham;16,767;178.1;1.8;94.1;9,414;;14,916;83.8
E05000452;Sydenham;Lewisham;18,225;174.5;1.7;104.4;10,444;;15,605;89.4
E05000453;Telegraph Hill;Lewisham;16,912;154.4;1.5;109.5;10,953;;16,414;106.3
E05000454;Whitefoot;Lewisham;18,391;222.4;2.2;82.7;8,269;;14,249;64.1
E05000455;Abbey;Merton;15,666;139.3;1.4;112.5;11,246;;10,323;74.1
E05000456;Cannon Hill;Merton;11,056;222.4;2.2;49.7;4,971;;9,249;41.6
E05000457;Colliers Wood;Merton;9,859;111.1;1.1;88.7;8,874;;10,712;96.4
E05000458;Cricket Green;Merton;11,656;299.7;3.0;38.9;3,889;;11,474;38.3
E05000459;Dundonald;Merton;12,617;115.1;1.2;109.6;10,962;;9,275;80.6
E05000460;Figge's Marsh;Merton;10,101;114.3;1.1;88.4;8,837;;11,240;98.3
E05000461;Graveney;Merton;12,501;88.4;0.9;141.4;14,141;;9,816;111.0
E05000462;Hillside;Merton;10,262;118.4;1.2;86.7;8,667;;8,977;75.8
E05000463;Lavender Fields;Merton;9,433;118;1.2;79.9;7,994;;10,273;87.1
E05000464;Longthornton;Merton;12,017;148.1;1.5;81.1;8,114;;10,024;67.7
E05000465;Lower Morden;Merton;10,829;180.8;1.8;59.9;5,989;;9,090;50.3
E05000466;Merton Park;Merton;8,904;181.7;1.8;49.0;4,900;;9,485;52.2
E05000467;Pollards Hill;Merton;10,699;215.9;2.2;49.6;4,956;;10,287;47.6
E05000468;Ravensbury;Merton;10,706;183.8;1.8;58.2;5,825;;9,968;54.2
E05000469;Raynes Park;Merton;11,033;185.3;1.9;59.5;5,954;;9,738;52.6
E05000470;St. Helier;Merton;10,334;184.2;1.8;56.1;5,610;;10,414;56.5
E05000471;Trinity;Merton;11,582;107.4;1.1;107.8;10,784;;9,798;91.2
E05000472;Village;Merton;10,348;621.8;6.2;16.6;1,664;;8,491;13.7
E05000473;West Barnes;Merton;8,538;195.1;2.0;43.8;4,376;;9,862;50.5
E05000474;Wimbledon Park;Merton;11,084;230;2.3;48.2;4,819;;11,197;48.7
E05000475;Beckton;Newham;13,102;625.6;6.3;20.9;2,094;;15,141;24.2
E05000476;Boleyn;Newham;18,047;91.6;0.9;197.0;19,702;;15,982;174.5
E05000477;Canning Town North;Newham;18,963;252.3;2.5;75.2;7,516;;14,810;58.7
E05000478;Canning Town South;Newham;20,128;181.7;1.8;110.8;11,078;;15,996;88.0
E05000479;Custom House;Newham;23,477;206.3;2.1;113.8;11,380;;13,411;65.0
E05000480;East Ham Central;Newham;14,143;103.9;1.0;136.1;13,612;;15,917;153.2
E05000481;East Ham North;Newham;17,039;90.4;0.9;188.5;18,848;;13,866;153.4
E05000482;East Ham South;Newham;14,074;181.2;1.8;77.7;7,767;;15,575;86.0
E05000483;Forest Gate North;Newham;16,062;124.6;1.2;128.9;12,891;;16,257;130.5
E05000484;Forest Gate South;Newham;16,388;119.2;1.2;137.5;13,748;;17,362;145.7
E05000485;Green Street East;Newham;18,488;74.3;0.7;248.8;24,883;;15,885;213.8
E05000486;Green Street West;Newham;17,217;80.5;0.8;213.9;21,388;;15,113;187.7
E05000487;Little Ilford;Newham;16,236;189.9;1.9;85.5;8,550;;16,633;87.6
E05000488;Manor Park;Newham;17,406;135;1.4;128.9;12,893;;15,318;113.5
E05000489;Plaistow North;Newham;15,527;98.1;1.0;158.3;15,828;;15,470;157.7
E05000490;Plaistow South;Newham;16,438;138.6;1.4;118.6;11,860;;16,404;118.4
E05000491;Royal Docks;Newham;17,636;479.3;4.8;36.8;3,680;;10,679;22.3
E05000492;Stratford and New Town;Newham;20,983;423.7;4.2;49.5;4,952;;17,768;41.9
E05000493;Wall End;Newham;39,891;137.9;1.4;289.3;28,927;;14,846;107.7
E05000494;West Ham;Newham;15,747;133.5;1.3;118.0;11,796;;15,551;116.5
E05000495;Aldborough;Redbridge;16,116;861.2;8.6;18.7;1,871;;14,544;16.9
E05000496;Barkingside;Redbridge;17,044;152.7;1.5;111.6;11,162;;12,609;82.6
E05000497;Bridge;Redbridge;13,987;257.9;2.6;54.2;5,423;;11,658;45.2
E05000498;Chadwell;Redbridge;12,472;151.4;1.5;82.4;8,238;;14,257;94.2
E05000499;Church End;Redbridge;16,520;149.2;1.5;110.7;11,072;;11,516;77.2
E05000500;Clayhall;Redbridge;13,217;249.1;2.5;53.1;5,306;;13,241;53.2
E05000501;Clementswood;Redbridge;13,568;127.1;1.3;106.8;10,675;;14,666;115.4
E05000502;Cranbrook;Redbridge;20,959;240.6;2.4;87.1;8,711;;12,780;53.1
E05000503;Fairlop;Redbridge;13,925;359.4;3.6;38.7;3,875;;12,630;35.1
E05000504;Fullwell;Redbridge;13,897;218.5;2.2;63.6;6,360;;12,910;59.1
E05000505;Goodmayes;Redbridge;13,702;164.8;1.6;83.1;8,314;;13,069;79.3
E05000506;Hainault;Redbridge;14,580;564.2;5.6;25.8;2,584;;12,953;23.0
E05000507;Loxford;Redbridge;13,770;128.7;1.3;107.0;10,699;;16,544;128.5
E05000508;Mayfield;Redbridge;22,246;188.4;1.9;118.1;11,808;;13,672;72.6
E05000509;Monkhams;Redbridge;14,575;307.5;3.1;47.4;4,740;;10,422;33.9
E05000510;Newbury;Redbridge;11,492;211.7;2.1;54.3;5,428;;16,760;79.2
E05000511;Roding;Redbridge;18,905;234.4;2.3;80.7;8,065;;12,044;51.4
E05000512;Seven Kings;Redbridge;13,122;208.2;2.1;63.0;6,303;;15,164;72.8
E05000513;Snaresbrook;Redbridge;18,986;198.6;2.0;95.6;9,560;;11,865;59.7
E05000514;Valentines;Redbridge;13,184;150.2;1.5;87.8;8,778;;14,123;94.0
E05000515;Wanstead;Redbridge;17,240;519.8;5.2;33.2;3,317;;11,543;22.2
E05000516;Barnes;Richmond upon Thames;12,624;301;3.0;41.9;4,194;;10,299;34.2
E05000517;East Sheen;Richmond upon Thames;10,371;583.5;5.8;17.8;1,777;;10,348;17.7
E05000518;Fulwell and Hampton Hill;Richmond upon Thames;11,515;191.8;1.9;60.0;6,004;;10,131;52.8
E05000519;Ham, Petersham & Richmond Riverside;Richmond upon Thames;11,220;944.6;9.4;11.9;1,188;;10,317;10.9
E05000520;Hampton;Richmond upon Thames;11,205;687.7;6.9;16.3;1,629;;9,985;14.5
E05000521;Hampton North;Richmond upon Thames;10,889;195;2.0;55.8;5,584;;9,387;48.1
E05000522;Hampton Wick;Richmond upon Thames;9,712;274.6;2.7;35.4;3,537;;10,221;37.2
E05000523;Heathfield;Richmond upon Thames;11,565;191.2;1.9;60.5;6,049;;10,313;53.9
E05000524;Kew;Richmond upon Thames;11,205;357.5;3.6;31.3;3,134;;11,436;32.0
E05000525;Mortlake and Barnes Common;Richmond upon Thames;12,285;193.8;1.9;63.4;6,339;;10,919;56.3
E05000526;North Richmond;Richmond upon Thames;12,126;280;2.8;43.3;4,331;;10,649;38.0
E05000527;St. Margarets & North Twickenham;Richmond upon Thames;12,319;200.6;2.0;61.4;6,141;;11,172;55.7
E05000528;South Richmond;Richmond upon Thames;13,353;269.2;2.7;49.6;4,960;;10,820;40.2
E05000529;South Twickenham;Richmond upon Thames;11,547;172.7;1.7;66.9;6,686;;9,987;57.8
E05000530;Teddington;Richmond upon Thames;10,773;429.6;4.3;25.1;2,508;;10,330;24.0
E05000531;Twickenham Riverside;Richmond upon Thames;11,438;196.2;2.0;58.3;5,830;;10,396;53.0
E05000532;West Twickenham;Richmond upon Thames;11,324;245.6;2.5;46.1;4,611;;10,528;42.9
E05000533;Whitton;Richmond upon Thames;11,378;162.3;1.6;70.1;7,010;;9,752;60.1
E05000534;Brunswick Park;Southwark;10,826;93.5;0.9;115.8;11,579;;13,174;140.9
E05000535;Camberwell Green;Southwark;13,803;97.5;1.0;141.6;14,157;;15,032;154.2
E05000536;Cathedrals;Southwark;16,900;176.3;1.8;95.9;9,586;;14,941;84.7
E05000537;Chaucer;Southwark;21,668;82.3;0.8;263.3;26,328;;15,178;184.4
E05000538;College;Southwark;16,160;323.4;3.2;50.0;4,997;;11,812;36.5
E05000539;East Dulwich;Southwark;12,736;101.9;1.0;125.0;12,499;;12,321;120.9
E05000540;East Walworth;Southwark;13,719;114.4;1.1;119.9;11,992;;11,557;101.0
E05000541;Faraday;Southwark;16,030;87.7;0.9;182.8;18,278;;12,839;146.4
E05000542;Grange;Southwark;14,516;120.5;1.2;120.5;12,046;;15,362;127.5
E05000543;Livesey;Southwark;19,215;143.6;1.4;133.8;13,381;;14,129;98.4
E05000544;Newington;Southwark;18,067;83.2;0.8;217.2;21,715;;14,136;169.9
E05000545;Nunhead;Southwark;15,616;132.2;1.3;118.1;11,812;;13,620;103.0
E05000546;Peckham;Southwark;14,866;87.2;0.9;170.5;17,048;;14,720;168.8
E05000547;Peckham Rye;Southwark;16,038;225.3;2.3;71.2;7,119;;13,518;60.0
E05000548;Riverside;Southwark;14,643;133.2;1.3;109.9;10,993;;14,390;108.0
E05000549;Rotherhithe;Southwark;17,500;149.2;1.5;117.3;11,729;;13,743;92.1
E05000550;South Bermondsey;Southwark;17,422;97.3;1.0;179.1;17,905;;13,780;141.6
E05000551;South Camberwell;Southwark;15,196;133.1;1.3;114.2;11,417;;12,629;94.9
E05000552;Surrey Docks;Southwark;13,276;190.1;1.9;69.8;6,984;;13,435;70.7
E05000553;The Lane;Southwark;17,285;139;1.4;124.4;12,435;;15,565;112.0
E05000554;Village;Southwark;17,139;278.8;2.8;61.5;6,147;;12,402;44.5
E05000555;Beddington North;Sutton;13,029;498;5.0;26.2;2,616;;10,309;20.7
E05000556;Beddington South;Sutton;10,848;306.1;3.1;35.4;3,544;;10,667;34.8
E05000557;Belmont;Sutton;11,360;233.7;2.3;48.6;4,861;;10,048;43.0
E05000558;Carshalton Central;Sutton;10,935;202.7;2.0;53.9;5,395;;10,039;49.5
E05000559;Carshalton South and Clockhouse;Sutton;11,473;705.6;7.1;16.3;1,626;;9,715;13.8
E05000560;Cheam;Sutton;10,973;393.8;3.9;27.9;2,786;;10,285;26.1
E05000561;Nonsuch;Sutton;11,449;190.6;1.9;60.1;6,007;;10,641;55.8
E05000562;St. Helier;Sutton;11,597;150;1.5;77.3;7,731;;11,949;79.7
E05000563;Stonecot;Sutton;12,512;198.1;2.0;63.2;6,316;;10,712;54.1
E05000564;Sutton Central;Sutton;11,331;131;1.3;86.5;8,650;;10,993;83.9
E05000565;Sutton North;Sutton;14,326;187.5;1.9;76.4;7,641;;10,355;55.2
E05000566;Sutton South;Sutton;12,305;127.2;1.3;96.7;9,674;;9,599;75.5
E05000567;Sutton West;Sutton;10,691;177.9;1.8;60.1;6,010;;10,536;59.2
E05000568;The Wrythe;Sutton;11,761;148.2;1.5;79.4;7,936;;10,163;68.6
E05000569;Wallington North;Sutton;11,763;161.7;1.6;72.7;7,275;;10,650;65.9
E05000570;Wallington South;Sutton;12,247;171.9;1.7;71.2;7,124;;10,200;59.3
E05000571;Wandle Valley;Sutton;11,416;205.5;2.1;55.6;5,555;;11,630;56.6
E05000572;Worcester Park;Sutton;14,792;195.7;2.0;75.6;7,559;;11,655;59.6
E05000573;Bethnal Green North;Tower Hamlets;13,448;82.3;0.8;163.4;16,340;;13,683;166.3
E05000574;Bethnal Green South;Tower Hamlets;15,299;88.1;0.9;173.7;17,365;;14,166;160.8
E05000575;Blackwall and Cubitt Town;Tower Hamlets;15,082;296.7;3.0;50.8;5,083;;19,461;65.6
E05000576;Bow East;Tower Hamlets;38,110;185.8;1.9;205.1;20,511;;14,781;79.6
E05000577;Bow West;Tower Hamlets;20,700;134.7;1.3;153.7;15,367;;12,939;96.1
E05000578;Bromley-by-Bow;Tower Hamlets;13,746;107.4;1.1;128.0;12,799;;14,480;134.8
E05000579;East India and Lansbury;Tower Hamlets;21,852;122.4;1.2;178.5;17,853;;14,859;121.4
E05000580;Limehouse;Tower Hamlets;22,473;114.2;1.1;196.8;19,679;;15,986;140.0
E05000581;Mile End and Globe Town;Tower Hamlets;19,115;90;0.9;212.4;21,239;;15,190;168.8
E05000582;Mile End East;Tower Hamlets;15,571;107;1.1;145.5;14,552;;13,354;124.8
E05000583;Millwall;Tower Hamlets;17,854;245.8;2.5;72.6;7,264;;23,084;93.9
E05000584;St. Dunstan's and Stepney Green;Tower Hamlets;37,193;101.8;1.0;365.4;36,535;;16,238;159.5
E05000585;St. Katherine's and Wapping;Tower Hamlets;18,693;150.6;1.5;124.1;12,412;;12,411;82.4
E05000586;Shadwell;Tower Hamlets;16,015;96.3;1.0;166.3;16,630;;15,110;156.9
E05000587;Spitalfields and Banglatown;Tower Hamlets;15,653;63.8;0.6;245.3;24,534;;10,286;161.2
E05000588;Weavers;Tower Hamlets;11,501;77.9;0.8;147.6;14,764;;13,206;169.5
E05000589;Whitechapel;Tower Hamlets;15,015;91.8;0.9;163.6;16,356;;14,862;161.9
E05000590;Cann Hall;Waltham Forest;20,962;86;0.9;243.7;24,374;;13,799;160.5
E05000591;Cathall;Waltham Forest;14,346;105.7;1.1;135.7;13,572;;12,700;120.2
E05000592;Chapel End;Waltham Forest;13,933;184.2;1.8;75.6;7,564;;14,086;76.5
E05000593;Chingford Green;Waltham Forest;15,883;372.8;3.7;42.6;4,260;;10,287;27.6
E05000594;Endlebury;Waltham Forest;11,052;195.9;2.0;56.4;5,642;;10,730;54.8
E05000595;Forest;Waltham Forest;11,863;198.5;2.0;59.8;5,976;;12,609;63.5
E05000596;Grove Green;Waltham Forest;13,254;89.8;0.9;147.6;14,759;;14,604;162.6
E05000597;Hale End and Highams Park;Waltham Forest;16,271;235;2.4;69.2;6,924;;11,355;48.3
E05000598;Hatch Lane;Waltham Forest;13,192;241.8;2.4;54.6;5,456;;11,058;45.7
E05000599;High Street;Waltham Forest;11,563;306.1;3.1;37.8;3,778;;14,127;46.2
E05000600;Higham Hill;Waltham Forest;16,819;322.2;3.2;52.2;5,220;;13,194;40.9
E05000601;Hoe Street;Waltham Forest;17,106;109.7;1.1;155.9;15,593;;13,912;126.8
E05000602;Larkswood;Waltham Forest;15,372;206.9;2.1;74.3;7,430;;11,337;54.8
E05000603;Lea Bridge;Waltham Forest;12,625;264.5;2.6;47.7;4,773;;15,671;59.2
E05000604;Leyton;Waltham Forest;18,335;203.6;2.0;90.1;9,005;;14,184;69.7
E05000605;Leytonstone;Waltham Forest;18,198;131;1.3;138.9;13,892;;12,879;98.3
E05000606;Markhouse;Waltham Forest;13,512;145.4;1.5;92.9;9,293;;13,636;93.8
E05000607;Valley;Waltham Forest;16,933;198.1;2.0;85.5;8,548;;11,444;57.8
E05000608;William Morris;Waltham Forest;12,255;99.9;1.0;122.7;12,267;;13,269;132.8
E05000609;Wood Street;Waltham Forest;17,445;184.5;1.8;94.6;9,455;;13,368;72.5
E05000610;Balham;Wandsworth;15,355;120.8;1.2;127.1;12,711;;14,751;122.1
E05000611;Bedford;Wandsworth;15,533;180.4;1.8;86.1;8,610;;14,575;80.8
E05000612;Earlsfield;Wandsworth;14,409;141.1;1.4;102.1;10,212;;15,448;109.5
E05000613;East Putney;Wandsworth;17,360;160.9;1.6;107.9;10,789;;15,022;93.4
E05000614;Fairfield;Wandsworth;16,599;145.5;1.5;114.1;11,408;;14,613;100.4
E05000615;Furzedown;Wandsworth;17,545;141.3;1.4;124.2;12,417;;15,504;109.7
E05000616;Graveney;Wandsworth;15,724;100.8;1.0;156.0;15,599;;15,198;150.8
E05000617;Latchmere;Wandsworth;16,571;108.5;1.1;152.7;15,273;;15,358;141.5
E05000618;Nightingale;Wandsworth;16,100;123.1;1.2;130.8;13,079;;14,679;119.2
