geometry,created_by,barrier,natural,nodes,landuse,leisure,name,surface,note,building,source,source:name,ways,type,wikidata,designation,not:name,source:designation,operator
"POLYGON ((-0.3398896 51.5703799, -0.3399067 51.5704424, -0.3398831 51.5704984, -0.3398521 51.570531, -0.3398124 51.570561, -0.3397899 51.5705683, -0.3397602 51.570573, -0.339731 51.570571, -0.3397259 51.5705589, -0.3397581 51.5704226, -0.3397961 51.5702511, -0.3398169 51.5702595, -0.339831 51.57027, -0.3398455 51.5702896, -0.3398565 51.5703091, -0.3398896 51.5703799))",,,,"[322110815, 322110816, 322110817, 322110818, 322110820, 322110830, 322110836, 322110831, 322110842, 322110837, 322110832, 322110854, 322110833, 322110862, 322110834, 322110815]",village_green,,The Green,,"Harrow on the Hill Village Green with Gantry displaying portrait of King Henry VIII. It marks the spot where horse drawn coaches would turn around outside the old Kings Head Hotel, now apartments.",,,,,,,,,,
"POLYGON ((-0.0094928 51.5738382, -0.0094828 51.5738855, -0.0094369 51.5739051, -0.0094039 51.5738953, -0.009371 51.5739094, -0.0093744 51.5739319, -0.0092513 51.5739847, -0.0092189 51.5739744, -0.0091874 51.5739879, -0.0091926 51.5740099, -0.0091503 51.574028, -0.0090912 51.5739989, -0.0090851 51.5739282, -0.0091208 51.5739171, -0.009119 51.5738957, -0.0090815 51.5738861, -0.0090745 51.573804, -0.0091102 51.57379, -0.0091085 51.5737703, -0.0090708 51.5737619, -0.0090657 51.5737021, -0.0091278 51.5736817, -0.0091744 51.5737017, -0.0091723 51.5737245, -0.0092036 51.573738, -0.0092366 51.5737283, -0.0093949 51.5737962, -0.0093891 51.5738188, -0.0094288 51.5738359, -0.0094613 51.5738247, -0.0094928 51.5738382))",,wall,,"[4589002147, 2700236084, 4516509666, 4589249148, 4589249147, 4516509665, 4589002162, 4589249146, 4589249145, 4589002163, 2700236085, 2700236082, 4589002156, 4589249144, 4589249143, 4589002155, 4589002154, 4589249142, 4589249141, 4589002153, 2700236083, 4589002146, 4589002145, 4589249152, 4589249151, 4589002144, 4589002141, 4589249150, 4589249149, 4589002140, 4589002147]",village_green,,Leyton Green,,,,,,,,,,,,
"POLYGON ((-0.0328374 51.5986771, -0.0327258 51.5986901, -0.0325279 51.5985835, -0.0322394 51.5984558, -0.0317582 51.5982888, -0.031794 51.5982382, -0.0318705 51.5981974, -0.0324604 51.5981255, -0.0327234 51.5982196, -0.0328374 51.5986771))",,,,"[366725654, 366725655, 6141624829, 366725656, 366725657, 366725658, 366725659, 366725660, 366725661, 366725654]",village_green,,,,,,,,,,,,,,
"POLYGON ((-0.032501 51.5986849, -0.0324934 51.5987031, -0.0321338 51.5987262, -0.0319058 51.5986495, -0.0318293 51.5984529, -0.0318667 51.5984355, -0.0321359 51.5985283, -0.032501 51.5986849))",,,,"[366725674, 366725675, 1430005620, 366725677, 366725678, 1430005619, 366725679, 366725674]",village_green,,,,,,,,,,,,,,
"POLYGON ((-0.0045538 51.5389246, -0.0048299 51.5389477, -0.0047528 51.5393804, -0.0045785 51.5393789, -0.0044222 51.5393769, -0.0044585 51.5391069, -0.0040644 51.5390863, -0.0041187 51.538808, -0.004342 51.538815, -0.0045538 51.5389246))",,,,"[9629762263, 392390979, 392390972, 9629761290, 392390973, 392390974, 392390970, 392390976, 9629762262, 9629762263]",village_green,,,,Not a park - reverted. This is just a small green open space,,,,,,,,,,
"POLYGON ((-0.0054373 51.5374178, -0.0053946 51.5374503, -0.0053423 51.5374783, -0.0053052 51.5374891, -0.0051229 51.5374886, -0.0051229 51.53744, -0.0049619 51.5374382, -0.0049942 51.537185, -0.0051739 51.537175, -0.0054373 51.5374178))",,,,"[392391249, 9633830766, 9633830767, 392391255, 4672118008, 4672118016, 392391261, 392391268, 392391274, 392391249]",village_green,,James Riley Point Garden,,Not a park - reverted. This is just a small green,,,,,,,,,,
"POLYGON ((-0.2050861 51.4172143, -0.205081 51.4172506, -0.2050614 51.4172833, -0.2050026 51.4173083, -0.2049382 51.4173133, -0.2048839 51.4172991, -0.2048441 51.4172692, -0.2047823 51.4172964, -0.2047431 51.4173393, -0.2047256 51.4173894, -0.2047287 51.4174465, -0.204914 51.4177663, -0.2050519 51.4177804, -0.2050834 51.4177369, -0.2051432 51.4177237, -0.2052064 51.4177319, -0.205258 51.41776, -0.2052584 51.4177965, -0.2053671 51.4177916, -0.2053708 51.4176411, -0.2053419 51.4174697, -0.20526 51.4172951, -0.2051776 51.4172275, -0.2050861 51.4172143))",,,,"[392675843, 8252869402, 392675844, 8252869404, 392675845, 8252869403, 392675846, 392675892, 8252869401, 8252869400, 392675893, 392675894, 392675847, 392675848, 392675849, 8252869396, 392675850, 392675851, 392675853, 392675854, 8252869397, 392675855, 392675895, 392675843]",village_green,,,,,,,,,,,,,,
"POLYGON ((-0.315654 51.4389906, -0.3157662 51.4389481, -0.3155802 51.4389103, -0.3155073 51.4389105, -0.3155072 51.4389028, -0.315339 51.4389034, -0.3153386 51.4388588, -0.3153914 51.4388586, -0.3153907 51.4387884, -0.3154048 51.4387425, -0.3154036 51.4387145, -0.3153449 51.438715, -0.3152763 51.4387155, -0.3152773 51.4386165, -0.3152863 51.4385939, -0.3152854 51.4385523, -0.3153193 51.438552, -0.3153177 51.4384758, -0.3153967 51.4384751, -0.3154147 51.4384551, -0.3154147 51.4383647, -0.3156393 51.4383647, -0.3156438 51.4382439, -0.3157015 51.4382441, -0.3156992 51.4381703, -0.3157083 51.4381297, -0.315336 51.4382559, -0.3151687 51.4382794, -0.3150383 51.4381391, -0.3149654 51.4380949, -0.3150382 51.4380611, -0.314706 51.4377152, -0.3141355 51.4379148, -0.3140713 51.4379725, -0.3140881 51.4380173, -0.314202 51.4381578, -0.31426 51.4381559, -0.3142809 51.4382736, -0.3142943 51.4383402, -0.3140747 51.4383987, -0.3140326 51.4384128, -0.3138303 51.4384808, -0.3136132 51.4385534, -0.3135967 51.4385901, -0.3135182 51.4386112, -0.3136335 51.4388597, -0.3136975 51.4388696, -0.3140014 51.4387998, -0.3141013 51.4387936, -0.3141853 51.4388123, -0.314248 51.4388322, -0.314291 51.4388533, -0.3143242 51.4388809, -0.3145082 51.4392847, -0.3145361 51.439325, -0.3145954 51.4393504, -0.3146533 51.4393542, -0.315654 51.4389906))",,,,"[9067184728, 9067184730, 437378278, 1229200333, 1229200331, 437378281, 1229200352, 1229200345, 437378280, 7875016761, 9067184726, 9075820242, 9067184725, 9067184724, 437378285, 1229200348, 1229200347, 437378284, 1229200353, 7875016759, 7875016758, 9067184723, 1229200346, 1229200335, 437378288, 9067184722, 431222176, 3306288881, 9067184721, 9067184720, 9067184719, 440662157, 1358983088, 1508691772, 440662166, 9067184732, 7521684553, 4565843629, 440662168, 430840022, 9069890957, 9069890959, 430840015, 7457195292, 7457195291, 3306288876, 431222094, 30528151, 1508691799, 1358983092, 1508691802, 3306288869, 3306288868, 440662155, 3306288867, 3306288866, 440662156, 9067184728]",village_green,,Ham Village Green,,,,,,,,,,,,
"POLYGON ((-0.1487572 51.6085695, -0.1487351 51.6085728, -0.1482297 51.6086489, -0.148176 51.6086569, -0.1480992 51.6086906, -0.1475917 51.6082404, -0.1479771 51.6080426, -0.1482763 51.6080535, -0.1486081 51.608269, -0.1487572 51.6085695))",,,,"[506501483, 9547985880, 9547985879, 9547985890, 506501485, 506501486, 506501487, 506501489, 506501490, 506501483]",village_green,,,,,,,,,,,,,,
"POLYGON ((0.1612114 51.540165, 0.1615714 51.5398448, 0.1612138 51.5397436, 0.1611547 51.5397312, 0.1610859 51.5402073, 0.1612114 51.540165))",,,,"[604013823, 604013824, 598640874, 604013825, 604013826, 604013823]",village_green,,Dagenham Village Green,,,,,,,,,,,,
"POLYGON ((0.041318 51.3891577, 0.0421012 51.3891494, 0.0422353 51.3890975, 0.0422702 51.3890096, 0.04201 51.3883251, 0.0413609 51.3883652, 0.041259 51.3884389, 0.0413636 51.3888842, 0.041318 51.3891577))",,,,"[676754522, 676754523, 676754524, 676754525, 676754529, 676754531, 676754532, 676754527, 676754522]",village_green,,,,,,,,,,,,,,
"POLYGON ((-0.3066073 51.5042073, -0.3066905 51.5041764, -0.3067334 51.5041481, -0.3067857 51.5040905, -0.3066261 51.5040696, -0.306551 51.5042015, -0.3065725 51.5042065, -0.3066073 51.5042073))",,,,"[1029763697, 1029763475, 1029763278, 1029764135, 1029764535, 1029764514, 1029763211, 1029763697]",village_green,,,,,,,,,,,,,,
"POLYGON ((-0.3070624 51.5046257, -0.3070326 51.5044834, -0.3070649 51.5044807, -0.3070548 51.5044328, -0.3069274 51.5044432, -0.3069362 51.5044853, -0.3068904 51.504489, -0.306904 51.5045542, -0.3069213 51.5046371, -0.3070624 51.5046257))",,,,"[1073669669, 1073669214, 1073670113, 1073669628, 1073669857, 1073669567, 1073669636, 1061606274, 1073669819, 1073669669]",village_green,,,,,yes,Bing,,,,,,,,
"POLYGON ((-0.3054436 51.5040034, -0.3056214 51.5040018, -0.3056201 51.5039467, -0.3056624 51.5039463, -0.3056616 51.5039128, -0.3056208 51.5039132, -0.3056196 51.5038622, -0.3054402 51.5038639, -0.3054436 51.5040034))",,,,"[1075258504, 1075258261, 1075258289, 1075258403, 1075258088, 1075257571, 1075258267, 1075258005, 1075258504]",village_green,,,,,apartments,Bing,,,,,,,,
"POLYGON ((-0.3050016 51.5042463, -0.3048561 51.5042465, -0.3048557 51.5041112, -0.3050012 51.504111, -0.3050016 51.5042463))",,,,"[1075258494, 1075257592, 1075257448, 1075257613, 1075258494]",village_green,,,,,yes,Bing,,,,,,,,
"POLYGON ((-0.1710007 51.3819196, -0.1708539 51.381665, -0.1708416 51.3816495, -0.1707893 51.381634, -0.1707278 51.3816588, -0.1701333 51.3817968, -0.1702712 51.3820937, -0.1710007 51.3819196))",,,,"[1100662463, 1100662475, 5108044682, 5108044681, 5108044680, 1100662479, 1100662481, 1100662463]",village_green,,,,,,,,,,,,,,
"POLYGON ((-0.1625275 51.3767521, -0.1627192 51.3771639, -0.1627124 51.3771823, -0.1626734 51.3771899, -0.1626508 51.3771774, -0.1624685 51.3767672, -0.1624734 51.3767466, -0.1625037 51.3767367, -0.1625275 51.3767521))",,,,"[1108278808, 1108278810, 1612192671, 1612192983, 1108278812, 1108278815, 1612193042, 1612193035, 1108278808]",village_green,,,,,,,,,,,,,,
"POLYGON ((-0.1624427 51.3766222, -0.162215 51.3761661, -0.1621717 51.3760753, -0.1621501 51.3760723, -0.1621255 51.376075, -0.162116 51.3760889, -0.1623838 51.3766366, -0.1624083 51.3766417, -0.1624345 51.3766368, -0.1624427 51.3766222))",,,,"[1108278843, 1108278845, 1108278847, 1612177153, 1612177183, 1108278850, 1108278852, 1612192634, 1612192768, 1108278843]",village_green,,,,,,,,,,,,,,
"POLYGON ((-0.1415889 51.4631743, -0.1415295 51.4631451, -0.1411487 51.4629176, -0.1408177 51.4627456, -0.1407991 51.4627371, -0.1407588 51.4627483, -0.1407605 51.4627539, -0.1407486 51.4627584, -0.1407554 51.4627689, -0.1409726 51.4630981, -0.1410239 51.463236, -0.1410065 51.4632423, -0.1413543 51.4631797, -0.1413788 51.4631806, -0.1414033 51.4631859, -0.1415995 51.4632452, -0.1416385 51.4632061, -0.1415889 51.4631743))",,,,"[1112448233, 9435312597, 9435312596, 1112448235, 9357955561, 9357955562, 9357955563, 3813137356, 8394041719, 8394041720, 1112448236, 8394041689, 1112448238, 8394041722, 8394041721, 3054495681, 8394041690, 1112448233]",village_green,,,,,,,,,,,,,,
