created_by,geometry,name,natural,source,note,barrier,wikidata,access,material,traffic_calming,operator,wheelchair,nodes,leisure,wikipedia,arivac:typetxt,landuse,website,source:access,designation,old_name,disused,description,layer,fixme,leaf_cycle,leaf_type,landcover,operator:wikidata,island,area,disused:leisure,place,verge,fence_type,height,start_date,wall,kerb,kerb:height,shrubbery:density,level,ways,type
,"POLYGON ((-0.4044113 51.5574052, -0.4036323 51.5566154, -0.4033375 51.5563724, -0.4035423 51.5562826, -0.4037531 51.5561977, -0.4039057 51.5561328, -0.4043081 51.5559615, -0.4047729 51.5557729, -0.4054936 51.5555362, -0.4065293 51.5564697, -0.4044113 51.5574052))",,scrub,,,,,,,,,,"[255956527, 255956528, 255956530, 255956531, 255956532, 10282567851, 365164409, 255956534, 255956737, 7740709197, 255956527]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.2426098 51.3884106, -0.2424476 51.3886503, -0.2422836 51.3889268, -0.2420904 51.3893674, -0.2420533 51.389452, -0.241855 51.3898936, -0.2411398 51.3915848, -0.24091 51.3921282, -0.2410146 51.3921409, -0.2409373 51.3924738, -0.2411654 51.3929395, -0.2441378 51.3917351, -0.2442547 51.391676, -0.2440884 51.3915252, -0.2442431 51.3914363, -0.2444658 51.3912722, -0.2447591 51.391051, -0.2454595 51.3905983, -0.2457688 51.3903978, -0.245795 51.3902738, -0.2456179 51.390155, -0.2454382 51.3900127, -0.2448849 51.3894062, -0.2444324 51.3894737, -0.2435882 51.3897517, -0.2432283 51.3890259, -0.2428254 51.3884014, -0.2426098 51.3884106))",Former BBC Club,scrub,,,,,,,,,,"[258985873, 6466444757, 258985874, 7595538038, 6466431547, 258985875, 6466431553, 258985876, 6461035182, 258985877, 249709663, 249709662, 7341680426, 249709660, 8863162643, 7341680425, 7341771382, 7341771384, 249709658, 7341680423, 7341680422, 7341680424, 249709657, 249709656, 249709655, 249709654, 249709653, 258985873]",,,Sports field,brownfield,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4282895 51.557962, -0.4289676 51.5575991, -0.429577 51.5574444, -0.4302894 51.5572309, -0.4311391 51.5569001, -0.4309908 51.5563147, -0.4307238 51.5564864, -0.4304735 51.5566913, -0.4302134 51.556804, -0.4299137 51.556863, -0.4298107 51.5570094, -0.4296924 51.5571236, -0.4296223 51.5571953, -0.4292681 51.5572872, -0.4290183 51.5573926, -0.4286968 51.5574117, -0.4285041 51.5576045, -0.4280784 51.5578304, -0.4276683 51.5579549, -0.4274952 51.558004, -0.4273674 51.5580187, -0.4270682 51.5579626, -0.4268338 51.5579279, -0.4274061 51.5589382, -0.4274999 51.5594881, -0.4278979 51.5594955, -0.4283704 51.5595201, -0.4282895 51.557962))",,scrub,,,,,,,,,,"[271245629, 271245630, 271245631, 271245632, 271245578, 271245586, 271241876, 254473250, 271241878, 271241879, 271245637, 254473254, 254473255, 254473256, 271245639, 254473258, 271245640, 271245641, 271245642, 254473260, 8863350700, 254473262, 254473263, 271245646, 271245647, 8258512388, 271245648, 271245629]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4337034 51.5646272, -0.4338256 51.5623002, -0.43077 51.562647, -0.4313883 51.56478, -0.4337034 51.5646272))",,scrub,,,,,,,,,,"[271245861, 271245821, 271245778, 271245862, 271245861]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4306499 51.5648563, -0.4313883 51.56478, -0.43077 51.562647, -0.4262061 51.563233, -0.4292165 51.5639809, -0.4306499 51.5648563))",,scrub,,,,,,,,,,"[271245904, 271245862, 271245778, 271245905, 271245906, 271245904]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4367696 51.5644131, -0.4337034 51.5646272, -0.4338256 51.5623002, -0.4360049 51.5618489, -0.4364895 51.5636949, -0.4367696 51.5644131))",,scrub,,,,,,,,,,"[271245919, 271245861, 271245821, 271245857, 271245929, 271245919]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4383385 51.5628724, -0.4370253 51.5624722, -0.4368365 51.5623869, -0.4360049 51.5618489, -0.4364895 51.5636949, -0.4383385 51.5628724))",,scrub,,,,,,,,,,"[68902372, 68902373, 68871747, 271245857, 271245929, 68902372]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4371029 51.5649385, -0.4367696 51.5644131, -0.4364895 51.5636949, -0.4383385 51.5628724, -0.4384189 51.5629009, -0.4398405 51.56339, -0.4400311 51.5634913, -0.4393758 51.5638876, -0.4386291 51.5642839, -0.4371029 51.5649385))",,scrub,,,,,,,,,,"[271245960, 271245919, 271245929, 68902372, 9680343964, 68902370, 472297377, 271245963, 271245964, 271245960]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4339565 51.5659396, -0.4343234 51.5658862, -0.4346238 51.5658151, -0.4349588 51.5656959, -0.4371029 51.5649385, -0.4367696 51.5644131, -0.4337034 51.5646272, -0.4313883 51.56478, -0.4306499 51.5648563, -0.430976 51.565096, -0.4312507 51.5652614, -0.4316455 51.5655015, -0.4320344 51.5656991, -0.4324633 51.5658271, -0.432824 51.5659018, -0.4332474 51.56595, -0.4336454 51.5659624, -0.4339565 51.5659396))",,scrub,,,,,,,,,,"[271246028, 271246029, 271246030, 271246031, 271245960, 271245919, 271245861, 271245862, 271245904, 271246032, 271246033, 271246034, 271246035, 271246036, 271246037, 271246038, 271246039, 271246028]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4247791 51.5606301, -0.4271566 51.560614, -0.4274999 51.5594881, -0.4274061 51.5589382, -0.4245387 51.559152, -0.4247722 51.5605878, -0.4247791 51.5606301))",,scrub,,,,,,,,,,"[271246058, 271246059, 271245647, 271245646, 271246060, 4576038160, 271246058]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4233341 51.5591459, -0.4207562 51.5591463, -0.4209939 51.5597389, -0.4211227 51.5600324, -0.4212685 51.5602779, -0.4215509 51.560752, -0.4247791 51.5606301, -0.4247722 51.5605878, -0.4245387 51.559152, -0.4233341 51.5591459))",,scrub,,,,,,,,,,"[911182068, 544303726, 271246101, 271246102, 271246232, 271246103, 271246058, 4576038160, 271246060, 911182068]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4225904 51.5624176, -0.4215509 51.560752, -0.4247791 51.5606301, -0.4249164 51.5614304, -0.4247791 51.5620547, -0.4241995 51.563438, -0.4237567 51.5634709, -0.4234487 51.5629885, -0.4230624 51.5627644, -0.4225904 51.5624176))",,scrub,,,,,,,,,,"[271246177, 271246103, 271246058, 271246077, 271245780, 271245781, 271246178, 271246179, 271246180, 271246177]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.3775867 51.5396994, -0.3781982 51.5393891, -0.3781953 51.5393587, -0.3781145 51.5393439, -0.3779416 51.5392836, -0.3777014 51.5392505, -0.3774866 51.5392604, -0.3772157 51.5393681, -0.3769145 51.5395308, -0.3768864 51.5395671, -0.3768934 51.539631, -0.3769098 51.5396644, -0.3769518 51.539721, -0.3769868 51.5397936, -0.3770616 51.5398561, -0.3771433 51.5398706, -0.3772345 51.539861, -0.3773131 51.5398328, -0.3775867 51.5396994))",,scrub,,,,,,,,,,"[272349299, 272349300, 272349301, 272349302, 272349303, 2952826846, 2952826836, 2952826838, 2952826837, 2952826845, 2952826844, 2952826843, 2952826842, 2952826841, 2952826840, 2952826839, 272349304, 272349305, 272349299]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((0.0432663 51.5190276, 0.043509 51.5190226, 0.0436654 51.5190412, 0.0437992 51.5191081, 0.0438887 51.5192078, 0.043902 51.5192721, 0.0438643 51.5193358, 0.0437124 51.5194018, 0.0435443 51.5194175, 0.0434022 51.5193832, 0.0432405 51.5192728, 0.0431924 51.5192113, 0.0431217 51.5191816, 0.0431052 51.5191322, 0.0431546 51.5190655, 0.0432663 51.5190276))",,scrub,,,,,,,,,,"[282216466, 3624024469, 282216467, 282216468, 486662784, 3624024465, 282216428, 282216469, 3624024460, 282216430, 282216431, 3624024462, 3624024464, 282216432, 3624024467, 282216466]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1565133 51.5291958, -0.1557892 51.529793, -0.1556862 51.5298785, -0.1554373 51.5300493, -0.1551627 51.5301294, -0.1544154 51.5301638, -0.1542064 51.5301765, -0.1541472 51.5301093, -0.154167 51.5298785, -0.154579 51.5296115, -0.1552354 51.5295148, -0.1555181 51.529116, -0.1559438 51.5289668, -0.156463 51.5291756, -0.1565133 51.5291958))",,scrub,,,fence,,,,,,,"[296157194, 296156253, 296157302, 296157932, 296156255, 296156256, 296157209, 296157312, 296157212, 296157213, 7840434627, 7840434628, 296157521, 7702315430, 296157194]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.0745182 51.4349902, -0.0742521 51.4347441, -0.0739883 51.4346316, -0.0734453 51.4349634, -0.0735741 51.4351026, -0.0740032 51.4349634, -0.0745182 51.4349902))",,scrub,,,fence,,,,,,,"[305506413, 305506414, 305506415, 305506416, 305506417, 305506418, 305506413]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((0.1453779 51.5756008, 0.1455751 51.5769266, 0.1456911 51.5774926, 0.1458112 51.5786378, 0.1447161 51.5785046, 0.1447864 51.5791288, 0.1458913 51.5790539, 0.1459013 51.5788604, 0.1472674 51.5787418, 0.1469846 51.5757564, 0.1453779 51.5756008))",,scrub,,,,,,,,,,"[25895739, 25895738, 25895733, 25895734, 331963312, 331963295, 331963294, 331963293, 331963292, 331963623, 25895739]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.0208252 51.5365087, -0.0206064 51.5365213, -0.0202375 51.5365006, -0.0199235 51.5364659, -0.0196664 51.5364322, -0.0195237 51.5364319, -0.0194585 51.5364255, -0.0194565 51.5363752, -0.0194526 51.5362795, -0.0195416 51.5360441, -0.0193671 51.5358404, -0.0195427 51.5357892, -0.0196252 51.5357651, -0.0200089 51.5360412, -0.0206825 51.5363394, -0.0208252 51.5365087))",,scrub,,,,,,,,,,"[2404144660, 2404144662, 2404144663, 2404144661, 2404144658, 7756431261, 7756431235, 7756431236, 262540751, 262540744, 1598370198, 9289921146, 2404144653, 343531462, 343531465, 2404144660]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.3109339 51.4059608, -0.3100303 51.4058361, -0.3098265 51.4058181, -0.3098662 51.4054976, -0.3101676 51.4044011, -0.3102456 51.4041647, -0.3111375 51.404626, -0.3111577 51.4047538, -0.3111492 51.404859, -0.3109339 51.4059608))",,scrub,,,,,,,,,,"[469217062, 469217061, 469217064, 7919978139, 469217065, 469217066, 469217067, 8058594700, 8058594699, 469217062]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4500565 51.5878653, -0.4522645 51.5879074, -0.4537837 51.5880354, -0.453743 51.5881853, -0.455575 51.5889303, -0.4561033 51.5891452, -0.4578628 51.5874921, -0.4548721 51.5863105, -0.4548987 51.5864285, -0.4547443 51.5868978, -0.4539546 51.5874045, -0.4517745 51.5869458, -0.4505469 51.5866778, -0.4501256 51.5865831, -0.4498905 51.586563, -0.4495641 51.5865942, -0.4497325 51.5870861, -0.4500565 51.5878653))",,scrub,,,,,,,,,,"[479097243, 479097231, 479097257, 60362827, 8311338393, 60362826, 60362825, 60362824, 477215728, 477215724, 477215730, 477215729, 477215731, 5323035198, 477215732, 477215733, 479097472, 479097243]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1629279 51.675938, -0.1628973 51.6759351, -0.1628592 51.6759417, -0.162825 51.6759547, -0.1627873 51.6759702, -0.1627415 51.6759974, -0.1627071 51.6760506, -0.1626101 51.6760252, -0.1626257 51.675993, -0.162703 51.6758918, -0.162763 51.6758226, -0.1627751 51.675751, -0.1627623 51.6756796, -0.1627563 51.6756111, -0.1629279 51.675938))",,scrub,,,,,,,,,,"[537825522, 537825523, 537825524, 537825525, 537825527, 537825529, 537825531, 537825533, 537824373, 537824382, 537824389, 537824395, 537824403, 537824407, 537825522]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.0558239 51.3992381, -0.0554323 51.3992716, -0.0551641 51.3992047, -0.0549388 51.3991344, -0.0546545 51.3990273, -0.0545096 51.3989503, -0.05422 51.3988432, -0.0539839 51.3987562, -0.0537103 51.3986725, -0.0534958 51.3985989, -0.0532919 51.3985052, -0.0531256 51.3984048, -0.0529754 51.3983512, -0.0527447 51.3982709, -0.0524551 51.3981805, -0.0525623 51.3981002, -0.0528306 51.3978894, -0.0529647 51.3979563, -0.0532597 51.3980634, -0.0534046 51.3981337, -0.0536621 51.3981939, -0.0538069 51.3982475, -0.0539249 51.3982977, -0.0540966 51.3983345, -0.0542897 51.3983713, -0.0546223 51.3984449, -0.0548154 51.3984985, -0.0549656 51.3985386, -0.0552767 51.3986022, -0.0553733 51.3986759, -0.0554591 51.3987629, -0.0555771 51.3988432, -0.0557595 51.3989838, -0.0558883 51.3990641, -0.056017 51.399131, -0.0558239 51.3992381))",,scrub,,,,,,,,,,"[569570590, 569570609, 569570635, 569570653, 569570671, 569570688, 569570744, 569570762, 569570773, 569570789, 569570800, 569570819, 569570829, 569570836, 569570849, 569570860, 569570876, 569570887, 569570897, 569570912, 569570924, 569570942, 569570951, 569570988, 569570994, 569571002, 569571008, 569571017, 569571027, 569571038, 569571049, 569571063, 569571077, 569571089, 569571106, 569570590]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.0573903 51.3981337, -0.057283 51.3980868, -0.0572079 51.3979797, -0.0571328 51.3979462, -0.0570577 51.3978793, -0.0569826 51.3977789, -0.0569075 51.3976785, -0.0568753 51.3976049, -0.0568002 51.3975379, -0.0567144 51.3974643, -0.0566393 51.397384, -0.0565213 51.3973103, -0.056414 51.3972434, -0.0562745 51.3971631, -0.0561565 51.397076, -0.0560492 51.3969489, -0.0559205 51.3967547, -0.055899 51.3966811, -0.0558239 51.3966008, -0.0557381 51.3964803, -0.0557166 51.3963799, -0.055781 51.3962795, -0.0558239 51.3962058, -0.055899 51.3960719, -0.0542897 51.3954628, -0.053764 51.3952553, -0.0536567 51.3952017, -0.053764 51.3950143, -0.0539571 51.3948402, -0.0541824 51.3946929, -0.0543541 51.3946528, -0.0545472 51.394713, -0.0546437 51.3948134, -0.0548476 51.3949339, -0.0550407 51.395021, -0.055266 51.3951281, -0.0554484 51.3952285, -0.0557059 51.3954159, -0.0559419 51.3955029, -0.0560921 51.39559, -0.056178 51.3956502, -0.0563389 51.3957239, -0.0564462 51.3957573, -0.0565535 51.3957172, -0.0566822 51.3956301, -0.0568002 51.3955498, -0.0569397 51.3954092, -0.0570577 51.3952686, -0.0571865 51.3950611, -0.0573313 51.3947365, -0.0574493 51.3945457, -0.0574958 51.3943561, -0.0576138 51.3941084, -0.0576782 51.3940348, -0.0577855 51.3940214, -0.057823 51.3940951, -0.0577747 51.3941955, -0.0577426 51.3942858, -0.0576836 51.3943829, -0.0576585 51.3944653, -0.0575995 51.3945858, -0.0575405 51.3947164, -0.0574708 51.3948436, -0.0574332 51.3949105, -0.057385 51.3949875, -0.0573367 51.3950979, -0.0572991 51.3951482, -0.0572079 51.3952653, -0.057283 51.3953356, -0.0574225 51.3953891, -0.0576049 51.3954494, -0.057798 51.3955833, -0.058077 51.3956904, -0.0581628 51.3958243, -0.0583881 51.3959046, -0.0586241 51.3960385, -0.0588602 51.3961322, -0.0590533 51.3961791, -0.0592035 51.3961991, -0.0593322 51.3961991, -0.059461 51.3961991, -0.0595254 51.3962125, -0.0596219 51.396246, -0.0596326 51.3963196, -0.0596326 51.3964, -0.0596219 51.3964736, -0.0595039 51.3965472, -0.0594181 51.3966142, -0.0592893 51.3966811, -0.0590962 51.3967882, -0.0588709 51.3968819, -0.0586885 51.3969756, -0.0586241 51.3970426, -0.0584632 51.3971564, -0.0583452 51.39723, -0.0581092 51.3973773, -0.0580662 51.3974174, -0.0579911 51.3975111, -0.0580448 51.3976249, -0.0580662 51.3976852, -0.0579804 51.3977923, -0.0578838 51.3978592, -0.0576478 51.3980065, -0.0575405 51.39806, -0.0573903 51.3981337))",,scrub,,,,,,,,,,"[569571256, 569571280, 569571307, 569571328, 569571343, 569571360, 569571376, 569571395, 569571414, 569571432, 569571455, 569571476, 569571503, 569571535, 569571556, 569571575, 569571596, 569571615, 569571683, 569571697, 569571704, 569571714, 569571725, 569571740, 569571756, 569571785, 569571806, 569571833, 569571849, 569571872, 569571894, 569571915, 569571934, 569571955, 569571965, 569571977, 569572018, 569572032, 569572047, 569572061, 569572082, 569572098, 569572115, 569572131, 569572148, 569572168, 569572191, 569572212, 569572224, 569572236, 569572254, 569572275, 569572294, 569572309, 569572385, 569572401, 569572417, 569572434, 569572447, 569572463, 569572480, 569572501, 569572523, 569572547, 569572577, 569572599, 569572624, 569572655, 569572687, 569572718, 569572743, 569572764, 569572874, 569572899, 569572928, 569572942, 569572960, 569572986, 569573004, 569573019, 569573036, 569573065, 569573096, 569573126, 569573160, 569573192, 569573218, 569573240, 569573263, 569573282, 569573349, 569573369, 569573388, 569573400, 569573423, 569573451, 569573480, 569573497, 569573512, 569573527, 569573541, 569573550, 569573564, 569573573, 569571256]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4047754 51.5911618, -0.4022326 51.5918527, -0.4026366 51.5930967, -0.4036732 51.5927794, -0.4047844 51.5923777, -0.4046556 51.5917855, -0.4052221 51.5915348, -0.4047754 51.5911618))",,scrub,,,,,,,,,,"[583005286, 583005334, 582227255, 582227326, 471666139, 471666138, 471666137, 583005286]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4038382 51.5897639, -0.4047447 51.5900598, -0.4050399 51.5906601, -0.4044626 51.5909397, -0.4045311 51.5909816, -0.4047754 51.5911618, -0.4022326 51.5918527, -0.4021431 51.591577, -0.4021826 51.5911768, -0.4029458 51.5908303, -0.4029556 51.5906236, -0.4030437 51.5903196, -0.4028861 51.5898404, -0.4038382 51.5897639))",,scrub,,,,,,,,,,"[582227240, 582227239, 583005287, 583005288, 471666136, 583005286, 583005334, 582227252, 583005293, 583005292, 583005291, 583005289, 583005290, 582227240]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4029556 51.5906236, -0.4024957 51.5906662, -0.4019575 51.5907148, -0.4014886 51.5908704, -0.4010165 51.5899906, -0.4028861 51.5898404, -0.4030437 51.5903196, -0.4029556 51.5906236))",,scrub,,,,,,,,,,"[583005291, 583005295, 583005294, 582227246, 582227242, 583005290, 583005289, 583005291]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4530564 51.5541279, -0.4528253 51.5538727, -0.4525054 51.5536652, -0.452197 51.5535857, -0.4518847 51.5533699, -0.4515396 51.5535653, -0.4514089 51.5536774, -0.4515278 51.5540117, -0.4521224 51.5541319, -0.4527518 51.5541733, -0.4530564 51.5541279))",,scrub,,,,,,,,,,"[583985183, 583985188, 583985190, 583985192, 583985159, 583985197, 583985199, 583985204, 583985193, 583985195, 583985183]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4450916 51.5531615, -0.4446263 51.5530526, -0.444226 51.5529126, -0.4438607 51.5528037, -0.4433603 51.5526232, -0.4428299 51.552421, -0.4421994 51.5521814, -0.4413338 51.5517987, -0.4407483 51.5515374, -0.4417241 51.5510644, -0.4438257 51.5515934, -0.4450366 51.5518827, -0.4457972 51.5520725, -0.4450916 51.5531615))",,scrub,,,,,,,,,,"[583985306, 583985328, 583985331, 583985334, 583985337, 583985340, 583985354, 583985345, 583985348, 583985343, 583985320, 583985287, 583985303, 583985306]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
