name,tourism,geometry
Hampstead Mixed Bathing Pond,attraction,"POLYGON ((-0.1662043 51.5595821, -0.1662766 51.5595633, -0.1662472 51.559662, -0.1663796 51.5599088, -0.1664391 51.5601067, -0.1664018 51.5603672, -0.1664807 51.5606209, -0.1664898 51.5606304, -0.1666779 51.5608279, -0.1665566 51.5608827, -0.1663088 51.5607329, -0.166194 51.5606634, -0.1657256 51.5601343, -0.1654141 51.5597933, -0.1655661 51.5597582, -0.1657309 51.5597079, -0.1662043 51.5595821))"
Horse Guards Parade,attraction,"POLYGON ((-0.1276619 51.5055016, -0.1275111 51.5051609, -0.1274763 51.5050388, -0.1274012 51.5050468, -0.1273492 51.5048941, -0.1274335 51.5048855, -0.1274126 51.5048228, -0.1273849 51.5047344, -0.1273586 51.5046483, -0.1273421 51.504591, -0.1272509 51.5046005, -0.1272113 51.504467, -0.1272826 51.5044573, -0.1272482 51.5043384, -0.1271502 51.5043524, -0.1270948 51.5040772, -0.1270861 51.50397, -0.1271001 51.5039704, -0.1284086 51.5038534, -0.1288295 51.5038154, -0.1288646 51.5038289, -0.1289324 51.5038557, -0.1289861 51.5040227, -0.1290922 51.5043532, -0.1290706 51.5043893, -0.1290423 51.5044366, -0.1290695 51.5045384, -0.1290967 51.5046402, -0.1291411 51.5046663, -0.1292033 51.5047028, -0.1292185 51.5047559, -0.1292733 51.5049161, -0.129335 51.5051059, -0.1293963 51.5051985, -0.129378 51.505251, -0.1293613 51.5052991, -0.1287266 51.5053702, -0.1283562 51.5054189, -0.128349 51.5054017, -0.1282211 51.5054165, -0.1282099 51.5054047, -0.1280788 51.5054219, -0.1280801 51.5054373, -0.1279434 51.5054592, -0.1279387 51.5054743, -0.1277758 51.5054985, -0.1277699 51.5054785, -0.1277293 51.5054819, -0.1277154 51.5054929, -0.1276619 51.5055016))"
Cecil Court,attraction,"LINESTRING (-0.1282832 51.510714, -0.1270312 51.5107406)"
British Library,attraction,"POLYGON ((-0.128921 51.5301445, -0.1287076 51.5302289, -0.1286819 51.5302389, -0.1284426 51.5303335, -0.1284367 51.5303277, -0.1283259 51.5303714, -0.1283095 51.5303553, -0.1278686 51.5305295, -0.127862 51.530523, -0.1278525 51.5305268, -0.1278579 51.5305469, -0.1279013 51.5305424, -0.1279097 51.5305444, -0.1281128 51.5305234, -0.1282088 51.5308826, -0.1282556 51.5308778, -0.1282758 51.5309532, -0.1282234 51.5309586, -0.1282261 51.5309686, -0.1277294 51.5310199, -0.1277272 51.531012, -0.1276746 51.5310174, -0.1276499 51.5309246, -0.1276275 51.5309269, -0.1276249 51.5308493, -0.1276164 51.5308174, -0.1276211 51.5308169, -0.1275732 51.5306377, -0.127421 51.5306987, -0.1273858 51.5306647, -0.1273032 51.5306978, -0.1273134 51.5307363, -0.1271593 51.5307522, -0.1271359 51.5306649, -0.1270647 51.5306722, -0.1270659 51.5306768, -0.1269413 51.5306897, -0.1268997 51.5305339, -0.1268722 51.5305367, -0.1266247 51.5296387, -0.126499 51.5291825, -0.1264963 51.5291727, -0.1269718 51.5289846, -0.1271386 51.5295901, -0.1271632 51.5296793, -0.1273266 51.5296148, -0.1273069 51.5296036, -0.1273886 51.5295714, -0.1274702 51.5295391, -0.1274764 51.5295556, -0.1275004 51.5295461, -0.1275082 51.5295538, -0.1280191 51.529352, -0.1280326 51.5293652, -0.128099 51.529339, -0.128921 51.5301445))"
Alexandra Palace,attraction,"POLYGON ((-0.1324589 51.593685, -0.1325296 51.593733, -0.1319006 51.594107, -0.1320148 51.5941863, -0.1325199 51.593904, -0.1326477 51.5939954, -0.1325107 51.5940651, -0.1324887 51.594052, -0.132378 51.5941083, -0.132083 51.5942585, -0.1317176 51.594474, -0.1313846 51.5946629, -0.1311123 51.5948172, -0.1304081 51.5952577, -0.1304359 51.5952801, -0.1303074 51.5953515, -0.1300377 51.5951661, -0.12988 51.5952616, -0.1298065 51.5952127, -0.12967 51.5952917, -0.1294898 51.5951782, -0.129476 51.5951841, -0.1293697 51.5951112, -0.1292634 51.5950382, -0.1292836 51.5950216, -0.129092 51.5949018, -0.1292384 51.5948248, -0.1291713 51.5947723, -0.1293258 51.5946869, -0.1291632 51.594581, -0.1292894 51.5945082, -0.1292202 51.5944627, -0.1297782 51.5941242, -0.1299271 51.5940339, -0.1298997 51.594015, -0.1300943 51.5939115, -0.1300044 51.5938552, -0.1301617 51.5937633, -0.1303183 51.5936739, -0.1304018 51.593734, -0.1305466 51.5936472, -0.1307073 51.5935508, -0.1312438 51.5932291, -0.1313807 51.5931513, -0.1315026 51.5932376, -0.1314398 51.5932732, -0.1316332 51.5933979, -0.1316875 51.5933666, -0.1316537 51.5933371, -0.1318221 51.5932519, -0.1318893 51.5932995, -0.1320158 51.5932221, -0.1321825 51.5933225, -0.1322069 51.5933043, -0.1324326 51.5934514, -0.1323795 51.5934803, -0.1325796 51.593616, -0.1324589 51.593685))"
Pagoda,attraction,"POLYGON ((-0.2956609 51.4711974, -0.2957775 51.4712026, -0.295831 51.4712476, -0.2958252 51.4712983, -0.295751 51.4713409, -0.2956479 51.4713339, -0.2955929 51.4712894, -0.2955975 51.471238, -0.2956609 51.4711974))"
Millennium Maze,attraction,"POLYGON ((-0.348928 51.5121141, -0.3489381 51.5120711, -0.3490233 51.5117081, -0.3496983 51.5117694, -0.3496031 51.5121754, -0.348928 51.5121141))"
30 St Mary Axe,attraction,"POLYGON ((-0.0799263 51.5144703, -0.0799405 51.5144044, -0.0799815 51.514343, -0.0800466 51.5142903, -0.0801313 51.5142498, -0.0802299 51.5142244, -0.0803357 51.5142156, -0.0804416 51.5142242, -0.0805404 51.5142494, -0.0806256 51.5142899, -0.080691 51.5143426, -0.0807323 51.5144042, -0.0807465 51.5144703, -0.0807327 51.5145365, -0.0806917 51.5145983, -0.0806264 51.5146513, -0.0805412 51.5146919, -0.080442 51.5147174, -0.0803355 51.514726, -0.0802294 51.5147172, -0.0801306 51.5146916, -0.0800458 51.5146509, -0.0799808 51.5145979, -0.0799401 51.5145363, -0.0799263 51.5144703))"
Dana Centre,attraction,"POLYGON ((-0.1791058 51.4969287, -0.1789076 51.4969448, -0.1789163 51.4969866, -0.1789575 51.4971834, -0.1789684 51.4972351, -0.1790527 51.4972283, -0.1790629 51.4972768, -0.1791767 51.4972675, -0.1791058 51.4969287))"
The Maze,attraction,"POLYGON ((-0.0680415 51.4228, -0.0680541 51.422784, -0.0681073 51.4227168, -0.0682084 51.4226596, -0.0683205 51.422634, -0.0683557 51.422626, -0.0685222 51.4226339, -0.0685545 51.4226451, -0.068663 51.4226828, -0.0687429 51.4227442, -0.0687692 51.4227915, -0.0687884 51.4228261, -0.068784 51.4228938, -0.0687825 51.4229164, -0.0687456 51.4229763, -0.0686883 51.4230198, -0.0686801 51.423026, -0.0686615 51.4230399, -0.0686171 51.4230593, -0.06856 51.4230785, -0.0685334 51.4230874, -0.0684529 51.423095, -0.0684004 51.4231, -0.0682642 51.4230819, -0.0681592 51.4230412, -0.0681315 51.42302, -0.0680777 51.4229788, -0.0680346 51.4229044, -0.0680415 51.4228))"
