name,tourism,geometry
Temporary Exhibit,attraction,"POLYGON ((-0.1746742 51.4962462, -0.1746592 51.4961661, -0.1743824 51.4961861, -0.1743974 51.4962662, -0.1746742 51.4962462))"
Kenwood House,attraction,"POLYGON ((-0.1670873 51.5713624, -0.1671406 51.5714434, -0.1670732 51.5714606, -0.1671053 51.5715094, -0.1670023 51.5715356, -0.1665787 51.5716433, -0.16676 51.571913, -0.1668185 51.5718978, -0.1669319 51.571782, -0.167064 51.5717502, -0.1672149 51.5715837, -0.1674622 51.5715206, -0.1674795 51.5715473, -0.1676147 51.5715126, -0.1675495 51.5714136, -0.1676283 51.5713932, -0.1676387 51.5714091, -0.1678101 51.5713655, -0.1677992 51.5713489, -0.16788 51.571328, -0.1679456 51.5714277, -0.168078 51.5713937, -0.1680682 51.5713789, -0.1680941 51.5713723, -0.1679893 51.5712132, -0.168106 51.5711835, -0.1680946 51.5711661, -0.1681064 51.5711631, -0.1680725 51.5711117, -0.1678099 51.5711785, -0.167814 51.5711847, -0.1677518 51.5712003, -0.1677479 51.5711943, -0.1674195 51.5712778, -0.167423 51.5712832, -0.1673645 51.5712979, -0.1673611 51.5712927, -0.1670873 51.5713624))"
Wellington Arch,attraction,"POLYGON ((-0.1509392 51.5026098, -0.1509422 51.5025418, -0.1509457 51.5024682, -0.1509125 51.5024675, -0.1509139 51.5024382, -0.1507386 51.5024349, -0.1507375 51.5024585, -0.1506979 51.5024577, -0.150694 51.502538, -0.1506912 51.5026028, -0.1507225 51.5026033, -0.1507212 51.5026336, -0.1509049 51.5026367, -0.1509061 51.5026092, -0.1509392 51.5026098))"
The Classic Bridge,attraction,"LINESTRING (-0.2626092 51.4847976, -0.2627684 51.4846411)"
Conservatory,attraction,"POLYGON ((-0.2582934 51.4851783, -0.2577501 51.4854378, -0.2571788 51.4857106, -0.2570534 51.4856089, -0.2573569 51.4854521, -0.257517 51.4853693, -0.2575117 51.4853409, -0.2575254 51.4853118, -0.2575685 51.485288, -0.2575905 51.4852798, -0.2576216 51.4852741, -0.2576724 51.4852755, -0.2577182 51.4852874, -0.2581688 51.4850786, -0.2582934 51.4851783))"
Amphetheatre,attraction,"POLYGON ((-0.2605319 51.4844844, -0.2604501 51.4844517, -0.260417 51.484429, -0.2603726 51.4843751, -0.2603603 51.4843168, -0.2603809 51.4842576, -0.26042 51.4842159, -0.2604924 51.4841756, -0.2605468 51.4841593, -0.2606427 51.4841494, -0.2607459 51.4841624, -0.2608281 51.4841947, -0.2608716 51.484226, -0.2609113 51.4842812, -0.2609193 51.4843328, -0.2608975 51.4843917, -0.2608388 51.4844462, -0.2607594 51.4844812, -0.2606819 51.4844959, -0.2605848 51.4844945, -0.2605319 51.4844844))"
Cutty Sark,attraction,"POLYGON ((-0.0097081 51.4831514, -0.0097242 51.4831193, -0.009731 51.4830756, -0.0097216 51.4830225, -0.0096391 51.4828186, -0.00953 51.4826024, -0.0095045 51.4825745, -0.0094739 51.482564, -0.0094427 51.4825663, -0.0094191 51.4825786, -0.0094073 51.4825949, -0.0094129 51.4826248, -0.0095012 51.4828434, -0.0095955 51.4830422, -0.0096318 51.4830928, -0.0096715 51.4831286, -0.0097081 51.4831514))"
Harrods,attraction,"POLYGON ((-0.1617161 51.4992463, -0.1618988 51.4989916, -0.1619538 51.4989241, -0.1622247 51.4985921, -0.1622205 51.4985751, -0.1622321 51.4985585, -0.1622523 51.4985514, -0.1622869 51.4985635, -0.1623198 51.4985615, -0.1625678 51.4985454, -0.1627608 51.4985323, -0.1628291 51.4985346, -0.1629882 51.4985589, -0.1631711 51.4986074, -0.1633744 51.4986979, -0.1638066 51.4989122, -0.1639407 51.4989685, -0.1642351 51.4991082, -0.1643011 51.4991439, -0.164298 51.4991745, -0.1636377 51.4995617, -0.1633831 51.4997079, -0.1629325 51.4999517, -0.1628989 51.4999572, -0.1627907 51.4999014, -0.1621555 51.4995529, -0.1618841 51.499403, -0.1617523 51.4993273, -0.1617193 51.4993, -0.1617126 51.4992724, -0.1617161 51.4992463))"
Queen Caroline's Temple,attraction,"POLYGON ((-0.1759933 51.50639, -0.1760058 51.5063582, -0.1760207 51.5063492, -0.1760264 51.506332, -0.1760198 51.5063215, -0.176029 51.5062909, -0.1759672 51.5062826, -0.1759556 51.5063165, -0.1759432 51.5063252, -0.1759394 51.5063383, -0.175945 51.5063493, -0.1759337 51.5063835, -0.1759933 51.50639))"
All Souls Church,attraction,"POLYGON ((-0.1431039 51.5183198, -0.1430695 51.5183077, -0.1430375 51.5183428, -0.1427874 51.5182548, -0.1428183 51.5182207, -0.1427809 51.5182076, -0.1429482 51.5180235, -0.143049 51.5180589, -0.14304 51.5180385, -0.1430415 51.51802, -0.1430515 51.5180007, -0.1430655 51.5179882, -0.1430848 51.5179766, -0.1431152 51.5179671, -0.1431485 51.5179631, -0.1431757 51.5179658, -0.1432032 51.5179714, -0.1432251 51.5179817, -0.1432456 51.5179967, -0.143259 51.5180149, -0.1432606 51.5180351, -0.1432574 51.5180522, -0.1432443 51.5180709, -0.1432213 51.518086, -0.1431936 51.518096, -0.1431643 51.5180994, -0.1432703 51.5181367, -0.1431039 51.5183198))"
Eye Catcher,attraction,"POLYGON ((-0.2616098 51.4855249, -0.2615583 51.4854981, -0.261508 51.4855342, -0.2614467 51.4855783, -0.2614982 51.4855997, -0.2616098 51.4855249))"
Ionic Temple,attraction,"POLYGON ((-0.2607085 51.4840939, -0.260739 51.4840915, -0.2607773 51.4840765, -0.2607941 51.4840604, -0.2608011 51.484039, -0.2607959 51.4840201, -0.2607819 51.4840046, -0.2607589 51.4839919, -0.2607303 51.4839849, -0.2607085 51.4839838, -0.2606785 51.483988, -0.2606479 51.4840013, -0.2606312 51.4840173, -0.2606245 51.4840342, -0.2606272 51.4840532, -0.2606437 51.4840734, -0.2606668 51.484086, -0.2607085 51.4840939))"
Rose Column,attraction,"POLYGON ((-0.2594498 51.4853396, -0.2594365 51.4853378, -0.259425 51.4853332, -0.2594167 51.4853265, -0.2594126 51.4853184, -0.2594124 51.4853137, -0.2594156 51.4853054, -0.2594232 51.4852984, -0.2594341 51.4852934, -0.2594533 51.4852909, -0.2594666 51.4852927, -0.2594781 51.4852973, -0.2594863 51.485304, -0.2594907 51.4853152, -0.2594883 51.4853236, -0.2594815 51.4853309, -0.2594711 51.4853364, -0.2594583 51.4853393, -0.2594498 51.4853396))"
Lauderdale House,attraction,"POLYGON ((-0.1431795 51.5693551, -0.1434918 51.5691776, -0.1436059 51.5692546, -0.1436508 51.5692868, -0.1433622 51.5694626, -0.1432806 51.5694136, -0.1431795 51.5693551))"
St Martin-in-the-Fields,attraction,"POLYGON ((-0.127032 51.5089115, -0.1270319 51.5087476, -0.1269201 51.5087476, -0.1269201 51.5087264, -0.1263208 51.5087265, -0.1263209 51.50894, -0.1269248 51.5089399, -0.1269248 51.5089115, -0.127032 51.5089115))"
The Shard,attraction,"POLYGON ((-0.0860856 51.503924, -0.0864252 51.5041172, -0.086717 51.5042388, -0.086981 51.5043487, -0.0869718 51.5043615, -0.0869002 51.5044612, -0.0868286 51.5045608, -0.0868501 51.5045864, -0.086679 51.50468, -0.0865094 51.5047728, -0.0862251 51.5046816, -0.0862427 51.504653, -0.0860078 51.5045227, -0.0860487 51.5044623, -0.0860454 51.5044013, -0.0859134 51.5043355, -0.0860883 51.5041957, -0.0861589 51.504228, -0.0861786 51.5042158, -0.0859555 51.5040965, -0.0860856 51.503924))"
Golden Hinde,attraction,"POLYGON ((-0.0903767 51.5067545, -0.0903786 51.5068444, -0.0903382 51.5069695, -0.0902908 51.5070678, -0.0902311 51.5070598, -0.0902604 51.5069534, -0.0903077 51.5068348, -0.0903767 51.5067545))"
St Bartholomew-The Great,attraction,"POLYGON ((-0.0997799 51.5189546, -0.0998063 51.5189374, -0.0998056 51.5189288, -0.0997868 51.5189145, -0.0997771 51.5189145, -0.0997646 51.518905, -0.099784 51.518895, -0.099757 51.5188709, -0.0998008 51.5188492, -0.099712 51.5187791, -0.099757 51.5187588, -0.0997388 51.5187432, -0.0997183 51.5187255, -0.0997068 51.5187157, -0.0996726 51.5187306, -0.0994742 51.5185869, -0.0993814 51.5186366, -0.0994622 51.5186942, -0.0995366 51.5187474, -0.0994246 51.5188064, -0.0994598 51.5188341, -0.0993117 51.5189074, -0.0992746 51.5188803, -0.0992082 51.5189136, -0.0992517 51.518944, -0.099164 51.5189854, -0.0992144 51.519024, -0.0990093 51.5191183, -0.099106 51.5191977, -0.099307 51.5191038, -0.0993438 51.5190893, -0.0993769 51.5190977, -0.0994069 51.5191017, -0.0994239 51.5191155, -0.0995087 51.5190811, -0.0994976 51.5190713, -0.0996414 51.5190059, -0.0996533 51.5190071, -0.0996639 51.519014, -0.0997289 51.5189859, -0.0997529 51.5190025, -0.0998073 51.5189744, -0.0997799 51.5189546))"
Pembroke Lodge Gardens,attraction,"POLYGON ((-0.29269 51.4410537, -0.2932136 51.4408985, -0.2938316 51.4408504, -0.2941663 51.4408985, -0.2943466 51.4410162, -0.2947671 51.4414014, -0.2950418 51.4416047, -0.2951877 51.4417652, -0.2954023 51.4420648, -0.2952821 51.4424554, -0.2950761 51.4428566, -0.2949731 51.4436216, -0.2948734 51.4444918, -0.2948922 51.4446247, -0.2950469 51.4447687, -0.2951021 51.444918, -0.295038 51.4453859, -0.2953182 51.4459477, -0.2953252 51.4461267, -0.2951877 51.4463017, -0.2951323 51.446308, -0.2949216 51.4462429, -0.2947671 51.4460824, -0.2946384 51.4458524, -0.2946126 51.4455635, -0.294544 51.4453923, -0.2941577 51.4448365, -0.2940293 51.4446721, -0.2939806 51.4446779, -0.2939242 51.4446699, -0.2938949 51.4446171, -0.2938847 51.4445581, -0.2939174 51.4443468, -0.2938826 51.4443464, -0.2937878 51.4443403, -0.2936696 51.4441448, -0.2935897 51.4433525, -0.2935372 51.4428129, -0.2937242 51.4427947, -0.2936244 51.4425426, -0.293617 51.4425196, -0.2935366 51.4423498, -0.2934282 51.4422895, -0.2931535 51.4419632, -0.2926986 51.4416796, -0.2926385 51.4414335, -0.29269 51.4410537))"
Royal Opera House,attraction,"POLYGON ((-0.1232616 51.513011, -0.1233905 51.5129428, -0.1235035 51.5128824, -0.1235546 51.5128549, -0.1235628 51.512861, -0.12362 51.512832, -0.1235999 51.5128134, -0.1236122 51.5128068, -0.1235641 51.5127639, -0.1235159 51.5127211, -0.1234678 51.5126783, -0.1234196 51.5126355, -0.1233715 51.5125926, -0.1233233 51.5125498, -0.1233177 51.5125528, -0.1232962 51.5125344, -0.1232881 51.5125379, -0.1232704 51.5125232, -0.1232789 51.5125195, -0.1232064 51.5124572, -0.1231368 51.5123984, -0.1231052 51.512372, -0.1230808 51.5123512, -0.1223711 51.5126594, -0.1220503 51.5123823, -0.1220146 51.5123983, -0.1219862 51.512411, -0.1218755 51.5124606, -0.1218035 51.5124929, -0.1217315 51.5125252, -0.1216595 51.5125575, -0.1215875 51.5125898, -0.1215155 51.5126221, -0.1214735 51.5126432, -0.1213927 51.5126787, -0.1213827 51.5126846, -0.1215145 51.5128016, -0.1215217 51.5127974, -0.1215953 51.512854, -0.1215819 51.5128615, -0.1218018 51.5130203, -0.1218862 51.5129781, -0.1219241 51.5130067, -0.121866 51.5130375, -0.1220422 51.5131658, -0.1220831 51.5131957, -0.1221336 51.5131688, -0.1221932 51.5132081, -0.1221378 51.513241, -0.1223955 51.5134089, -0.1224509 51.513376, -0.1225054 51.513417, -0.1229002 51.513203, -0.1231898 51.5130506, -0.1232616 51.513011))"
Peace Pagoda,attraction,"POLYGON ((-0.1591135 51.482101, -0.1591528 51.4820865, -0.159183 51.4820651, -0.1592011 51.482039, -0.1592053 51.4820106, -0.1591953 51.4819829, -0.159172 51.4819584, -0.1591377 51.4819396, -0.1590957 51.4819284, -0.1590503 51.4819257, -0.1590057 51.481932, -0.1589664 51.4819465, -0.1589362 51.4819678, -0.1589181 51.481994, -0.1589139 51.4820223, -0.1589239 51.4820501, -0.1589472 51.4820745, -0.1589815 51.4820933, -0.1590235 51.4821046, -0.159069 51.4821072, -0.1591135 51.482101))"
Old Royal Naval College,attraction,"POLYGON ((-0.0047105 51.4846014, -0.0050092 51.4845016, -0.0062738 51.484079, -0.0075109 51.4836693, -0.0081891 51.4834447, -0.0084657 51.4836214, -0.0090558 51.4835154, -0.0090791 51.4835112, -0.0091525 51.4834985, -0.0092424 51.4834828, -0.0094315 51.48345, -0.009257 51.4830916, -0.0092404 51.4830576, -0.0092282 51.4830351, -0.009216 51.4830126, -0.0091269 51.4828297, -0.008981 51.4825804, -0.0089403 51.4825114, -0.0088063 51.4822891, -0.0087704 51.4822483, -0.0087628 51.4822395, -0.0087247 51.4821926, -0.0086866 51.4821457, -0.0086781 51.4821352, -0.00864 51.4820908, -0.0086468 51.4820883, -0.0084512 51.4818312, -0.0084328 51.4818077, -0.0084165 51.4817869, -0.0080593 51.481331, -0.0080488 51.4813194, -0.0080331 51.4813086, -0.0080134 51.4813009, -0.0079832 51.4812962, -0.0079522 51.4812985, -0.0079245 51.4813063, -0.0071881 51.4815555, -0.0071555 51.4815666, -0.0071229 51.4815776, -0.0066872 51.4817251, -0.0067141 51.4817561, -0.0066988 51.4817612, -0.0066623 51.4817738, -0.0066258 51.4817865, -0.0065996 51.4817565, -0.0047834 51.4823682, -0.0032757 51.4828801, -0.0032606 51.4828904, -0.0032542 51.4829035, -0.0032539 51.482919, -0.0032617 51.4829339, -0.0039028 51.4837241, -0.0039153 51.4837315, -0.0039354 51.4837324, -0.003981 51.4837175, -0.0040286 51.4837781, -0.004074 51.483836, -0.0040303 51.48385, -0.0040219 51.483864, -0.0040268 51.4838762, -0.0043243 51.4842114, -0.0046537 51.4845908, -0.0046631 51.4845996, -0.0046778 51.4846049, -0.0046948 51.4846056, -0.0047105 51.4846014))"
B.U.G.S.,attraction,"POLYGON ((-0.1515477 51.5338272, -0.151625 51.5339927, -0.1518482 51.5340514, -0.1517537 51.5342383, -0.1518739 51.5344626, -0.1521486 51.533982, -0.1515477 51.5338272))"
Marble Arch,attraction,"POLYGON ((-0.159072 51.5131991, -0.1588283 51.5132316, -0.1588011 51.5131524, -0.1590447 51.5131199, -0.159072 51.5131991))"
Deer House,attraction,"POLYGON ((-0.2590734 51.4851039, -0.2590111 51.4850629, -0.2589269 51.4851085, -0.2589891 51.4851495, -0.2590734 51.4851039))"
Gorilla Kingdom,attraction,"POLYGON ((-0.155274 51.5356483, -0.1548586 51.535629, -0.1548169 51.5356871, -0.1544326 51.535586, -0.1544328 51.5354938, -0.1543775 51.5354882, -0.1544404 51.5353973, -0.1545086 51.5352989, -0.1545167 51.5352871, -0.1545656 51.5352166, -0.1547146 51.5350318, -0.1555507 51.5352371, -0.1555371 51.5353057, -0.1554826 51.5354166, -0.155274 51.5356483))"
Bearded Pigs,attraction,"POLYGON ((-0.1547799 51.5348969, -0.154709 51.5349288, -0.1546592 51.5349382, -0.154564 51.5349268, -0.1543944 51.5348818, -0.1543707 51.5348124, -0.1544101 51.5347565, -0.1544598 51.5347541, -0.1545349 51.5347641, -0.1545584 51.5347238, -0.1546187 51.5347144, -0.1546994 51.5347293, -0.1548557 51.5348014, -0.1547799 51.5348969))"
Malayan Tapir,attraction,"POLYGON ((-0.1547654 51.5343683, -0.1547087 51.5343298, -0.1546855 51.5343365, -0.1546711 51.5343211, -0.1547038 51.5343056, -0.1546907 51.5342714, -0.1546278 51.5342606, -0.1545873 51.5342909, -0.1545048 51.5342958, -0.1544865 51.5343268, -0.1544488 51.534333, -0.1544027 51.5343137, -0.1543372 51.5343439, -0.1542886 51.5343089, -0.1543925 51.5342123, -0.1544896 51.5341788, -0.1545637 51.5341773, -0.1547818 51.5342009, -0.154902 51.5342346, -0.1549336 51.5342439, -0.1549679 51.5343027, -0.1548945 51.5343736, -0.154753 51.5344062, -0.1547405 51.5343927, -0.1547654 51.5343683))"
Mangabeys,attraction,"POLYGON ((-0.1543775 51.5354882, -0.1541698 51.5354421, -0.1542258 51.5353463, -0.1542905 51.5352425, -0.1543737 51.5351108, -0.1544247 51.5351137, -0.1544813 51.5351565, -0.1545656 51.5352166, -0.1545167 51.5352871, -0.1545086 51.5352989, -0.1544404 51.5353973, -0.1543775 51.5354882))"
Butterfly Paradise,attraction,"POLYGON ((-0.1521754 51.5351035, -0.1524386 51.535255, -0.1524669 51.5352398, -0.1525066 51.5352673, -0.1525259 51.5352556, -0.1525459 51.5352435, -0.1525092 51.5352162, -0.1525411 51.5351955, -0.1522695 51.5350368, -0.1522228 51.5350674, -0.1521754 51.5351035))"
Pelicans and Flamingoes,attraction,"POLYGON ((-0.1529187 51.5349562, -0.1528037 51.5350411, -0.1525885 51.5350745, -0.1524774 51.5350623, -0.1523967 51.5350373, -0.1523511 51.5350074, -0.152343 51.5349688, -0.1523313 51.5349104, -0.1523096 51.5347799, -0.1523402 51.5347442, -0.1524139 51.5347261, -0.1525336 51.5347163, -0.1527067 51.5347419, -0.1528529 51.5347792, -0.1529272 51.5348205, -0.1529604 51.5348597, -0.1529187 51.5349562))"
Land of the Lions,attraction,"POLYGON ((-0.1528759 51.5338687, -0.1528065 51.533836, -0.1528325 51.5337413, -0.1526971 51.5336901, -0.1524947 51.5336552, -0.1524084 51.5337976, -0.1522771 51.5339813, -0.1521632 51.5342099, -0.1520338 51.5344427, -0.1520094 51.5345991, -0.1520104 51.53472, -0.1522174 51.5347404, -0.1522474 51.5347008, -0.1523888 51.534689, -0.1529183 51.5346988, -0.1532084 51.5344121, -0.1533529 51.5342399, -0.1533174 51.5341381, -0.1531474 51.5340159, -0.1530601 51.5338672, -0.1530176 51.5338437, -0.1529492 51.5338495, -0.1528759 51.5338687))"
Giant anteater,attraction,"POLYGON ((-0.1514846 51.5338011, -0.1515521 51.5339845, -0.1514615 51.5339975, -0.151394 51.5338141, -0.1514846 51.5338011))"
Otters,attraction,"POLYGON ((-0.1541574 51.536714, -0.153835 51.5367528, -0.1536991 51.5364364, -0.154231 51.5363822, -0.1541574 51.536714))"
Fruit bats,attraction,"POLYGON ((-0.1547345 51.5365125, -0.1547691 51.5365073, -0.1547786 51.5365316, -0.1544994 51.536574, -0.1544583 51.5365757, -0.1544235 51.5365695, -0.1543918 51.5365556, -0.1543708 51.5365376, -0.1543191 51.536546, -0.1543132 51.536526, -0.1543128 51.5365077, -0.1543591 51.5364999, -0.1543633 51.536486, -0.1543694 51.536476, -0.1543911 51.5364566, -0.1544185 51.5364438, -0.1544445 51.5364376, -0.1544842 51.536436, -0.1545132 51.5364405, -0.1545445 51.5364521, -0.1545698 51.536471, -0.154604 51.5364659, -0.1547345 51.5365125))"
Meerkats,attraction,"POLYGON ((-0.1546185 51.5363742, -0.1542831 51.5364337, -0.154244 51.5363453, -0.1545823 51.5362876, -0.1546185 51.5363742))"
African wild dogs,attraction,"POLYGON ((-0.1582346 51.5359628, -0.1567625 51.5363342, -0.1566938 51.5362113, -0.1570399 51.5361329, -0.1570654 51.536169, -0.157511 51.5360665, -0.1574962 51.5360406, -0.15779 51.5359805, -0.1581863 51.5358851, -0.1582346 51.5359628))"
Warthogs,attraction,"POLYGON ((-0.1591242 51.5357434, -0.1582346 51.5359628, -0.1581863 51.5358851, -0.1581769 51.5358699, -0.1584409 51.5358012, -0.1587629 51.5357175, -0.1590516 51.5356424, -0.1591242 51.5357434))"
Okapis,attraction,"POLYGON ((-0.1586009 51.5356475, -0.1586802 51.5356243, -0.1589685 51.5355498, -0.1587967 51.5352855, -0.1584185 51.5353752, -0.1584965 51.5354906, -0.1585197 51.5355254, -0.1586009 51.5356475))"
Zebras,attraction,"POLYGON ((-0.1582724 51.5354119, -0.1583479 51.5355256, -0.1583772 51.535562, -0.1584584 51.5356841, -0.1583688 51.5357058, -0.1581642 51.5357586, -0.1579878 51.5354811, -0.1582724 51.5354119))"
Giraffes,attraction,"POLYGON ((-0.1579878 51.5354811, -0.1569572 51.5357396, -0.1571551 51.5360662, -0.1582036 51.5358206, -0.1581642 51.5357586, -0.1579878 51.5354811))"
Reptile House,attraction,"POLYGON ((-0.1558143 51.5347431, -0.1561317 51.5348219, -0.1559177 51.5351553, -0.1559902 51.5351733, -0.1559482 51.5352388, -0.155885 51.5352231, -0.1558614 51.5352599, -0.1555348 51.5351788, -0.1558143 51.5347431))"
Toucan,attraction,"POLYGON ((-0.1523851 51.5337294, -0.1521653 51.5336832, -0.1522215 51.5335796, -0.1524377 51.5336285, -0.1523851 51.5337294))"
Penguin Beach,attraction,"POLYGON ((-0.152515 51.5359015, -0.1524626 51.5358985, -0.1524304 51.5358856, -0.1523986 51.5358667, -0.1523466 51.5358675, -0.1523204 51.5358529, -0.1523187 51.5358156, -0.1523343 51.5357891, -0.152382 51.5357736, -0.1524325 51.5357571, -0.1524532 51.5357353, -0.1524245 51.5356207, -0.1523939 51.5356108, -0.1523642 51.5355923, -0.1523256 51.5355553, -0.1523296 51.5354629, -0.1525232 51.5354654, -0.1525489 51.5354843, -0.1525473 51.5354968, -0.1525537 51.5355083, -0.1525634 51.5355228, -0.1525666 51.5355493, -0.1525562 51.5355743, -0.1525361 51.5355923, -0.152508 51.5356008, -0.1524967 51.5356133, -0.1525613 51.5357345, -0.1525987 51.5357526, -0.1526301 51.5357782, -0.1526692 51.5358184, -0.1526602 51.5358498, -0.152621 51.5358793, -0.1525691 51.5358943, -0.152515 51.5359015))"
Queen Elizabeth's Hunting Lodge,attraction,"POLYGON ((0.0174649 51.6344694, 0.0174778 51.6344533, 0.0175313 51.6343818, 0.0175985 51.6344007, 0.0175734 51.6344364, 0.0175982 51.6344434, 0.0176027 51.6344371, 0.0176378 51.6344474, 0.017592 51.6345123, 0.0174649 51.6344694))"
St George's Bloomsbury,attraction,"POLYGON ((-0.1247004 51.5175121, -0.1244364 51.5176209, -0.1245792 51.5177516, -0.1245625 51.5177765, -0.1245613 51.5177918, -0.1245842 51.5178123, -0.124616 51.5178196, -0.1246461 51.5178158, -0.1247545 51.5179073, -0.125017 51.5178019, -0.1249127 51.5177116, -0.1249588 51.5176906, -0.1248628 51.5176133, -0.124834 51.5176269, -0.1247004 51.5175121))"
Ranger's House,attraction,"POLYGON ((-0.0016852 51.4735319, -0.0017043 51.4735243, -0.0017548 51.4735738, -0.0018632 51.4735298, -0.0018564 51.4735234, -0.0018529 51.4735201, -0.0018611 51.4735155, -0.0018666 51.4735082, -0.0018675 51.4734999, -0.0018652 51.4734915, -0.0018578 51.4734837, -0.0018463 51.4734771, -0.0018314 51.4734745, -0.0018187 51.4734743, -0.0018087 51.4734763, -0.001802 51.4734701, -0.0017618 51.473487, -0.0017569 51.4734822, -0.0017022 51.4734298, -0.0016869 51.4734151, -0.0016787 51.4734072, -0.0016716 51.4734004, -0.0016199 51.4733508, -0.0016147 51.4733459, -0.001647 51.4733326, -0.0016397 51.4733257, -0.0016462 51.4733201, -0.0016501 51.4733139, -0.0016513 51.4733066, -0.0016488 51.4732992, -0.0016417 51.4732918, -0.0016312 51.4732859, -0.0016184 51.4732826, -0.0016052 51.4732816, -0.0015934 51.4732828, -0.001586 51.4732775, -0.0015165 51.473305, -0.0014649 51.473296, -0.0014247 51.4733129, -0.0014202 51.4733471, -0.0014082 51.4733523, -0.0014033 51.4733479, -0.0013791 51.473358, -0.0013842 51.4733626, -0.0013597 51.4733732, -0.0013515 51.4733768, -0.0013587 51.4733825, -0.001354 51.4733863, -0.0013508 51.4733906, -0.0013486 51.4733957, -0.0013486 51.4734008, -0.0013499 51.4734071, -0.0013526 51.4734129, -0.0013585 51.4734185, -0.0013662 51.4734227, -0.0013767 51.4734261, -0.0013883 51.4734274, -0.0013976 51.4734271, -0.0014059 51.473425, -0.0014132 51.4734321, -0.0014229 51.4734282, -0.0014437 51.4734198, -0.0015216 51.4734871, -0.0015537 51.4735143, -0.0015484 51.4735165, -0.001631 51.4735879, -0.0017097 51.4735545, -0.0016852 51.4735319))"
Marquee,attraction,"POLYGON ((-0.2581695 51.4839254, -0.2582892 51.483841, -0.2579888 51.483654, -0.2578762 51.4837375, -0.2581695 51.4839254))"
Inigo Jones Gateway,attraction,"POLYGON ((-0.2580555 51.4844273, -0.2579951 51.4843889, -0.2579643 51.4844106, -0.2580246 51.4844473, -0.2580555 51.4844273))"
The Royal Central School of Speech and Drama,attraction,"POLYGON ((-0.1746546 51.5444899, -0.1747314 51.5446589, -0.1745455 51.5447363, -0.1745382 51.5447394, -0.1742713 51.5444958, -0.1737548 51.5446273, -0.1737011 51.5445889, -0.173662 51.544561, -0.1736205 51.5445314, -0.1734635 51.5444235, -0.1734089 51.5443846, -0.1736667 51.5442305, -0.1737666 51.5441722, -0.1738638 51.544115, -0.1739123 51.5441066, -0.174328 51.5439767, -0.1746396 51.5438638, -0.1747151 51.5438522, -0.1746825 51.5440912, -0.1746546 51.5444899))"
Bankside Gallery,attraction,"POLYGON ((-0.1014491 51.5082436, -0.100881 51.5082398, -0.1008832 51.5081149, -0.1014513 51.5081187, -0.1014491 51.5082436))"
St. Marylebone Parish Church,attraction,"POLYGON ((-0.1525459 51.5228256, -0.1522605 51.5228747, -0.1522436 51.5228289, -0.1521724 51.5228399, -0.1521371 51.5227705, -0.1522099 51.5227572, -0.1521133 51.522573, -0.1520406 51.5225535, -0.1520832 51.522473, -0.1521521 51.5224858, -0.1521686 51.5224665, -0.1521813 51.5224531, -0.1522066 51.5224436, -0.152239 51.5224418, -0.1522627 51.5224444, -0.1522843 51.5224531, -0.1522957 51.5224633, -0.1523358 51.5224281, -0.152361 51.5224339, -0.1523849 51.5224313, -0.152412 51.5224347, -0.1524303 51.5224428, -0.1524429 51.5224546, -0.1524432 51.5224705, -0.1524557 51.5224802, -0.1524095 51.5225153, -0.1524929 51.5227073, -0.152573 51.5226954, -0.1526124 51.522784, -0.1525344 51.5227967, -0.1525459 51.5228256))"
St. Mary-Le-Bow,attraction,"POLYGON ((-0.0935536 51.5139369, -0.0935472 51.5139359, -0.0934774 51.5139226, -0.093528 51.5138101, -0.0933286 51.5137744, -0.0934311 51.5135506, -0.0937635 51.5136177, -0.0937308 51.5136949, -0.0936273 51.5139393, -0.0936252 51.5139444, -0.0935536 51.5139369))"
St James's Church,attraction,"POLYGON ((-0.1365075 51.508819, -0.1365247 51.5088134, -0.136589 51.5087915, -0.1368467 51.5087065, -0.1368311 51.5086883, -0.1369347 51.5086554, -0.1368321 51.508536, -0.1368039 51.5085004, -0.1367521 51.5085176, -0.1367108 51.5085312, -0.1366951 51.5085129, -0.1363448 51.5086291, -0.1365075 51.508819))"
Surrey Docks Farm,attraction,"POLYGON ((-0.0342444 51.5000127, -0.0338782 51.5000632, -0.0333929 51.5000867, -0.0327826 51.5000845, -0.0327424 51.5000837, -0.0326865 51.4998209, -0.0325505 51.4993286, -0.0325897 51.4993294, -0.0330642 51.4993448, -0.034223 51.4993648, -0.0342444 51.5000127))"
Camden Lock Market,attraction,"POLYGON ((-0.1461282 51.5416126, -0.1460276 51.5415612, -0.1459029 51.5416151, -0.1458345 51.541625, -0.1457595 51.5416092, -0.1453142 51.5413642, -0.1454284 51.5413273, -0.1455287 51.5413096, -0.1455959 51.5412737, -0.1456475 51.5412209, -0.1458007 51.5411552, -0.1460046 51.5410912, -0.1462134 51.5410402, -0.1463034 51.5411634, -0.1463852 51.5411461, -0.1463753 51.5411062, -0.1462708 51.5409719, -0.1464668 51.5409172, -0.1465558 51.5408967, -0.1465651 51.5409085, -0.1467812 51.5412469, -0.1467787 51.5412556, -0.146817 51.5412541, -0.1468722 51.5413312, -0.1463917 51.5415175, -0.1461282 51.5416126))"
