geometry,nodes,designation,leisure,name,source:designation
"POLYGON ((-0.1221047 51.3075429, -0.1220751 51.3076369, -0.1220302 51.307839, -0.1220261 51.3079133, -0.1222934 51.308197, -0.1225463 51.3085113, -0.122645 51.3086784, -0.1226713 51.3087643, -0.1227088 51.3088866, -0.1226965 51.3091566, -0.1226512 51.3093854, -0.1226061 51.3094829, -0.1225236 51.3096609, -0.1230142 51.3094747, -0.1229013 51.3093955, -0.1233657 51.3091529, -0.1236957 51.3090721, -0.1237958 51.3090852, -0.1238973 51.3090631, -0.1239617 51.3090244, -0.1239875 51.3089722, -0.1241052 51.3089113, -0.1238955 51.3087665, -0.1236707 51.3086113, -0.1235316 51.3085182, -0.1233983 51.3084345, -0.1233123 51.3083818, -0.1233401 51.3082947, -0.1231694 51.3078094, -0.1231386 51.3076783, -0.1231568 51.3075641, -0.1231713 51.3075077, -0.1221047 51.3075429))","[1920523243, 1920523250, 1920523314, 1920523326, 1920523340, 1920523366, 1920523389, 9420259717, 1920523404, 1920523437, 1920523450, 1920523478, 1920523491, 1920523474, 1920523451, 1389585951, 1389585950, 1389585954, 1920523412, 1389585952, 1388682455, 1389585947, 9420259723, 1920523374, 6316985482, 6316985481, 1920523358, 1920523349, 1920523301, 1920523256, 1920523207, 1920523203, 1920523243]",common,common,Bradmore Green,defra_common_land_2015
"POLYGON ((0.0942439 51.5643866, 0.0942455 51.5643454, 0.0942504 51.5642177, 0.0944315 51.5642177, 0.0944263 51.5643906, 0.0942439 51.5643866))","[10167640923, 10167640935, 10167640924, 10167640925, 10167640926, 10167640923]",,common,,
