created_by,geometry,source,access,barrier,leaf_cycle,leaf_type,natural,note,name,place,nodes,landuse,leisure,wikidata,website,wikipedia,description,is_in:district,designation,source:name,operator,addr:city,BROADHAB,CREATEDATE,CREATEDBY,HABDEFVER,INCID,INTERPQUAL,NBNPRIHAB,PHABFEANOT,PRIDET,PRIHAB,PRIHABTXT,S1BOUNDARY,S1CAPTDATE,S1HABCLASS,S1HABID,S1HABTYPE,SOURCE1TXT,fixme,landcover,layer,jungle,surface,operator:wikidata,produce,ways,type,alt_name,local_name
,"POLYGON ((-0.1503091 51.6054761, -0.1503252 51.6054729, -0.1503464 51.6054741, -0.150374 51.6054882, -0.1504 51.6055038, -0.1504335 51.6055917, -0.1504539 51.6056454, -0.1503854 51.6056554, -0.1503932 51.6056758, -0.150401 51.6056962, -0.1504087 51.6057166, -0.1504165 51.605737, -0.1504242 51.6057574, -0.150432 51.6057778, -0.1504398 51.6057982, -0.1504514 51.6058234, -0.1504773 51.6058499, -0.1505107 51.6058757, -0.1505736 51.6059067, -0.1506366 51.6059377, -0.1509591 51.6061044, -0.1510655 51.6060883, -0.1510827 51.606133, -0.151106 51.6061756, -0.1509634 51.6062001, -0.1509151 51.6061933, -0.1503532 51.6059274, -0.1500193 51.6056981, -0.1500022 51.6056772, -0.1500234 51.6056552, -0.1500622 51.6055944, -0.1501719 51.6055235, -0.1503091 51.6054761))",,,,,broadleaved,,,,,"[1983317737, 9957019402, 9957019403, 9919843318, 1983317692, 1983317695, 9957019407, 1983317642, 9957019408, 9957019406, 9957019410, 9957021526, 9957021527, 9957021528, 9957021522, 9957021518, 1983317602, 9957019416, 9957019411, 9957019413, 1983317598, 1983317630, 1983317628, 9957021600, 1983317635, 1983317716, 9919843321, 1983317528, 1983317662, 1983317530, 9919843320, 1983317603, 1983317737]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1514671 51.6064789, -0.1512173 51.6063414, -0.1512096 51.606309, -0.1512659 51.6062736, -0.1515606 51.606443, -0.1514671 51.6064789))",,,,,broadleaved,,,,,"[1983317713, 1983317761, 1983317789, 1983317536, 1983317649, 1983317713]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1517001 51.6049795, -0.1514591 51.6050946, -0.1512311 51.6051845, -0.1507644 51.6053311, -0.1504157 51.6054294, -0.1504609 51.6054868, -0.1504884 51.6055552, -0.150576 51.6055423, -0.1511148 51.6054632, -0.1511582 51.6054569, -0.1511259 51.605372, -0.1514497 51.6053245, -0.1517734 51.6052769, -0.1520972 51.6052294, -0.1524209 51.6051818, -0.1527447 51.6051343, -0.1530684 51.6050867, -0.1531846 51.6053789, -0.1534541 51.6053393, -0.1535315 51.6055426, -0.153609 51.6057459, -0.1536286 51.6057976, -0.1546934 51.6056501, -0.1551686 51.6055877, -0.1549807 51.6055949, -0.1547839 51.6056063, -0.1539244 51.605717, -0.1530006 51.6049307, -0.1527007 51.6047864, -0.1518613 51.6051703, -0.1517001 51.6049795))",,,,,,,,,,"[49786491, 1983324189, 1983324179, 1983324183, 1983324192, 1983324161, 1983317555, 1983317699, 1983317534, 1983324206, 49786464, 9951416188, 9951416187, 9951416186, 9951416185, 9951416184, 49786465, 9951416175, 49786468, 9951416177, 49786455, 1983324201, 1983324158, 1983368315, 1983368292, 1983324181, 49786475, 49786493, 49786473, 49786471, 49786491]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1513276 51.6050663, -0.1514725 51.605013, -0.15162 51.604928, -0.1515905 51.6048947, -0.151671 51.604853, -0.1517139 51.604888, -0.1519495 51.6047688, -0.1522848 51.6045989, -0.1525293 51.6044349, -0.1527434 51.6043024, -0.1530117 51.6041125, -0.1532883 51.6038468, -0.1533594 51.6037528, -0.1533882 51.6037094, -0.1533078 51.6036877, -0.1531791 51.6036723, -0.1530201 51.6036719, -0.1529811 51.6036295, -0.1513302 51.6040252, -0.1514081 51.6043666, -0.1514027 51.6045199, -0.1514322 51.6046281, -0.151451 51.6047398, -0.1514882 51.6048055, -0.1513728 51.6049521, -0.151333 51.6050196, -0.1513276 51.6050663))",,,,,,,,,,"[5218354580, 1983368264, 1983368283, 1983368209, 1983368238, 1983368222, 1983368229, 1983368331, 1983368226, 1983368266, 1983368336, 1983368309, 1983368212, 1983368305, 1983368256, 1983368240, 1983368318, 621406364, 621406367, 1983368303, 5218354574, 5218354575, 5218354576, 5218354577, 5218354578, 5218354579, 5218354580]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1545981 51.6041071, -0.1548682 51.6043233, -0.1553864 51.6046836, -0.1560831 51.605048, -0.1561918 51.6051999, -0.1561768 51.6052472, -0.15612 51.6053533, -0.1560356 51.6054411, -0.1558829 51.6054861, -0.1551686 51.6055877, -0.1549807 51.6055949, -0.1549827 51.6055353, -0.1555292 51.6054946, -0.1556751 51.6054128, -0.1558843 51.6054302, -0.1560747 51.6052045, -0.1558423 51.6050074, -0.1552944 51.6047378, -0.1545905 51.6042678, -0.1545981 51.6041071))",,,,,broadleaved,,,,,"[49786482, 1983368257, 1983368210, 9549061295, 1983368236, 1983368214, 9549061296, 1983368295, 1983368244, 1983368315, 1983368292, 1983368275, 1983368228, 1983368203, 49786477, 49786479, 1983368213, 49786481, 1983368285, 49786482]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1515127 51.6068404, -0.1516012 51.606892, -0.1515851 51.6069337, -0.1514001 51.606982, -0.1510111 51.6070486, -0.1509441 51.6070336, -0.1509253 51.6069886, -0.1510889 51.6069553, -0.1511426 51.6069137, -0.1512713 51.6068587, -0.1513862 51.6068661, -0.1515127 51.6068404))",,,,,broadleaved,,,,,"[1983555146, 1983555224, 1983555139, 1983555214, 1983555187, 1983555249, 1983555253, 1983555176, 1983555178, 1983555110, 1983555150, 1983555146]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1510514 51.6065705, -0.1498735 51.6068659, -0.148991 51.6071141, -0.1494876 51.606907, -0.1501256 51.6066446, -0.1504689 51.6065146, -0.1507456 51.6064306, -0.1508498 51.606453, -0.1509602 51.6065122, -0.1510514 51.6065705))",,,,,,,,,,"[1983555236, 1983555167, 1983555241, 1983555232, 1983555123, 1983555159, 1983555199, 1983555114, 1983555181, 1983555236]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1533175 51.6065787, -0.1522791 51.6068812, -0.1522346 51.6069862, -0.1525544 51.6072401, -0.1526522 51.60729, -0.1526983 51.6073334, -0.1527061 51.6074083, -0.1528861 51.6075842, -0.1529705 51.6075508, -0.1528989 51.6074578, -0.1528962 51.6073995, -0.1528452 51.6073112, -0.1526387 51.607128, -0.1525073 51.6069831, -0.1524508 51.6069468, -0.1524328 51.6069187, -0.1532792 51.6066396, -0.1532918 51.6066195, -0.1535259 51.6065449, -0.1535034 51.6065277, -0.1533175 51.6065787))",,,,,broadleaved,,,,,"[1984565080, 1984564953, 1984564918, 1984564959, 1984565056, 1984565016, 1984564903, 1984565095, 1984564960, 1984565087, 1984564983, 1984565047, 1984565064, 1984564938, 1984564987, 1984565013, 1984564974, 9502732504, 9502732505, 9502732506, 1984565080]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1531159 51.6078286, -0.1531515 51.6078049, -0.1531778 51.607751, -0.153092 51.607666, -0.1530142 51.6075827, -0.1529219 51.6076192, -0.1530952 51.6078273, -0.1531159 51.6078286))",,,,,broadleaved,,,,,"[9502735223, 1984564916, 1984564958, 1984565094, 1984565003, 1984565098, 9502735224, 9502735223]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.174724 51.6047592, -0.174783 51.6047958, -0.1748152 51.6048924, -0.1748554 51.6050257, -0.1748447 51.6055088, -0.1748635 51.6060769, -0.1748693 51.606429, -0.1749175 51.6072668, -0.174724 51.6073279, -0.1745765 51.6073195, -0.1746006 51.6072946, -0.1747267 51.6072912, -0.1747803 51.607263, -0.174783 51.6069314, -0.1747803 51.6065983, -0.1747482 51.6065766, -0.1747341 51.6062055, -0.1746918 51.6060202, -0.1747374 51.6059769, -0.1747508 51.6058586, -0.1747294 51.6052839, -0.1747562 51.605099, -0.1747616 51.605019, -0.1747401 51.6048958, -0.1746972 51.6047908, -0.174724 51.6047592))",,,,,broadleaved,,,,,"[1984715712, 1984715669, 1984715691, 1984715667, 1984715670, 1984715692, 1984715638, 1984715661, 1984715677, 1984715651, 1984715656, 1984715683, 1984715639, 1984715643, 1984715640, 1984715658, 1984715668, 1984715655, 1984715647, 1984715699, 1984715694, 1984715719, 1984715700, 1984715717, 1984715715, 1984715712]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1723192 51.6062957, -0.1723198 51.6062957, -0.1708902 51.6062974, -0.170897 51.6062173, -0.170638 51.6062258, -0.1706207 51.6061857, -0.1704291 51.6061837, -0.1702989 51.6062107, -0.1701928 51.6061941, -0.1700372 51.6061991, -0.1699261 51.606184, -0.169809 51.6061802, -0.1697757 51.6062168, -0.1693186 51.606209, -0.1693199 51.6063584, -0.1691834 51.6063574, -0.1691673 51.6062014, -0.1689137 51.6062089, -0.1688495 51.6060772, -0.1692107 51.6060344, -0.1693156 51.6061112, -0.1704424 51.6061139, -0.1706061 51.6061058, -0.1708178 51.606166, -0.171178 51.6062159, -0.1718872 51.6062367, -0.1722232 51.6061935, -0.1722254 51.6062602, -0.1723189 51.6062604, -0.1723192 51.6062957))",,,,,,,,,,"[1984735690, 4994823497, 1984735699, 1984735702, 1984735713, 1984735710, 4994752688, 1984735691, 4994752692, 1984735707, 4994752693, 1984735682, 1984735708, 1984735706, 1984735703, 1984735688, 1984735712, 1984735694, 279562118, 21042236, 1984735680, 21042235, 1984735714, 1984735686, 1984735697, 1984735711, 21042239, 4994823498, 4994823499, 1984735690]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.165935 51.6063474, -0.1659377 51.6062741, -0.1659216 51.6062274, -0.1658762 51.6062041, -0.1658011 51.6062124, -0.1658035 51.6062507, -0.165935 51.6063474))",,,,,,,,,,"[1985057609, 1985057644, 1985057721, 1985057687, 1985057607, 1985057628, 1985057609]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1536771 51.6132031, -0.1536771 51.613173, -0.1535841 51.6131317, -0.153475 51.6130995, -0.1532873 51.6130945, -0.1531719 51.6131312, -0.1530754 51.6131761, -0.1530378 51.6132195, -0.1530459 51.6132694, -0.1530888 51.6132911, -0.1531771 51.6132839, -0.1533159 51.6132471, -0.1534854 51.6132415, -0.1536771 51.6132031))",,,,,,,,,,"[1985236554, 1985236413, 1985236467, 1985236584, 1985236469, 1985236307, 1985236464, 1985236510, 1985236511, 1985236509, 1985236432, 1985236270, 1985236496, 1985236554]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1454322 51.6150987, -0.1454885 51.6151619, -0.1454724 51.6152435, -0.1453356 51.6152918, -0.1452129 51.6152974, -0.1451512 51.6152808, -0.1449521 51.6153285, -0.1449065 51.6153651, -0.144834 51.6154001, -0.1446121 51.6154606, -0.1441332 51.6149178, -0.1437343 51.6144658, -0.1435105 51.6141777, -0.1430531 51.6137263, -0.142589 51.6132866, -0.1421754 51.6129036, -0.1423161 51.6128474, -0.1423584 51.6129151, -0.1424013 51.6130084, -0.1425166 51.6130884, -0.1426159 51.6131916, -0.1427238 51.6132388, -0.1428016 51.6133107, -0.1430182 51.6134714, -0.1432006 51.6136646, -0.1433166 51.6137718, -0.1435365 51.6139717, -0.1437424 51.6141576, -0.1437799 51.6142459, -0.1438309 51.6143692, -0.1440321 51.6144424, -0.144258 51.6146495, -0.1445532 51.6148695, -0.1447891 51.6148927, -0.1450433 51.6149404, -0.1452505 51.6149826, -0.1453463 51.615027, -0.1454322 51.6150987))",,,,,,,,,,"[1985613972, 1985613950, 1985613958, 1985613962, 1985613951, 1985613978, 1985613976, 1985613974, 1985613953, 1985613945, 10282104086, 1985613968, 1985613952, 1985613975, 1985613963, 1965956806, 1985613965, 1985613949, 1985613970, 1985613957, 1985613969, 1985613971, 1985613967, 1985613961, 1985613947, 1985613955, 1985613960, 1985613954, 1985613973, 1985613979, 1985613948, 1985613959, 1985613966, 1985613946, 1985613964, 1985613956, 1985613944, 1985613972]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1428917 51.6127053, -0.1428639 51.6127802, -0.1428412 51.6130784, -0.1429162 51.6132374, -0.1432662 51.6135389, -0.1435191 51.6134277, -0.1431942 51.6131376, -0.1437585 51.6127929, -0.145119 51.6121146, -0.1449521 51.612077, -0.1443075 51.6123953, -0.1440118 51.6125309, -0.1439523 51.6125654, -0.1438704 51.6125961, -0.1432797 51.6126428, -0.1431053 51.6126333, -0.1428917 51.6127053))",,,,,,,,,,"[1985618657, 1985618623, 1985618692, 1985618664, 1985618689, 6584206880, 573667880, 573667877, 573667874, 1965956791, 1965956798, 1965956801, 1985618719, 1985618672, 1985618609, 1985618633, 1985618657]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1443217 51.6155317, -0.1441985 51.6155731, -0.1440535 51.6155966, -0.1439067 51.6155706, -0.1438182 51.6155406, -0.1437974 51.615511, -0.1439127 51.6154748, -0.1438344 51.6153785, -0.1438486 51.6153609, -0.1438711 51.6153454, -0.1439194 51.6153185, -0.1439132 51.6153106, -0.1432549 51.6146712, -0.1432439 51.61466, -0.1431961 51.6146152, -0.1432266 51.6146026, -0.143198 51.6145758, -0.1432016 51.6145743, -0.1431814 51.6145563, -0.1429806 51.6143773, -0.1428177 51.6142415, -0.1427231 51.6142792, -0.1424556 51.6139783, -0.1425205 51.6139499, -0.1426695 51.6139728, -0.1429297 51.6142259, -0.1432703 51.6145557, -0.1436277 51.6148661, -0.143963 51.6151958, -0.1443217 51.6155317))",,,,,,,,,,"[1985624756, 1985624763, 1985624704, 1985624708, 1985624702, 1985624671, 1985624746, 1985624705, 1985624740, 1985624655, 1985624737, 9563507761, 9563507765, 1985624703, 1985624825, 9563507768, 9563507767, 9563507766, 1985624695, 1640037086, 1985624625, 1985624668, 1985624780, 1985624657, 1985624793, 1985624736, 1985624743, 1985624776, 1985624795, 1985624756]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1453698 51.611365, -0.1451163 51.6114616, -0.1448267 51.6112151, -0.144663 51.6111052, -0.1446845 51.6110352, -0.1445182 51.6109786, -0.1444753 51.6109103, -0.1444136 51.6108337, -0.1443224 51.6108404, -0.1440864 51.6107054, -0.1439322 51.6106716, -0.1439538 51.6106884, -0.1439754 51.6107053, -0.143997 51.6107221, -0.1440186 51.6107389, -0.1440402 51.6107558, -0.1440618 51.6107726, -0.1440834 51.6107895, -0.144105 51.6108063, -0.1441266 51.6108232, -0.1441482 51.61084, -0.1441698 51.6108568, -0.1441913 51.6108737, -0.1442129 51.6108905, -0.1442345 51.6109074, -0.1442561 51.6109242, -0.1442777 51.6109411, -0.1442993 51.6109579, -0.1443209 51.6109747, -0.1443425 51.6109916, -0.1443673 51.611011, -0.144379 51.6110201, -0.1444 51.6110364, -0.1444117 51.6110456, -0.1444327 51.6110619, -0.1444443 51.611071, -0.1444653 51.6110874, -0.144477 51.6110965, -0.1445072 51.6111201, -0.1445282 51.6111364, -0.1445399 51.6111456, -0.1445609 51.6111619, -0.1445725 51.611171, -0.1445935 51.6111874, -0.1446052 51.6111965, -0.1446262 51.6112129, -0.1446379 51.611222, -0.144667 51.6112447, -0.144739 51.6112966, -0.1450533 51.6115443, -0.1449521 51.612077, -0.145119 51.6121146, -0.1451632 51.6115562, -0.1454396 51.6114282, -0.1453698 51.611365))",,,,,broadleaved,,,,,"[1965956744, 1985650493, 1985650443, 1985650463, 1985650462, 1985650446, 1985650477, 1985650461, 1985650469, 1985650441, 1985650444, 9993463445, 9993463446, 9993463447, 9993463448, 9993463449, 9993463450, 9993463451, 9993463452, 9993463453, 9993463454, 9993463455, 9993463456, 9993463457, 9993463458, 9993463459, 9993463460, 9993463461, 9993463462, 9993463463, 9993463464, 9993463465, 9993463466, 9993463467, 9993463468, 9993463469, 9993463470, 9993463471, 9993463473, 9993463474, 9993463475, 9993463476, 9993463477, 9993463478, 9993463479, 9993463480, 9993463481, 26432861, 9519360159, 1965956772, 1965956791, 573667874, 573667872, 1965956745, 1965956744]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1389761 51.6120823, -0.1389895 51.6119491, -0.1389546 51.6119241, -0.1388346 51.6119314, -0.1386945 51.6119674, -0.138553 51.611968, -0.1383485 51.6119308, -0.1382423 51.6119408, -0.1382258 51.6119379, -0.1381238 51.6119197, -0.1379683 51.6119197, -0.1374962 51.6117448, -0.1373534 51.6116293, -0.1372514 51.6116643, -0.137346 51.6117715, -0.1375894 51.6118575, -0.1379998 51.6119674, -0.1382216 51.6120105, -0.1383625 51.612038, -0.1387991 51.612079, -0.1389761 51.6120823))",,,,,,,,,,"[1985663993, 1985663998, 1985664086, 1985663970, 1985664034, 1985664029, 1985664064, 1985664056, 1985668922, 1985664021, 1985664027, 1985664013, 1985664011, 1985663966, 1985664025, 1985664023, 1985663996, 1985668925, 1985664006, 1985664008, 1985663993]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1399095 51.6118075, -0.139709 51.6118797, -0.1395635 51.6117092, -0.1396446 51.6116732, -0.1395964 51.6115366, -0.1393898 51.6116016, -0.1393013 51.6116649, -0.1391585 51.6117009, -0.139194 51.6117598, -0.1391236 51.6117959, -0.1390646 51.6117792, -0.1390036 51.6116365, -0.1390646 51.6116011, -0.1392524 51.6115494, -0.139357 51.6115244, -0.1393462 51.6114445, -0.1394696 51.6113962, -0.1393462 51.6112113, -0.1393838 51.6112163, -0.1399095 51.6118075))",,,,,,,,,,"[1985668967, 1985668924, 1985668963, 1985668886, 1985668893, 1985668877, 1985668885, 1985668932, 1985668953, 1985668930, 1985668879, 1985668977, 1985668952, 1985668947, 1985668950, 1985668892, 1985668883, 1985668949, 1985668951, 1985668967]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1392738 51.6111463, -0.138901 51.6110447, -0.1380534 51.6109032, -0.1376866 51.610852, -0.1373587 51.6109648, -0.1374345 51.6110985, -0.137415 51.6112246, -0.137356 51.6111963, -0.1372192 51.6113296, -0.1370074 51.6113979, -0.136839 51.611365, -0.1367371 51.61147, -0.1362805 51.6113246, -0.1362081 51.6112829, -0.1361819 51.6111235, -0.1361973 51.6110914, -0.1363958 51.6110164, -0.1368873 51.6108487, -0.137694 51.6106367, -0.1377879 51.6107099, -0.1382975 51.6108332, -0.1386623 51.6109132, -0.1389224 51.6109681, -0.1390405 51.6110131, -0.1392738 51.6111463))",,,,,,,,,,"[1985668954, 1985668919, 1985668910, 1985668920, 1985668911, 1985668889, 1985668962, 1985668927, 1985668969, 1985668904, 1985668972, 1985668946, 1985668942, 1985668902, 1985668970, 1985668955, 1985668907, 1985668914, 1985668921, 1985668978, 1985668874, 1985668966, 1985668938, 1985668901, 1985668954]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1513382 51.6226493, -0.1511692 51.622636, -0.1509868 51.6225927, -0.1507884 51.6224628, -0.1505335 51.6222031, -0.1503725 51.6220276, -0.1501098 51.6218067, -0.1498657 51.6216302, -0.1496295 51.6214895, -0.1498846 51.6213436, -0.1492339 51.6206905, -0.1493534 51.6206477, -0.1499944 51.6213172, -0.1504155 51.6217335, -0.1508956 51.622223, -0.1510673 51.6223862, -0.151239 51.6225611, -0.1513382 51.6226493))",,,,,,,,,,"[1985680334, 1985680313, 1985680312, 1985680317, 1985680318, 1985680326, 1985680330, 1985680321, 366218288, 366218287, 366218286, 1985680325, 1985680320, 1985680333, 1985680337, 1985680331, 1985680335, 1985680334]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1458155 51.6171804, -0.145526 51.616964, -0.1454723 51.6168741, -0.1451317 51.6166642, -0.14496 51.6165493, -0.1448875 51.6165449, -0.1445764 51.6165315, -0.1443296 51.6166248, -0.1445067 51.6164994, -0.1448366 51.6164927, -0.1446784 51.6163595, -0.1445625 51.6162464, -0.144547 51.6162312, -0.1444504 51.6161396, -0.1444155 51.616043, -0.1442895 51.6159031, -0.1442116 51.6159243, -0.1441627 51.6158981, -0.1440729 51.6157936, -0.1442366 51.6157317, -0.1444565 51.615665, -0.1446382 51.6158398, -0.1448876 51.616103, -0.1451961 51.6163811, -0.1456358 51.6168317, -0.1459228 51.6171371, -0.1458155 51.6171804))",,,,,,,,,,"[1985683095, 1985694975, 1985694957, 1985694973, 1985694965, 587648582, 587648581, 587648580, 1985694959, 1985694960, 1985694958, 1985694966, 1985694970, 1985694963, 1985694961, 1985694964, 1985694962, 1985694976, 1985694977, 9930329828, 1985694967, 1985694971, 1985694969, 1985694968, 1985694974, 1985683064, 1985683095]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1506329 51.6142575, -0.1505727 51.6141821, -0.1504153 51.6140374, -0.1501964 51.6139466, -0.1500346 51.6138971, -0.1498147 51.6139404, -0.1496645 51.6139204, -0.1492621 51.614097, -0.1492058 51.6141453, -0.1492353 51.6141969, -0.1493077 51.6141743, -0.1494258 51.6142543, -0.1493989 51.6143085, -0.1492648 51.6143859, -0.1491468 51.6144551, -0.1491361 51.6144991, -0.1492487 51.6145558, -0.1496564 51.6145158, -0.1499166 51.6144592, -0.1506329 51.6142575))",,,,,,,,,,"[1985695116, 576474648, 1985695105, 1985695110, 1985695100, 1985695120, 1985695121, 1985695101, 1985695102, 1985695097, 1985695107, 1985695117, 1985695109, 1985695103, 1985695108, 1985695119, 1985695115, 1985695096, 1985695118, 1985695116]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1471917 51.6180814, -0.147012 51.6179199, -0.1467652 51.6176618, -0.1466258 51.6175135, -0.1467372 51.617463, -0.1473032 51.6180459, -0.1471917 51.6180814))",,,,,,,,,,"[1985707603, 1985707670, 1985707668, 1985707664, 1985707604, 1985707605, 1985707603]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1497745 51.6204595, -0.1498566 51.620424, -0.1498604 51.6203263, -0.1497424 51.6201764, -0.1496699 51.6200682, -0.1495466 51.6200182, -0.1494768 51.6199699, -0.1494768 51.6198617, -0.1493883 51.6197451, -0.1492676 51.6196419, -0.1491362 51.6195836, -0.1490772 51.6194887, -0.1489752 51.6193754, -0.1487929 51.6192272, -0.1485676 51.6191006, -0.148538 51.6190124, -0.1485676 51.6189174, -0.1486416 51.6188119, -0.148648 51.6187243, -0.1487365 51.6186676, -0.148824 51.6186704, -0.1490225 51.6188386, -0.149104 51.6189052, -0.1491496 51.6189424, -0.1492799 51.6189368, -0.1492166 51.6188542, -0.1487687 51.6185577, -0.148537 51.6185621, -0.1482661 51.6186621, -0.1481454 51.6187104, -0.1479576 51.6185555, -0.1477216 51.6184339, -0.1475365 51.6182657, -0.1473032 51.6180459, -0.1471917 51.6180814, -0.1475928 51.6185022, -0.1479925 51.6189135, -0.1482688 51.619185, -0.1486266 51.6195486, -0.148942 51.6198844, -0.1493014 51.6202358, -0.1495546 51.6204978, -0.1497745 51.6204595))",,,,,,,,,,"[1985707683, 1985707692, 1985707636, 1985707652, 1985707622, 1985707606, 1985707685, 1985707681, 1985707628, 1985707646, 1985707638, 1985707682, 1985707635, 1985707688, 1985707662, 1985707655, 1985707639, 1985707647, 1985707675, 1985707694, 1985707625, 1985707667, 4007752879, 1985707674, 1985707642, 1985707631, 1985707620, 1985707676, 1985707658, 1985707673, 1985707632, 1985707657, 1985707618, 1985707605, 1985707603, 1985707627, 1985707602, 1985707630, 1985707629, 1985707607, 1985707608, 1985707601, 1985707683]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1497021 51.6195619, -0.1494661 51.619507, -0.1494312 51.619457, -0.1494634 51.6193671, -0.149399 51.6192422, -0.1494141 51.61918, -0.149524 51.619135, -0.1497654 51.6192966, -0.1500519 51.6195833, -0.1502348 51.6197695, -0.150378 51.6198967, -0.1506999 51.6201348, -0.1508391 51.6202808, -0.1508823 51.6203913, -0.1507831 51.6204112, -0.1506275 51.6203713, -0.1505148 51.620253, -0.1504344 51.6201048, -0.1502627 51.6199833, -0.1501206 51.61991, -0.1499693 51.6197229, -0.1498899 51.6196402, -0.1497021 51.6195619))",,,,,,,,,,"[1985707669, 1985707680, 1985707695, 1985707697, 1985707666, 1985707651, 1985707644, 1985707660, 1985707679, 1985707648, 1985707689, 1985707659, 1985707609, 1985707615, 1985707653, 1985707619, 1985707613, 1985707610, 1985707612, 1985707611, 1985707686, 1985707672, 1985707669]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1453893 51.6162196, -0.1447348 51.61558, -0.1451559 51.6154651, -0.1452096 51.6154718, -0.1452647 51.6155627, -0.1453478 51.615576, -0.1454015 51.6155611, -0.1454577 51.6156334, -0.1455871 51.6157804, -0.1458112 51.6157043, -0.1459111 51.6156493, -0.1459755 51.615616, -0.1460264 51.6156327, -0.1460023 51.6156593, -0.145887 51.6156926, -0.1459165 51.6157526, -0.1459594 51.6157576, -0.1459862 51.6157492, -0.1460264 51.6158225, -0.1458279 51.6158875, -0.1457823 51.6158375, -0.1456616 51.6158792, -0.1459406 51.6162755, -0.1460854 51.6164338, -0.1462464 51.6165603, -0.1462651 51.6167502, -0.146469 51.6170316, -0.1465763 51.6171282, -0.1465656 51.6172132, -0.1467372 51.617463, -0.1466258 51.6175135, -0.1460035 51.616859, -0.1453893 51.6162196))",,,,,,,,,,"[1985707643, 1985707677, 1985707650, 1985707693, 1985707649, 1985707621, 1985707665, 1985702819, 1985702807, 1985702798, 1985707624, 1985707641, 1985707626, 1985707617, 1985707633, 1985707637, 1985707623, 1985707616, 1985707656, 1985707661, 1985707671, 1985707634, 1985707690, 1985707645, 1985707696, 1985707684, 1985707691, 1985707640, 1985707614, 1985707604, 1985707664, 1985707687, 1985707643]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1555493 51.6164044, -0.1553422 51.6164497, -0.1552059 51.6165643, -0.1551839 51.6165729, -0.1550391 51.616493, -0.1552349 51.6163947, -0.1555278 51.6163461, -0.1555761 51.6163711, -0.1555493 51.6164044))",,,,,,,,,,"[1985885404, 1985885405, 1985885413, 1985885411, 1985885409, 1985885399, 1985885398, 1985885407, 1985885404]",forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
