geometry,name,natural,created_by,barrier,leisure,opening_hours,wikidata,wikipedia,access,source,source:name,fixme,layer,amenity,height,operator,nodes,leaf_cycle,leaf_type,note,place,landuse,website,designation,fence_type,operator:wikidata,landcover,description,is_in,alt_website,boundary,protection_title,url,FIXME,area,alt_name,addr:housenumber,addr:street,postal_code,old_name,BROADHAB,CREATEDATE,CREATEDBY,HABDEFVER,INCID,INTERPQUAL,NBNPRIHAB,PHABFEANOT,PRIDET,PRIHAB,PRIHABTXT,S1BOUNDARY,S1CAPTDATE,S1HABCLASS,S1HABID,S1HABTYPE,SOURCE1TXT,historic,wetland,surface,animal_keeping,start_date,addr:postcode,type,protect_class,opening_hours:note,wikimedia_commons,name:signed,reference,status,contact:website,ways,protection_object,addr:city,dog,fhrs:id,source:addr
"POLYGON ((-0.3209101 51.4660444, -0.3209052 51.4660874, -0.3208629 51.4661373, -0.3207687 51.4662212, -0.3207317 51.466315, -0.3206161 51.4665653, -0.3204806 51.4669163, -0.3203768 51.4672709, -0.3203184 51.4675509, -0.3202834 51.4677081, -0.3202507 51.4679524, -0.3202237 51.4681542, -0.3201914 51.4683951, -0.320068 51.4687293, -0.3199232 51.4691637, -0.3198837 51.4692801, -0.3197461 51.469685, -0.3196605 51.4700256, -0.3196066 51.4702398, -0.3195978 51.4703115, -0.3195889 51.4703825, -0.3195974 51.4704414, -0.3195972 51.4705052, -0.3196199 51.470588, -0.3196348 51.4706422, -0.3196669 51.4706757, -0.3197313 51.4706907, -0.3198145 51.470684, -0.3200317 51.4706356, -0.3203088 51.4705814, -0.3203467 51.4705625, -0.3203619 51.4705318, -0.3204188 51.4705318, -0.320544 51.4704113, -0.3206464 51.4703427, -0.3206919 51.4702837, -0.3208019 51.4702104, -0.320855 51.4701324, -0.3209043 51.4701135, -0.321094 51.4697827, -0.321204 51.4695795, -0.3212268 51.4695015, -0.3212495 51.4694756, -0.3212343 51.4694047, -0.3211547 51.4693976, -0.3211423 51.4693762, -0.3212463 51.4693521, -0.3212283 51.4691642, -0.3212529 51.4691335, -0.3212168 51.4690862, -0.3212442 51.4689608, -0.3212271 51.468723, -0.321203 51.4687061, -0.3212063 51.4684971, -0.321102 51.4683681, -0.3211256 51.4681906, -0.3210414 51.4681806, -0.3210663 51.4681025, -0.3211216 51.468063, -0.3211426 51.4679993, -0.3212063 51.4679736, -0.3211525 51.4678206, -0.3211629 51.4676993, -0.3212073 51.4676362, -0.3211753 51.4675615, -0.3211786 51.4675045, -0.3212006 51.4674308, -0.3211676 51.4673444, -0.3211104 51.4673433, -0.3210903 51.467327, -0.3210986 51.467301, -0.3212008 51.4672808, -0.3212506 51.4672536, -0.32127 51.4672472, -0.3212698 51.4671701, -0.3212745 51.4671032, -0.3213019 51.4670909, -0.3212968 51.4670602, -0.3212604 51.4670331, -0.3212858 51.4669429, -0.3212625 51.4669066, -0.3212896 51.4668797, -0.3212038 51.4666959, -0.3211871 51.4665055, -0.3211904 51.466383, -0.3211992 51.4662683, -0.3212529 51.4662416, -0.3212217 51.4661275, -0.3211906 51.4660558, -0.3210656 51.4659604, -0.3210107 51.465938, -0.3209393 51.4659407, -0.3209184 51.4659796, -0.3209101 51.4660444))",Isleworth Ait,wood,,,nature_reserve,,Q6084296,en:Isleworth Ait,,PGS + Yahoo,,,,,,,"[16363632, 4953734895, 4953732606, 4953734829, 4953734920, 4953734909, 4953732603, 4953734914, 16363648, 4616679399, 4616689086, 4616689085, 292234437, 16363645, 292234438, 4616689084, 30523165, 4616689083, 30523164, 4616689082, 4616679406, 30523368, 4616712148, 4616712147, 16363642, 30523367, 292234439, 30523222, 4616712146, 4616712145, 30523221, 4616712144, 4616712143, 4616712142, 4616712141, 30523220, 4616712140, 4616712139, 16363640, 30523219, 4616712138, 30523218, 4616712134, 4616712135, 4616712136, 4616712137, 4616712133, 30523217, 4616712120, 4616712121, 4616712122, 16363636, 4616712124, 4616712125, 4616712126, 4616712127, 4616712128, 4616712129, 4616712130, 4616712131, 4616712123, 4616712132, 4953734876, 4953735039, 4953732591, 4953735054, 4953734889, 4953732615, 4953735031, 4953734899, 4953734858, 4953734851, 4953732598, 4953735056, 4953734856, 4953734915, 4953735032, 4953734883, 4953735038, 4953735048, 4953735023, 4953734837, 4616836957, 4616836958, 4616836959, 4953734868, 30523264, 4616836961, 4953732604, 4616836962, 30523263, 4616836963, 30523262, 16363632]",mixed,mixed,River Thames multipolygon relation inner,island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1931543 51.5867082, -0.1914001 51.5863492, -0.1910384 51.5864011, -0.190944 51.5862146, -0.1920676 51.5855932, -0.1925456 51.585398, -0.1925786 51.5854428, -0.1926433 51.5854237, -0.1928238 51.5856756, -0.1927417 51.5857172, -0.1931543 51.5867082))",Little Wood,,,,nature_reserve,,,,,,,,,,,,"[20994016, 20994017, 20994018, 413282704, 5064534131, 5704717505, 5704717504, 20994019, 5704717503, 20994021, 20994016]",deciduous,,,,forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1617106 51.5977755, -0.1616103 51.5979666, -0.1615079 51.5981008, -0.1606508 51.5991757, -0.1604195 51.5988108, -0.160359 51.5987808, -0.1595622 51.5983857, -0.1575787 51.598824, -0.1574749 51.5988274, -0.1573708 51.5986197, -0.1572322 51.598429, -0.156483 51.5974005, -0.1563905 51.5972735, -0.1559797 51.5970631, -0.1561061 51.5969737, -0.1561364 51.5969518, -0.1550789 51.5962898, -0.1546528 51.5960565, -0.1543339 51.5958782, -0.1545205 51.5958517, -0.1543967 51.5956108, -0.1542988 51.5954517, -0.154144 51.5952236, -0.1548484 51.5951914, -0.1549253 51.5957056, -0.1555757 51.5957013, -0.1555306 51.5951958, -0.1564262 51.5951887, -0.156509 51.595719, -0.1579754 51.5956799, -0.1579693 51.5951619, -0.1586027 51.5951155, -0.1586501 51.5951128, -0.1587438 51.5951042, -0.1587577 51.5951817, -0.1589245 51.5951711, -0.1590153 51.595543, -0.1594529 51.5955187, -0.1599143 51.5954656, -0.1610605 51.5951883, -0.161828 51.5970282, -0.1618164 51.5975733, -0.1617106 51.5977755))",Coldfall Wood,,,,nature_reserve,,Q5142516,,,,,,,,,,"[5219128523, 831101979, 7979872581, 830997117, 830997116, 8151616867, 20998198, 2612483861, 20998199, 622031351, 4751165464, 4751165465, 831146929, 831146994, 8151616907, 831146844, 831146992, 8806617082, 8806617083, 78015705, 8806617073, 8806617072, 7979872584, 622031501, 249556462, 249556463, 7093473133, 7093473136, 249556466, 249556467, 249556468, 3635623023, 831147047, 7979903193, 5219127610, 8820119716, 249556470, 5219127620, 20998201, 20998202, 5219128521, 831101955, 5219128523]",,,,,forest,https://www.coldfallwoods.co.uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1496498 51.6409349, -0.1502906 51.6405361, -0.1512094 51.6398591, -0.1522194 51.6390156, -0.1523415 51.6386552, -0.1524214 51.6387207, -0.1524778 51.6388629, -0.1526657 51.6389536, -0.1528573 51.6389012, -0.1530275 51.6388306, -0.1531697 51.6387548, -0.1533336 51.6387895, -0.1534388 51.6388681, -0.1536034 51.6390265, -0.1544627 51.6390708, -0.1550727 51.6391022, -0.155292 51.6390929, -0.1557987 51.6389757, -0.1565175 51.6389424, -0.1571612 51.6389091, -0.1571197 51.6393509, -0.1569427 51.639784, -0.1568455 51.6399217, -0.1567049 51.640002, -0.1566177 51.6399951, -0.1555683 51.639951, -0.1551058 51.6399519, -0.1547545 51.6400268, -0.1543486 51.6401141, -0.1540351 51.6402342, -0.1538749 51.64031, -0.1537325 51.6403714, -0.1533651 51.6406389, -0.1532935 51.640691, -0.1532108 51.6407499, -0.1531042 51.6409064, -0.1529673 51.6410691, -0.1529304 51.641113, -0.1528809 51.6412551, -0.1528451 51.6413839, -0.1528099 51.6415097, -0.1527794 51.6417895, -0.1527565 51.641945, -0.1528812 51.6420902, -0.1533527 51.6421573, -0.1533029 51.6426469, -0.1529281 51.6425803, -0.1527157 51.6425425, -0.152589 51.6424306, -0.1523619 51.6422301, -0.1520503 51.641996, -0.1519345 51.6419883, -0.1518163 51.642018, -0.1516391 51.6421792, -0.1513114 51.6421354, -0.1510906 51.6421811, -0.1509012 51.6422923, -0.1508121 51.6423116, -0.1507438 51.6423071, -0.1511031 51.642034, -0.1511434 51.6420034, -0.1507235 51.6418281, -0.1503852 51.6417155, -0.1495188 51.641893, -0.1489354 51.6421679, -0.1485854 51.6422141, -0.1484338 51.6419829, -0.1487735 51.6419085, -0.1491937 51.6417566, -0.1497128 51.6414055, -0.1491017 51.6412902, -0.1496498 51.6409349))",Oak Hill Wood Nature Reserve,,,,nature_reserve,,Q7073592,en:Oak Hill Wood,,,,,,,,,"[7878369356, 7878369357, 7902955974, 7878369360, 7878369367, 3955289835, 7878369366, 23616063, 7925909881, 3955289809, 3955289847, 3955289821, 23616084, 5012509024, 5012399949, 3002563875, 5012509023, 3002560518, 3002563846, 3002563871, 7914055648, 247951301, 1708850506, 586951630, 7914055650, 7914055657, 7914055656, 23616121, 7914055651, 7878369365, 1710052340, 7914055653, 1710052393, 7878369359, 1710052333, 7914055655, 1710052399, 7925782498, 1710042077, 7914055654, 23614532, 7925782499, 1710042055, 23614549, 7914055645, 7914055646, 1710033591, 7914055647, 1710052376, 7914055644, 7914055643, 23614589, 7914055642, 7914055641, 7914055640, 7914055639, 7914055638, 7914055637, 7914055636, 7878369361, 1710058480, 587645207, 13807596, 13807601, 1711905440, 1711900550, 1711905426, 13807602, 7947635891, 7925748046, 7902955975, 7878369356]",,,,,,https://www.wildlondon.org.uk/reserves/oak-hill-wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3909774 51.4597994, -0.391063 51.4599051, -0.3921249 51.4612107, -0.3923452 51.4614815, -0.3917164 51.4617017, -0.3899993 51.4622584, -0.3869709 51.4631967, -0.3867347 51.4628776, -0.3856566 51.4612338, -0.3841992 51.460078, -0.3836602 51.4597738, -0.3828199 51.4591697, -0.3819831 51.4587017, -0.37912 51.4587262, -0.3767129 51.4554109, -0.3776673 51.4544182, -0.3782488 51.4537525, -0.3801825 51.452299, -0.3823964 51.4522693, -0.3841984 51.4521529, -0.3867047 51.4519115, -0.3880642 51.451729, -0.3892441 51.4515386, -0.389858 51.4524484, -0.3891971 51.4532777, -0.3908781 51.4548523, -0.3918855 51.4561218, -0.3922701 51.4568954, -0.3914591 51.4585157, -0.3912812 51.4588562, -0.391097 51.4592088, -0.3909774 51.4597994))",Hounslow Heath,,,,nature_reserve,,Q5913296,en:Hounslow Heath,,yahoo,,,,,,,"[5036790233, 25476569, 5036790097, 25476752, 5036790232, 8999598371, 94826074, 97124295, 97124321, 97124323, 97124320, 97124318, 2599491387, 94826409, 94826422, 7934575536, 25476382, 25476383, 7966246654, 25476384, 25476388, 5036811397, 25476391, 25476394, 25476395, 25476556, 25476557, 2016516374, 2016516388, 2016516395, 2016516407, 5036790233]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.0789007 51.5635746, -0.0792988 51.563879, -0.0799003 51.564306, -0.0800809 51.5645543, -0.0800756 51.5648236, -0.0801109 51.5653515, -0.0801613 51.5658719, -0.0802702 51.5662907, -0.0800892 51.5663379, -0.0798986 51.5663181, -0.0797954 51.5663074, -0.0795619 51.5662943, -0.079522 51.566292, -0.079283 51.5662926, -0.0789827 51.5663932, -0.078477 51.5663665, -0.0781433 51.5664158, -0.0776813 51.5664177, -0.0772755 51.5664331, -0.0770606 51.5664359, -0.0765845 51.5662708, -0.0762782 51.5660621, -0.0760923 51.5661659, -0.0761177 51.566196, -0.076033 51.5662448, -0.0759774 51.5662196, -0.0758399 51.5655965, -0.0760149 51.565385, -0.0759361 51.5645803, -0.0742051 51.5639854, -0.0738193 51.5638693, -0.0735343 51.5638124, -0.0734039 51.5637894, -0.0734501 51.5635632, -0.0734852 51.5633935, -0.0737111 51.5634403, -0.0740987 51.5635674, -0.0743224 51.5636074, -0.0745595 51.5627784, -0.0748066 51.5627875, -0.0767484 51.5628504, -0.0769376 51.5628063, -0.0770398 51.5627423, -0.0771764 51.5626215, -0.0772212 51.5622825, -0.0773328 51.5622875, -0.0773459 51.5623002, -0.0775674 51.5623071, -0.07796 51.5623198, -0.078019 51.5624712, -0.0780625 51.5625458, -0.078193 51.5627637, -0.0786861 51.5636147, -0.0789007 51.5635746))",Abney Park,,,fence,nature_reserve,,Q124369,en:Abney Park Cemetery,,,,,,,,,"[27472068, 27472069, 2016685551, 635910412, 27472072, 2016685568, 27472073, 3931983560, 3931983559, 10013328740, 3931983558, 10013328739, 3931983557, 3931980856, 3931983562, 3931983563, 3931980855, 3931983564, 3931983565, 635148723, 635148724, 2016685575, 7513445742, 7513445741, 639641280, 2016685573, 639641278, 2016685567, 27472060, 9293200936, 2016685548, 2016685546, 27472061, 364110182, 27472062, 3760658901, 7513445738, 645184873, 645184856, 645184858, 3761175729, 27472064, 2016685526, 3761175723, 27472065, 4018731723, 4018731724, 3785325780, 635910379, 635910361, 3784481171, 3761678058, 27472067, 27472068]",,,,,cemetery,,local_nature_reserve,metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3216194 51.4309814, -0.3218375 51.4310163, -0.3229873 51.4314877, -0.3237696 51.4319179, -0.3246915 51.4323426, -0.3248535 51.4324432, -0.3249932 51.4323426, -0.3253788 51.4325382, -0.3260113 51.4329752, -0.3266036 51.4333104, -0.3268829 51.4337351, -0.3272573 51.4351376, -0.3274696 51.4358472, -0.3280668 51.4368825, -0.3289286 51.4379899, -0.3285115 51.4378971, -0.3278094 51.4369926, -0.3274808 51.4367412, -0.3271958 51.4368809, -0.3272182 51.4371491, -0.3263912 51.4374396, -0.3252961 51.4377749, -0.3240948 51.4381716, -0.3235639 51.4384118, -0.3229828 51.4386409, -0.3227146 51.4387192, -0.3227675 51.4385362, -0.3227781 51.4384997, -0.3228315 51.438315, -0.3228425 51.4379003, -0.3227442 51.4373547, -0.3225498 51.4370432, -0.3222966 51.4366813, -0.3219734 51.4363195, -0.3214875 51.4359032, -0.3208338 51.4353862, -0.3203025 51.4349765, -0.3198647 51.4346061, -0.3195867 51.4342544, -0.3192848 51.4337097, -0.3190665 51.4333496, -0.3187039 51.4329936, -0.3193185 51.4326437, -0.3195922 51.4325348, -0.3203779 51.4321666, -0.3213465 51.4315542, -0.321368 51.4314442, -0.3214617 51.4312431, -0.3216194 51.4309814))",Ham Lands,heath,,,nature_reserve,,Q16892037,en:Ham Lands,,,,,,,,,"[32554886, 1584446339, 32554887, 32554888, 32554889, 32554891, 32554892, 32554890, 32554893, 32554894, 32554895, 32554896, 32554897, 32554898, 32554899, 32554900, 32554901, 32554902, 32554903, 32554904, 32554905, 32554906, 32554907, 32554908, 32554909, 32554910, 5550319095, 4822354908, 32554871, 32554872, 32554873, 32554874, 32554875, 32554876, 32554877, 32554878, 32554879, 32554880, 32554881, 32554882, 32554884, 32554883, 9498253694, 9498253689, 9498253693, 9498253692, 32554885, 5818103521, 32554886]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3923796 51.6151303, -0.3906802 51.6152902, -0.390726 51.6153702, -0.3910063 51.6158604, -0.3925924 51.6159212, -0.3925871 51.6164025, -0.3933849 51.6162281, -0.3935395 51.6164666, -0.3971261 51.6157805, -0.3977183 51.6157005, -0.3980874 51.6171661, -0.3995036 51.6190313, -0.3977643 51.6199592, -0.3956261 51.6205752, -0.3943129 51.6201596, -0.3945113 51.6205294, -0.3938838 51.6208097, -0.3961077 51.6213767, -0.3974038 51.6219895, -0.3985337 51.6220262, -0.4000615 51.6244401, -0.4001902 51.6247758, -0.3984841 51.6249232, -0.3981211 51.6255862, -0.3978041 51.625932, -0.3983091 51.6278206, -0.3985584 51.6277852, -0.3986765 51.6274374, -0.3991388 51.6274417, -0.3997407 51.6273945, -0.3998011 51.6275774, -0.4004753 51.627484, -0.4001473 51.6263583, -0.4004391 51.6256923, -0.4018448 51.6257046, -0.4025632 51.6255291, -0.4032997 51.6271821, -0.4077249 51.6266432, -0.4080459 51.6277622, -0.4111535 51.6277589, -0.412857 51.6279291, -0.4128926 51.6277683, -0.4139336 51.6276907, -0.4140687 51.6276764, -0.4141085 51.6279188, -0.4145236 51.6278643, -0.4146478 51.6278826, -0.4160492 51.6274034, -0.4160089 51.6272986, -0.4151419 51.6251221, -0.4131678 51.6255164, -0.4124211 51.6246532, -0.408593 51.6225484, -0.4074429 51.6214294, -0.4076495 51.6200194, -0.406756 51.6200556, -0.4065556 51.6212094, -0.4061404 51.6213051, -0.4060619 51.621497, -0.404353 51.6217065, -0.4041927 51.6196591, -0.4043101 51.6193937, -0.4042812 51.6192109, -0.4035977 51.6148744, -0.4023961 51.6148052, -0.402624 51.613251, -0.4013681 51.6132159, -0.4009847 51.6133027, -0.4001818 51.6133055, -0.3999739 51.6131942, -0.3970343 51.6141549, -0.3947734 51.6146686, -0.3927755 51.615054, -0.3924886 51.6151093, -0.3923796 51.6151303))",Oxhey Woods Local Nature Reserve,wood,,,nature_reserve,,Q15264896,,,,,,,,,,"[59096731, 59096732, 2851556992, 59096733, 59096734, 7546483507, 7546483506, 59096735, 59096736, 59096737, 59096739, 59096740, 59096741, 306922063, 59096742, 308783002, 59096743, 308783349, 308783337, 59096744, 59096745, 59096746, 59096747, 3109372900, 59096748, 59096749, 9328488576, 9328488575, 9328488574, 9328488572, 9328488573, 59096750, 59096751, 59096752, 9328513964, 59096753, 59096754, 59096755, 59096756, 8600474273, 606986853, 8600474274, 8600474283, 59096757, 8600474277, 8600474276, 59096758, 8600474275, 606359503, 59096760, 59096761, 59096762, 59096763, 59096764, 59096765, 8084768813, 8084768812, 8084768809, 8084768808, 59096766, 38677939, 59096768, 3398030194, 59096769, 59096770, 59096771, 6592269226, 6592269225, 6592269227, 59083039, 59096774, 6562739477, 6562807561, 2851556988, 59096731]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.4113744 51.5341082, -0.4116422 51.5340298, -0.4166615 51.5325598, -0.4160607 51.5320419, -0.4167044 51.5317856, -0.4164641 51.5314973, -0.4172954 51.5311437, -0.4166358 51.5311289, -0.4152196 51.530627, -0.4147532 51.5302296, -0.4145458 51.5298357, -0.4145646 51.5289954, -0.4153187 51.5280459, -0.4150836 51.5278838, -0.4146788 51.5276047, -0.4116576 51.525992, -0.4102404 51.5254182, -0.4101345 51.5253753, -0.4073859 51.5244204, -0.4070056 51.5246303, -0.4065587 51.5249666, -0.405849 51.5254101, -0.4046684 51.5260756, -0.4042212 51.5260144, -0.4034345 51.5258457, -0.4032771 51.5257986, -0.403045 51.5256763, -0.4018338 51.5247477, -0.4012439 51.5249313, -0.3995469 51.5244381, -0.3993312 51.5247187, -0.3993849 51.5247321, -0.3994836 51.5247568, -0.4007354 51.5255795, -0.4010248 51.5257659, -0.4009773 51.5258197, -0.4018395 51.5263232, -0.4023143 51.526541, -0.4025115 51.5265177, -0.4027624 51.5266452, -0.40286 51.5265794, -0.4029473 51.5266239, -0.4030465 51.5266746, -0.4043877 51.5273591, -0.405392 51.5280105, -0.4060271 51.5287421, -0.407048 51.529536, -0.4081557 51.5303974, -0.4087994 51.5305308, -0.409117 51.5307124, -0.4089196 51.5310968, -0.4108658 51.5332906, -0.4108937 51.5335743, -0.4111769 51.5337024, -0.411294 51.5339431, -0.4113744 51.5341082))",Yeading Brook Meadows,,,,nature_reserve,,,,,,,,,,,,"[68252345, 869409403, 68252347, 68252350, 68252351, 68252353, 68252354, 68252356, 68252357, 68252359, 68252360, 68252361, 571517909, 9689625821, 68254557, 68252364, 9689625820, 68252365, 68252367, 68252368, 68252370, 8592160024, 68252373, 8592160025, 869409692, 68252375, 571518001, 68252377, 68252378, 68252379, 68252381, 9689621878, 68252384, 68252385, 68252386, 68252388, 9689621888, 869409125, 2411632098, 68252390, 68252392, 9689621862, 9689621861, 68252394, 68252395, 68252397, 7542526297, 68252398, 68252399, 68252401, 68252402, 68252404, 68252405, 68252406, 9689621860, 68252345]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.2732427 51.4928679, -0.2717922 51.4934569, -0.2707966 51.4936921, -0.2684191 51.4939486, -0.2684792 51.4940661, -0.2701443 51.4943654, -0.2712172 51.4948677, -0.2718794 51.4954722, -0.2720841 51.4957066, -0.2720515 51.4952361, -0.2720497 51.4946539, -0.2722815 51.4939913, -0.2726763 51.4933287, -0.2732427 51.4928679))",Gunnersbury Triangle Local Nature Reserve,wood,,,nature_reserve,,Q5619227,en:Gunnersbury Triangle,,,,,,,,London Wildlife Trust,"[68369139, 68369140, 68369142, 68369143, 68369144, 68369145, 68369146, 9049899090, 68369147, 68369148, 68369149, 68369150, 68369151, 68369139]",deciduous,,,,,https://www.wildlondon.org.uk/nature-reserves/gunnersbury-triangle,,,Q6671026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
