access,barrier,bicycle,opening_hours,wheelchair,geometry,highway,created_by,source,man_made,ref,survey:date,foot,name,place,access:conditional,horse,fixme,amenity,operator,height,name:ru,note,check_date,covered,description,source:name,leisure,natural,alt_name,addr:city,addr:postcode,addr:street,brand,fee,layer,operator:wikidata,species,leaf_cycle,leaf_type,species:en,wikidata,dogs,historic,start_date,dog,tourism,opening_hours:url,surface,designation,contact:phone,addr:housename,website,level,addr:housenumber,operator:type,nodes,name:alt,wikipedia,GBV,wikimedia_commons,barbecue,fire,litter,moped,source:designation,name:uk,heritage,heritage:operator,listed_status,ref:GB:nhle,landuse,wikipedia:es,name:ar,name:arz,name:cs,name:cy,name:da,name:de,name:en,name:es,name:eu,name:fa,name:fr,name:ga,name:he,name:id,name:is,name:it,name:ja,name:ko,name:lt,name:nl,name:nn,name:no,name:pl,name:scn,name:sh,name:sk,name:sv,name:tr,name:yue,name:zh,is_in,phone,not:name,fence_type,private,official_name,sport,he:inscription_date,heritage:website,type,owner,email,ref:he,loc_name,landuse_2,area,is_in:district,name:zh-Hans,golf,FIXME,boundary,building,landuse_1,grassland,url,old_name,smoking,fence:height,contact:website,smokefree,disused,postal_code,not:addr:postcode,wikipedia:en,fhrs:id,source:addr,previous_id,garden:type,wheelchair:description:en,protection_title,name:etymology:wikidata,park,incorrect_name,denomination,religion,landcover,name:ur,lit,light:colour,contact:fax,dog:conditional,level:ref,note:level,opening_hours:note,bbq,BROADHAB,CREATEDATE,CREATEDBY,HABDEFVER,INCID,INTERPQUAL,NBNPRIHAB,PHABFEANOT,PRIDET,PRIHAB,PRIHABTXT,S1BOUNDARY,S1CAPTDATE,S1HABCLASS,S1HABID,S1HABTYPE,SOURCE1TXT,construction,name:ast,name:az,name:be,name:bg,name:bn,name:br,name:ca,name:ceb,name:et,name:fi,name:hi,name:hr,name:hu,name:hy,name:ka,name:lv,name:mr,name:ms,name:nan,name:pt,name:ro,name:sr,name:th,name:vi,name:wuu,protect_class,addr:country,addr:suburb,toilets,ruins,leisure_1,maxspeed,architect,previously,note:history,not:designation,disused:leisure,bench,opening_hours:covid19,image,name:etymology,name:etymology:wikipedia,ways,contact:email,golf:course,golf:par,contact:twitter
,,,24/7,,"POLYGON ((-0.1197151 51.4905832, -0.1197279 51.4905821, -0.1200169 51.490638, -0.120038 51.4906488, -0.1206092 51.4907835, -0.1206117 51.4908103, -0.1206179 51.4908272, -0.1206014 51.4908462, -0.1205186 51.4909002, -0.1202497 51.4910721, -0.1199553 51.4912562, -0.1198933 51.491295, -0.1197198 51.4912695, -0.1192802 51.4911884, -0.1194044 51.4910044, -0.1195092 51.4908648, -0.1195355 51.4908297, -0.1196238 51.4907049, -0.1196278 51.4906992, -0.1197082 51.4905869, -0.1197151 51.4905832))",,,,,,,,Pedlar's Park,,,,,,Lambeth Council,,,,,,,,park,,,London,SE11 5JT,Vauxhall Walk,,,,,,,,,,,,,,,,,,,,https://beta.lambeth.gov.uk/parks/pedlars-park,,,,"[293521383, 9308372929, 9308372926, 9308372925, 9308342511, 9308342516, 9308342510, 293522841, 2290427938, 9308342509, 293521386, 9308342481, 9308328230, 9308328229, 9308372931, 9308372932, 9308372933, 9308372935, 926431931, 9308372930, 293521383]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,24/7,,"POLYGON ((-0.1192372 51.491241, -0.1196108 51.491308, -0.1196948 51.4913233, -0.1196439 51.4913978, -0.1196203 51.4913984, -0.1193854 51.4916927, -0.1193644 51.491719, -0.1193 51.4917271, -0.1189452 51.4915813, -0.1189662 51.4915636, -0.1189709 51.4915599, -0.1189739 51.4915563, -0.1192372 51.491241))",,,,,,,,Pedlar's Park,,,,,,Lambeth Council,,,,,,,,park,,,London,SE11 5JT,Vauxhall Walk,,,,Q6481450,,,,,,,,,,,,,,,,https://beta.lambeth.gov.uk/parks/pedlars-park,,,government,"[293521631, 926431924, 293521657, 9308342477, 9308342474, 9308342473, 293521633, 9308342470, 293521658, 9308300700, 926431916, 9308300701, 293521631]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.4650506 51.5426022, -0.4650794 51.5426812, -0.4654165 51.5426328, -0.4655578 51.5425434, -0.4653081 51.5424261, -0.4652475 51.5421814, -0.4658271 51.5422527, -0.4661184 51.5423241, -0.4668029 51.5420187, -0.4665698 51.54154, -0.4656922 51.541597, -0.4648446 51.5416521, -0.4650506 51.5426022))",,,,,,,,Dowding Park,,,,,,Hillingdon Council,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[293801164, 293801165, 7832471037, 1454174784, 293801168, 293801188, 8593187487, 293801294, 293801190, 293801191, 1775481484, 293801192, 293801164]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.1425084 51.5295619, -0.1424879 51.5293742, -0.1420355 51.5293797, -0.1420368 51.5293429, -0.1419538 51.5293419, -0.1419407 51.5290889, -0.1428009 51.5290779, -0.1432729 51.529085, -0.1433104 51.5295172, -0.1432897 51.5295467, -0.1432356 51.5295641, -0.1425084 51.5295619))",,,,,,,,Cumberland Market,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[293801336, 293801337, 293801338, 485351967, 485351970, 293801339, 2216618759, 293801340, 7944696955, 485351965, 7944696956, 293801336]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.2957752 51.5081665, -0.2957657 51.5081724, -0.2956825 51.508224, -0.2953312 51.5082795, -0.2951341 51.5083026, -0.2947305 51.5075704, -0.2949397 51.5075272, -0.2952133 51.5076137, -0.2955566 51.5078778, -0.2957752 51.5081665))",,,,,,,,Warwick Dene,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[293971693, 4848965211, 1903038586, 1903038590, 293971713, 293971695, 293971741, 293971697, 1061653134, 293971693]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.1288043 51.5321069, -0.1286747 51.5321443, -0.1286487 51.5321546, -0.1288911 51.5323278, -0.1293933 51.532803, -0.1294056 51.5328148, -0.1295393 51.5329424, -0.1298714 51.5328329, -0.1299336 51.5328124, -0.1301398 51.5329783, -0.130237 51.5329487, -0.1299652 51.5325022, -0.1298732 51.5323804, -0.1298328 51.5323269, -0.1297412 51.5322378, -0.1291505 51.5323983, -0.1288043 51.5321069))",,,,,,,,Purchese Street Open Space,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[294738000, 1455813638, 294738007, 294768514, 1455813652, 8730550617, 294738013, 8730531715, 8730531714, 1455813653, 294738018, 1455813651, 8730585627, 1455813645, 7964462803, 1455813637, 294738000]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.2103159 51.4160831, -0.2100308 51.4157369, -0.209847 51.4157893, -0.2096599 51.4155992, -0.209305 51.4157197, -0.2094403 51.4158714, -0.2092949 51.4159215, -0.2095788 51.4163074, -0.2092798 51.4163783, -0.2090098 51.4164443, -0.2089197 51.4164748, -0.2087554 51.4162126, -0.2085926 51.4162658, -0.2078962 51.4153764, -0.2075963 51.4154791, -0.207616 51.4151154, -0.2076176 51.4150859, -0.2076177 51.41505, -0.2076192 51.4150247, -0.2076378 51.4149999, -0.2076995 51.414984, -0.2077733 51.4149756, -0.2078414 51.4149599, -0.2097768 51.4142445, -0.2107496 51.4138968, -0.2108009 51.4138784, -0.2112547 51.4143664, -0.2118228 51.4141767, -0.2118784 51.4142324, -0.2119219 51.4142901, -0.2113518 51.4144822, -0.2121636 51.4153925, -0.2121071 51.4154157, -0.2118449 51.4155235, -0.2103159 51.4160831))",,,,,,,,Dundonald Road Recreation Ground,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[295674055, 3948057640, 295674096, 295674097, 295674098, 6468208419, 3948057639, 3948057638, 8119173953, 8019671224, 3948057646, 5786825441, 5786825440, 5786825438, 8019113556, 8019113542, 5786825437, 8019113541, 4836251754, 5786825435, 8019113557, 8019113558, 4836251753, 4836251752, 8019113543, 4836251751, 5786825414, 5786825415, 5786825417, 5786825416, 5786825413, 295674062, 8019640772, 8019113562, 295674055]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,,,,,"POLYGON ((0.0731313 51.4940409, 0.0733327 51.4935825, 0.0735832 51.4936237, 0.0736785 51.4934036, 0.0734361 51.4933665, 0.0734996 51.49318, 0.0735929 51.4929799, 0.073646 51.49292, 0.073779 51.4928751, 0.0739511 51.4928633, 0.074434 51.492928, 0.0743808 51.4930483, 0.0743674 51.4930786, 0.0744671 51.4931172, 0.0744981 51.4931463, 0.0740729 51.4941579, 0.0740476 51.4941802, 0.0740037 51.4941929, 0.0731313 51.4940409))",,,,,,,,Wellington Park,,,,,,,,,please keep off the grass,,,,,park,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,"[295803305, 7003812190, 8461995178, 8461995179, 7003812189, 295803306, 6870005548, 6870005549, 6870005550, 6870005551, 295803307, 7003812192, 6870005552, 6870005553, 6870005554, 8461995176, 8461995184, 8461995185, 295803305]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
private,fence,,,,"POLYGON ((-0.1642588 51.5145849, -0.1642469 51.5146222, -0.1642173 51.5146475, -0.1641811 51.5146666, -0.1641152 51.5146895, -0.164056 51.5147031, -0.1640001 51.5147106, -0.1639273 51.5147122, -0.1638764 51.5147078, -0.1638273 51.5146921, -0.163795 51.5146709, -0.1634058 51.5140342, -0.1634117 51.5139952, -0.1634376 51.5139681, -0.163491 51.5139396, -0.1635614 51.5139197, -0.1636825 51.5138962, -0.1637768 51.5138914, -0.1638455 51.5139065, -0.163891 51.5139278, -0.1642588 51.5145849))",,,,,,,,Connaught Square,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[295816564, 1933585947, 6938844533, 6938844532, 6938844531, 6938844534, 6938844530, 295816565, 6938844529, 6938844528, 1933585948, 295816566, 6938844525, 6938844524, 6938844523, 1933585942, 1933585940, 6938844526, 6938844527, 295816567, 295816564]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.1674708 51.5164633, -0.1670469 51.5161818, -0.1664971 51.5158169, -0.1664633 51.5158083, -0.166431 51.5158162, -0.1664103 51.5158428, -0.1663937 51.5159003, -0.1663711 51.516, -0.1663794 51.5160848, -0.1663875 51.5161432, -0.1664191 51.5162052, -0.1664584 51.5162582, -0.1664948 51.5163071, -0.1665336 51.5163421, -0.1665781 51.5163771, -0.1666302 51.5164106, -0.1666965 51.5164389, -0.1667803 51.5164696, -0.1668438 51.5164912, -0.1669073 51.5165092, -0.1670029 51.5165258, -0.1670856 51.5165328, -0.1671719 51.5165355, -0.1672634 51.5165342, -0.1673548 51.5165277, -0.1674441 51.516511, -0.1674694 51.5164954, -0.1674718 51.5164764, -0.1674708 51.5164633))",,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[295817585, 6960310294, 295817586, 6960239183, 6960239184, 1929007403, 295817587, 1929007417, 295817588, 6960239182, 6960239181, 6960310293, 295817589, 6960310292, 6960239180, 6960310291, 295817590, 6960239179, 6960310290, 6960239178, 6960239177, 295817591, 295817592, 6960310289, 6960310288, 6960310287, 6960310286, 6960310285, 295817585]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.1684988 51.5269497, -0.1684184 51.5270151, -0.1682716 51.5271082, -0.1681702 51.5272067, -0.1680651 51.5272821, -0.16802 51.5273213, -0.1679361 51.5273851, -0.1676389 51.5272317, -0.1674886 51.5273366, -0.167431 51.5273081, -0.1672191 51.5272097, -0.1669425 51.5270385, -0.1672531 51.5268839, -0.1673317 51.5268367, -0.1673926 51.5267973, -0.1674841 51.5267285, -0.1675452 51.5266884, -0.1676174 51.5266611, -0.1676762 51.5266593, -0.1677249 51.5266458, -0.1677757 51.5266419, -0.1679648 51.5265446, -0.1682124 51.5267309, -0.1682428 51.5267564, -0.1684921 51.5269412, -0.1684988 51.5269497))",,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[296011276, 6443858593, 296011277, 296011278, 296011279, 296011280, 296011281, 296011283, 296011284, 296011285, 6443858582, 296011286, 2336709916, 2336709890, 2336709883, 296011288, 2336709870, 2336709863, 296007239, 2336709857, 296007229, 296007230, 296007227, 2336709875, 2336709924, 296011276]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.1670829 51.5253887, -0.1666524 51.5256236, -0.1666145 51.5256342, -0.166531 51.5256436, -0.166457 51.5256436, -0.1663888 51.5256094, -0.1663279 51.5254677, -0.1663622 51.5254395, -0.1666013 51.5252971, -0.1666806 51.5252574, -0.1668108 51.52519, -0.1668465 51.5252161, -0.1670829 51.5253887))",,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[296014951, 6444372981, 296014952, 6444372980, 296014953, 6444372979, 6444372978, 296014954, 296014955, 9468424988, 296014956, 9468424991, 296014951]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((0.0171145 51.5321208, 0.0174929 51.5326607, 0.0175591 51.5326381, 0.0176705 51.5326, 0.0178134 51.5325512, 0.0183725 51.5323595, 0.018416 51.5323591, 0.0185317 51.5324878, 0.0185572 51.5324866, 0.0185941 51.5324848, 0.0185859 51.5324441, 0.0185844 51.5324253, 0.0185493 51.5319849, 0.0185448 51.5319284, 0.0184364 51.5319404, 0.0183183 51.5319293, 0.0182906 51.5318154, 0.0181901 51.5317483, 0.0181407 51.5317583, 0.0180473 51.5317772, 0.0178443 51.5318528, 0.0177215 51.5318989, 0.017733 51.5319176, 0.0177238 51.5319389, 0.0176341 51.5319509, 0.0171045 51.5321065, 0.0171145 51.5321208))",,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[299148939, 296956286, 8926382116, 8923596302, 8923070283, 8923087200, 8923087199, 8923087198, 299149019, 296956288, 8926383219, 8926383216, 297549998, 8927314664, 299148880, 296956291, 296956292, 8447156197, 8573021523, 8447156198, 296956294, 8917379651, 8917379650, 8917379652, 8917379653, 8447156202, 299148939]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.3625622 51.4264864, -0.3625467 51.4269359, -0.3625218 51.4269358, -0.3625458 51.4271515, -0.3623008 51.4271484, -0.3620197 51.4271448, -0.3622945 51.4264859, -0.3625622 51.4264864))",,,,,,,,Arundel Close Open Space,,,,,,,,,,,,"Stinging nettle field, heavily overgrown with brambles. Cleared intermittently by the council.",,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[298015367, 8096711740, 5983797857, 298015368, 8100834855, 298015369, 298015370, 298015367]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.3604037 51.4250842, -0.3604355 51.4250426, -0.3608115 51.424551, -0.3609078 51.424425, -0.361496 51.4245775, -0.3616281 51.4247482, -0.3619488 51.42512, -0.3614799 51.4257028, -0.3607074 51.4253033, -0.3604605 51.4251254, -0.3604037 51.4250842))",,,,,,,,Holly Road Recreation Ground,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[566733016, 7917612315, 1509800926, 1509800924, 298015431, 298015436, 298015432, 566733018, 1509800931, 7917612317, 566733016]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.2228591 51.4700248, -0.2228487 51.4700454, -0.2227966 51.4702006, -0.2229123 51.4702268, -0.2229513 51.4702316, -0.2229041 51.4703548, -0.222805 51.4706268, -0.223338 51.4707037, -0.2231815 51.4708747, -0.2231794 51.4709209, -0.2231962 51.4709544, -0.2232731 51.471131, -0.223348 51.4713052, -0.2233704 51.4713573, -0.2233081 51.4714055, -0.2231908 51.4713658, -0.2232066 51.4713472, -0.2228994 51.4712417, -0.2229303 51.471207, -0.2228102 51.4711644, -0.22262 51.4710992, -0.222582 51.4711326, -0.2225403 51.4711259, -0.2224893 51.4711204, -0.2223147 51.4711918, -0.2221551 51.4710374, -0.2213364 51.4704049, -0.2220264 51.4698772, -0.2228591 51.4700248))",,,,,,,,Leader's Gardens,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[298852462, 8809161884, 7499135012, 8809161880, 7499135011, 4965946543, 418365100, 8809161867, 7489748434, 8809161868, 7489748435, 7499134998, 8809161869, 8809161872, 7454323912, 8809161871, 8809161870, 7499134999, 8809161874, 7489748436, 7454323910, 7454323928, 2984273234, 7454323927, 7454323926, 298852519, 298852470, 298852471, 298852462]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.1700737 51.5220319, -0.169035 51.5226202, -0.168996 51.5226441, -0.1687784 51.5224774, -0.1687903 51.5224253, -0.1688284 51.522354, -0.168834 51.5223472, -0.1688182 51.5222571, -0.1690429 51.5221773, -0.169421 51.5220429, -0.1698502 51.5218229, -0.1700737 51.5220319))",,,,,,,,Broadley Street Gardens,,,,,,City of Westminister,,,,,,,,park,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,"[298915905, 6467431261, 298915907, 302410373, 298915908, 5136533160, 302410378, 302410381, 9320846126, 3655786754, 298915909, 298915905]",,,,,,,,,,,,,,,recreation_ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((0.0649196 51.4567633, 0.0648781 51.4568805, 0.0660562 51.4570626, 0.0668756 51.4571865, 0.0675499 51.4572735, 0.0686898 51.4574264, 0.0695887 51.4575361, 0.0697078 51.4575907, 0.0701152 51.4576493, 0.070294 51.4576149, 0.0714894 51.4578174, 0.0726421 51.457977, 0.0734348 51.4580252, 0.0736094 51.4566255, 0.0693826 51.4545085, 0.0666788 51.4536133, 0.0660909 51.4535275, 0.0660775 51.4535644, 0.0660521 51.4536346, 0.0649196 51.4567633))",,,,,,,,Eltham Park South,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[299014021, 479163727, 479164415, 479164432, 479164445, 479164448, 2459662290, 2459662291, 2459662292, 479164452, 479164455, 479164458, 88264201, 88264202, 88264204, 88264186, 299014026, 8197465974, 8197311734, 299014021]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.0431537 51.4055256, -0.0439508 51.4057356, -0.0447278 51.4061158, -0.0450445 51.4058936, -0.0455669 51.4055554, -0.0457024 51.4056306, -0.0457851 51.4055633, -0.0459972 51.4053935, -0.0463048 51.4055297, -0.0465779 51.4053499, -0.0466397 51.4053148, -0.0469093 51.4054625, -0.047522 51.4050927, -0.0472422 51.4049276, -0.0457803 51.4041017, -0.0453546 51.4042583, -0.0451273 51.4042896, -0.0449629 51.4042855, -0.044917 51.4042796, -0.0442349 51.4040237, -0.0437553 51.4046288, -0.0431537 51.4055256))",,,,,,,,Churchfields Recreation Ground,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[299376441, 299376442, 418598331, 299376444, 3616176371, 3616176376, 3616176373, 299376445, 299376447, 299376358, 1836955752, 418598327, 299376448, 3616176361, 763634716, 8227440241, 8227440240, 763634738, 8069438154, 299376449, 3616176355, 299376441]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.0977909 51.5410217, -0.097961 51.5414995, -0.0979608 51.5415727, -0.0979212 51.5416253, -0.0978773 51.541631, -0.0970172 51.5411681, -0.0972485 51.5409875, -0.0974539 51.541099, -0.0976578 51.5409482, -0.0977909 51.5410217))",,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[299611201, 339833065, 339833022, 299611203, 1754932226, 339832978, 339832981, 339832977, 299611207, 299611201]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.0983342 51.5418116, -0.0979756 51.5405198, -0.097713 51.5405311, -0.0978069 51.540887, -0.0980219 51.5414924, -0.0980588 51.5416112, -0.0980271 51.541693, -0.0982793 51.5418252, -0.0983342 51.5418116))",,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[299611182, 299611186, 299611175, 299611177, 299611180, 339833029, 339833027, 299611181, 299611182]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"POLYGON ((-0.141793 51.4720081, -0.1419768 51.4720812, -0.1426772 51.4716484, -0.1435364 51.4713486, -0.1431586 51.4711669, -0.1426242 51.4707361, -0.1428191 51.4706383, -0.1431173 51.4704973, -0.1429184 51.4702765, -0.1427698 51.4700952, -0.1427372 51.4700504, -0.1414957 51.4706783, -0.1417844 51.4709086, -0.1411378 51.4712026, -0.1405667 51.4715023, -0.1410101 51.4716848, -0.1416105 51.4719371, -0.141793 51.4720081))",,,OS,,,,,Heathbrook Park,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4366457660, 300403172, 300403173, 4079098002, 1138910787, 300403175, 300403176, 4366937439, 4366937455, 4366937449, 4366937440, 300403180, 300403181, 4366457655, 4366457653, 4366457658, 4366457659, 4366457660]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
