created_by,geometry,barrier,foot,source,access,description,landuse,highway,fixme,wheelchair,surface,name,operator,leaf_cycle,leaf_type,natural,opening_hours,note,nodes,sport,contact:website,wikidata,source:name,wikipedia,addr:city,addr:postcode,addr:street,leisure,old_name,alt_name,dog,private,landuse_2,operator:type,operator:wikidata,website,postal_code,lit,email,phone,public,not:name,area,golf:course,name:ga,addr:housenumber,source:alt_name,fhrs:id,source:addr,access:note,wheelchair:description,url,club,survey:date,owner,historic:leisure,name:en,name:zh,building,addr:housename,golf,pets_allowed,addr:country,addr:suburb,landcover,source:geometry,fence_type,level,mtb,amenity,community_centre,community_centre:for,facebook,ways,type,maxspeed,designation
,"POLYGON ((-0.3335205 51.5588562, -0.333714 51.5589236, -0.3319438 51.5605645, -0.3305098 51.5599352, -0.3312029 51.5591849, -0.3284891 51.5579965, -0.3292616 51.557236, -0.3306885 51.5575229, -0.3317235 51.5577758, -0.3325982 51.5580594, -0.3324373 51.5583433, -0.333478 51.5585434, -0.3335205 51.5588562))",,,,,,recreation_ground,,,,,Post Office Sports Club,,,,,,OS gives name as Sudbury Hill playing fields.,"[25262322, 25262324, 25262325, 25262326, 25262327, 25262305, 25262308, 25262310, 1333892217, 25262317, 25262319, 25262320, 25262322]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.2963432 51.5194044, -0.2963163 51.5192402, -0.2961205 51.5190982, -0.2961954 51.5180514, -0.2966222 51.5180637, -0.2971406 51.5180952, -0.2986069 51.5183738, -0.2984604 51.5186462, -0.2981 51.5193163, -0.2966244 51.5193903, -0.2963432 51.5194044))",,,,,,recreation_ground,,,,,Ealing Cricket Club,,,,,,,"[25441681, 25441683, 25441685, 25441688, 3203059742, 25441692, 25441697, 3203060448, 25441677, 4515099796, 25441681]",cricket,,Q5325479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.3698166 51.4977154, -0.3681 51.4979826, -0.3672417 51.4979959, -0.3666409 51.4977822, -0.3662117 51.4975284, -0.3655519 51.4973112, -0.3658048 51.4961477, -0.3665698 51.4962084, -0.3672631 51.4958452, -0.3677632 51.4959912, -0.3680977 51.4960889, -0.368954 51.4959821, -0.3691943 51.496807, -0.3698166 51.4977154))",,,,,,recreation_ground,,,,,,,,,,,,"[25445774, 25445775, 25445776, 25445777, 25445778, 25445779, 3314265433, 25445782, 25445783, 2077202739, 25445785, 25445786, 25445787, 25445774]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.3824552 51.527882, -0.3811978 51.5278854, -0.381005 51.5283748, -0.3808049 51.5283395, -0.3802862 51.5282481, -0.3795915 51.5282658, -0.3792025 51.5284237, -0.3791016 51.5284979, -0.3789315 51.528623, -0.3787009 51.5290429, -0.3784545 51.5290071, -0.3783469 51.5289914, -0.3784434 51.5285436, -0.378025 51.5281918, -0.3771184 51.5281521, -0.3765551 51.5284171, -0.3765815 51.527997, -0.3765873 51.5279045, -0.3766087 51.5272343, -0.3766831 51.5267206, -0.3821118 51.5264135, -0.3824552 51.527882))",,,yahoo,,,recreation_ground,,,,,,,,,,,,"[25446682, 3218906007, 25446691, 3218924515, 25446690, 2295878171, 3218906005, 3218924523, 2295878130, 2295878162, 3218924504, 2295878180, 2295878110, 2295878119, 25446689, 25446687, 7883979588, 25446686, 25446685, 25446684, 25446683, 25446682]",cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.3816398 51.5258395, -0.3808344 51.5260748, -0.3802236 51.5262533, -0.3795584 51.5261065, -0.3788717 51.5257327, -0.3782066 51.5256793, -0.3775628 51.5254657, -0.3770049 51.5250785, -0.3770264 51.5247848, -0.3774341 51.5242909, -0.3777774 51.5238102, -0.3785499 51.5235165, -0.3795798 51.5239838, -0.3806098 51.5241306, -0.3813394 51.5244244, -0.3818758 51.5254256, -0.3816398 51.5258395))",,,yahoo,,,recreation_ground,,,,,,,,,,,,"[25446709, 2372186322, 25446695, 25446696, 25446697, 25446698, 25446699, 25446700, 25446701, 25446702, 25446703, 25446704, 25446705, 25446706, 25446707, 25446708, 25446709]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.3762274 51.528818, -0.3741223 51.5285981, -0.3742122 51.5282743, -0.3737851 51.5282288, -0.3741635 51.5270407, -0.3751185 51.523507, -0.3752052 51.5235227, -0.3753688 51.5235364, -0.3754008 51.5235364, -0.3754428 51.5235296, -0.3753232 51.5242142, -0.3766495 51.5245209, -0.3765146 51.5246498, -0.3763114 51.5248475, -0.3762086 51.5249644, -0.376135 51.52507, -0.3760707 51.5251878, -0.3760284 51.5252786, -0.375999 51.5253629, -0.3759677 51.5255591, -0.375966 51.5256777, -0.3759773 51.5257559, -0.376031 51.5260236, -0.3760952 51.5262812, -0.3762188 51.5268006, -0.3762604 51.5270629, -0.3762876 51.5273232, -0.3762807 51.5277186, -0.3762749 51.5280329, -0.3762532 51.5283938, -0.376232 51.5287357, -0.3762274 51.528818))",,,,,,recreation_ground,,,,,King George's Field,,,,,,,"[25446727, 25446714, 25446713, 25446712, 2316039583, 25446711, 2316039562, 7872674311, 7872674297, 2316039581, 2316039563, 7872674296, 2513435117, 2513435118, 7872674305, 263011229, 2513435119, 2604188509, 2292630126, 2513435125, 2513435131, 263011230, 2604188510, 263011231, 2513435132, 2513435133, 263011232, 25446716, 2513435134, 2513435135, 263011233, 25446727]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.3762274 51.528818, -0.3762227 51.5289457, -0.3761945 51.5291318, -0.3761479 51.5293056, -0.3760693 51.5295138, -0.3759129 51.5298372, -0.3745525 51.5296155, -0.3734859 51.5294439, -0.3736464 51.529031, -0.3737635 51.5285848, -0.3762274 51.528818))",,,yahoo,,,recreation_ground,,,no,,Southall Cricket Club,,,,,,,"[25446727, 7872674314, 2604188511, 7872629384, 7872674306, 25446724, 2316039578, 25446725, 2316039566, 25446726, 25446727]",cricket,,,OS OpenData StreetView,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.3454804 51.457774, -0.345304 51.457871, -0.3449504 51.4579461, -0.3447193 51.4580098, -0.3443096 51.4579736, -0.3438538 51.4580189, -0.3436558 51.4581159, -0.3432604 51.4580715, -0.342884 51.4580598, -0.3434093 51.4575746, -0.3440888 51.4567003, -0.3444423 51.4557642, -0.3445463 51.4555908, -0.3460122 51.4555653, -0.3459235 51.456308, -0.3464823 51.4571832, -0.3460533 51.4572726, -0.3456249 51.4574543, -0.3454804 51.457774))",,,yahoo,,,recreation_ground,,,,,Cardinal Vaughan Memorial School Playing Fields,,,,,,,"[566447247, 7959264715, 566447243, 7959264719, 57730513, 7959264720, 57730506, 566447238, 25472779, 7959264714, 25472780, 57730401, 25472781, 57730353, 25472784, 25472785, 7959264718, 25472787, 566447247]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.3679894 51.4545448, -0.3649148 51.454857, -0.3648957 51.4548791, -0.3643504 51.4549399, -0.3642888 51.4548984, -0.3641407 51.4549002, -0.3641416 51.4544986, -0.364082 51.4537472, -0.3678062 51.4535438, -0.3679894 51.4545448))",,,yahoo,,,recreation_ground,,,,,Old Latymerians Sports Ground,,,,,,,"[566447540, 566447534, 25473080, 6070774177, 7959264891, 566447532, 7959264836, 25473078, 566704821, 566447540]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.3900458 51.469416, -0.3900007 51.4694262, -0.3886115 51.4693036, -0.3885113 51.4692556, -0.3883989 51.4691198, -0.3886135 51.4680905, -0.3887206 51.4679332, -0.3888746 51.4678083, -0.3894839 51.4678203, -0.3900047 51.4678477, -0.3902228 51.467866, -0.3904033 51.4679134, -0.3904537 51.4680182, -0.3904799 51.4681149, -0.3904863 51.4683211, -0.3902669 51.4692865, -0.3902141 51.469342, -0.3901354 51.4693841, -0.3900458 51.469416))",,,yahoo,,,recreation_ground,,,,,,,,,,,,"[25478006, 25478010, 25478015, 25478001, 25478018, 25478020, 25477991, 25478026, 1734115274, 1734115277, 25478029, 1734115288, 1734115305, 25477979, 25478031, 25478008, 1734115394, 1734115396, 25478006]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
