created_by,geometry,barrier,foot,source,access,description,landuse,highway,fixme,wheelchair,surface,name,operator,leaf_cycle,leaf_type,natural,opening_hours,note,nodes,sport,contact:website,wikidata,source:name,wikipedia,addr:city,addr:postcode,addr:street,leisure,old_name,alt_name,dog,private,landuse_2,operator:type,operator:wikidata,website,postal_code,lit,email,phone,public,not:name,area,golf:course,name:ga,addr:housenumber,source:alt_name,fhrs:id,source:addr,access:note,wheelchair:description,url,club,survey:date,owner,historic:leisure,name:en,name:zh,building,addr:housename,golf,pets_allowed,addr:country,addr:suburb,landcover,source:geometry,fence_type,level,mtb,amenity,community_centre,community_centre:for,facebook,ways,type,maxspeed,designation
,"POLYGON ((-0.3892766 51.5657296, -0.3873111 51.5665512, -0.3871823 51.5664231, -0.3867992 51.5665933, -0.3860476 51.5659133, -0.3861008 51.5658883, -0.3883239 51.5648439, -0.3892766 51.5657296))",,,,,,recreation_ground,,,,,,,,,,,,"[151236043, 151236044, 151236045, 151236046, 6255504958, 7737557513, 151236048, 151236043]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4261229 51.4626596, -0.4256372 51.4623512, -0.4241503 51.4614166, -0.4261962 51.4603025, -0.4265179 51.4605743, -0.4276313 51.4616558, -0.4261229 51.4626596))",,,,,,recreation_ground,,,,,The Orchard,Bedfont and Feltham FC,,,,,,"[566390249, 566390248, 157315563, 243513177, 157320563, 2598990074, 566390249]",soccer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4280977 51.4599314, -0.4265179 51.4605743, -0.4261962 51.4603025, -0.424297 51.4584686, -0.4259492 51.4578803, -0.4280977 51.4599314))",,,,,,recreation_ground,,,,,,,,,,,,"[157320560, 157320563, 243513177, 243513174, 10020912796, 157320560]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.0045807 51.3674662, -0.0051771 51.3677966, -0.0038442 51.3685822, -0.0027396 51.3692333, -0.0020106 51.3686567, -0.0019434 51.3686035, 0.0000585 51.3670202, -0.0001303 51.3668541, -0.0001475 51.3665701, -0.0000421 51.3664535, 0.0003418 51.3660289, -0.0009679 51.3653179, -0.0022246 51.3646356, -0.003253 51.3657712, -0.0032179 51.3659791, -0.0031957 51.3661108, -0.0032546 51.3662593, -0.0033333 51.3662934, -0.0035653 51.3662106, -0.0037132 51.3665433, -0.0039428 51.3670672, -0.00415 51.3672274, -0.0045807 51.3674662))",,,,,,recreation_ground,,,,,Coney Hall Recreation Ground,,,,,,,"[183192822, 33459887, 1827782979, 33459888, 1827782989, 512562980, 33459889, 183168977, 183168978, 1827782787, 183192823, 6013176596, 33459891, 183192825, 5820742633, 183192827, 183192828, 1827782764, 183192830, 183192832, 183192833, 183192834, 183192822]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((0.1078814 51.5527525, 0.1110877 51.5524941, 0.1119043 51.5526626, 0.1123556 51.5530174, 0.1123277 51.5534792, 0.1147296 51.5553358, 0.1142608 51.5555597, 0.1141191 51.5558182, 0.1127272 51.5565198, 0.113134 51.5568469, 0.1130872 51.5568713, 0.1130307 51.5569007, 0.1125639 51.5565237, 0.1106733 51.5556431, 0.109401 51.5544157, 0.1091198 51.5544424, 0.1087321 51.5544826, 0.1086978 51.5542816, 0.1078814 51.5527525))",,,,,,recreation_ground,,,,,Goodmayes Park Extension,,,,,,,"[183429382, 183429383, 183429385, 183429386, 183429387, 183429389, 183429390, 183429392, 4646711021, 5195167134, 5195167143, 5195167138, 183429393, 183429395, 183429396, 280531011, 183429398, 183429402, 183429382]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((0.089655 51.5601264, 0.0896607 51.5593425, 0.0897808 51.5592091, 0.0902787 51.5592731, 0.0909925 51.5594543, 0.0927592 51.5599028, 0.0927849 51.5600522, 0.0933342 51.5602176, 0.0924845 51.5611034, 0.0922356 51.5614289, 0.0922099 51.5614304, 0.0916407 51.561294, 0.0913559 51.5611671, 0.0917062 51.5608193, 0.0911871 51.5606335, 0.0912013 51.5605173, 0.089655 51.5601264))",,,,,,recreation_ground,,,,,,,,,,,,"[183484524, 183497619, 183497620, 183497621, 737420787, 183497622, 183497624, 183497626, 183497627, 183497628, 4256643329, 4256643330, 183497629, 183484525, 9917377341, 9917377342, 183484524]",athletics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.2049445 51.3600721, -0.2044502 51.3601217, -0.2036673 51.3602717, -0.2029568 51.3604969, -0.2035404 51.361349, -0.2039352 51.3617724, -0.205154 51.3614615, -0.2052227 51.3612793, -0.2053076 51.3607733, -0.2052473 51.3605953, -0.2051444 51.3606079, -0.205046 51.3602944, -0.2049445 51.3600721))",,,,,,recreation_ground,,,,,Sutton Cricket Club,,,,,,,"[183603664, 183603665, 6294158525, 183603666, 183603669, 183603671, 183603674, 183603675, 183603677, 183603679, 6294158524, 6294158535, 183603664]",cricket,,Q5088832,,en:Cheam Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.0826148 51.4543781, -0.0832115 51.454693, -0.083294 51.454742, -0.0833147 51.4547471, -0.0833504 51.4547463, -0.0833714 51.4547356, -0.0833742 51.4547143, -0.0833619 51.4546759, -0.0832614 51.4543017, -0.0832101 51.4541445, -0.0831829 51.4540153, -0.0831496 51.4537569, -0.0831311 51.4535331, -0.0831768 51.4531994, -0.0829321 51.4531605, -0.0826219 51.4530705, -0.0821553 51.4529604, -0.0820217 51.4528937, -0.081995 51.4528049, -0.0822248 51.4525784, -0.0826668 51.452162, -0.0825252 51.452105, -0.0812292 51.4515755, -0.0804656 51.4514394, -0.080243 51.4515887, -0.0804994 51.4520626, -0.0807424 51.4525315, -0.0809611 51.4529583, -0.0810109 51.4531168, -0.0810289 51.4532339, -0.0810226 51.4533051, -0.080943 51.4535589, -0.0808541 51.4537325, -0.0812515 51.4538328, -0.0819196 51.4540519, -0.0821942 51.4541749, -0.0826148 51.4543781))",,,,private,,recreation_ground,,,,,,,,,,,,"[186854563, 3632588522, 378996683, 3632588518, 3632588515, 3632588517, 378996684, 3632588519, 378996685, 3632588516, 3632588520, 3632588521, 378996686, 186854566, 186854568, 418872370, 3632588523, 3632588524, 3632588525, 3632588526, 3632588527, 418872371, 418872372, 378996692, 378996654, 7710038988, 378996655, 7710038993, 378996656, 7710039070, 7710039071, 7710039072, 3623477525, 186854583, 186854584, 186854585, 186854563]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.2033894 51.6028204, -0.2038372 51.6030356, -0.2047156 51.6034184, -0.2048743 51.6035374, -0.2043552 51.6038062, -0.2043002 51.603893, -0.2035646 51.6040148, -0.2035515 51.6039793, -0.2029364 51.6036413, -0.2028635 51.6036012, -0.2028166 51.603567, -0.2027772 51.60355, -0.2027351 51.6035318, -0.2024492 51.6033772, -0.2033894 51.6028204))",,,,,,recreation_ground,,,,grass,Sports Ground,,,,,,,"[187036325, 9453092429, 187036326, 187036328, 2088614284, 187036329, 187036322, 9453173118, 9456042908, 9453173119, 9453173120, 10311162874, 2612667863, 187036320, 187036325]",,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1679953 51.4437186, -0.1671167 51.442787, -0.1671745 51.4427775, -0.1674299 51.4424518, -0.1677069 51.4423639, -0.1676175 51.4422365, -0.1676936 51.4422146, -0.1678532 51.4421562, -0.1682446 51.442027, -0.1686453 51.441908, -0.1688012 51.4418813, -0.1692107 51.4417873, -0.1695608 51.4416835, -0.1696315 51.441676, -0.1698893 51.4416022, -0.1702143 51.4415106, -0.1705907 51.4414018, -0.1707581 51.4419961, -0.1706485 51.4420412, -0.1704769 51.4421484, -0.1704444 51.4421814, -0.1704132 51.4422131, -0.1703799 51.4422658, -0.1703254 51.4423166, -0.1702592 51.4423761, -0.1699596 51.4426324, -0.1696094 51.4429293, -0.1694722 51.4430383, -0.169392 51.4430955, -0.1692862 51.4431582, -0.1691758 51.4432199, -0.169046 51.4432827, -0.1685213 51.4434943, -0.1682367 51.4436165, -0.1679953 51.4437186))",,,,,,recreation_ground,,,,,Trinity Fields,,,,,,,"[187264335, 187264336, 9346640814, 187264337, 187264339, 187264340, 9346679322, 9346679326, 9346679327, 187264342, 9346679328, 8580596920, 187264343, 8580596921, 9472484341, 426767490, 426767491, 9472484335, 9472484331, 9346679406, 7254299261, 9346679407, 9346679405, 187264348, 9472484365, 9472484364, 9472484366, 9472484367, 187264349, 9472484369, 9472484368, 9472484370, 9472484371, 9472484372, 187264335]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.3543643 51.4255014, -0.3553652 51.4247017, -0.3555508 51.4246942, -0.3569045 51.4253096, -0.3561162 51.4259734, -0.3558218 51.4261967, -0.3548182 51.4257173, -0.3543643 51.4255014))",,,,,,recreation_ground,,,,,Hampton Hill Cricket Club,,,,,,,"[190584500, 190584793, 8085447954, 190584925, 8085447956, 190585041, 8025340799, 190584500]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1323199 51.3650937, -0.1304903 51.3651407, -0.1304439 51.3651102, -0.1304501 51.3650338, -0.1304291 51.3649923, -0.1303748 51.3649649, -0.1302023 51.3649409, -0.1301761 51.364278, -0.132005 51.3639166, -0.132178 51.3642812, -0.132283 51.364719, -0.1323199 51.3650937))",,,,,,recreation_ground,,,,,LCCA Cricket Centre,,,,,,,"[194614270, 9675071619, 9675071626, 9675071624, 9674935114, 9675071630, 9675071623, 194614280, 194614283, 9675071622, 9675071627, 194614270]",cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1265404 51.3646262, -0.1265106 51.3647711, -0.1240961 51.3652795, -0.1234698 51.3651921, -0.1230669 51.3650603, -0.1226738 51.3648462, -0.1224953 51.3647206, -0.1224718 51.3646906, -0.12303 51.3645864, -0.123545 51.3644887, -0.1234726 51.3643361, -0.1256855 51.3639034, -0.1258766 51.3642723, -0.126367 51.3642126, -0.126399 51.3642305, -0.1264512 51.3642207, -0.126543 51.364418, -0.126579 51.3644952, -0.1270174 51.3644125, -0.1270504 51.3645087, -0.1265404 51.3646262))",,,,,,recreation_ground,,,,,,,,,,,,"[194614372, 194614374, 194614376, 1912460213, 194614380, 1912460180, 1912460165, 194614382, 194614456, 194614400, 194614411, 194614427, 194614371, 194614432, 10308197797, 10308197796, 10308197800, 194614440, 10308261110, 10308261111, 194614372]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((0.0441276 51.320167, 0.0432227 51.3193926, 0.0445559 51.318738, 0.0443034 51.3180878, 0.044024 51.3172422, 0.0453436 51.317007, 0.0456626 51.3177776, 0.0465868 51.317629, 0.0470837 51.3189327, 0.0452827 51.3192863, 0.0441276 51.320167))",,,,,,recreation_ground,,,,,,,,,,,,"[199845435, 199845436, 199845438, 199845439, 1556404687, 1556404502, 1556404654, 199845440, 199845441, 33472723, 199845435]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.191514 51.6190641, -0.1911758 51.6207335, -0.1911924 51.6211218, -0.19331 51.6209794, -0.1933168 51.6206323, -0.193564 51.6202336, -0.1938382 51.6199869, -0.1942422 51.619817, -0.1947223 51.6197382, -0.1947572 51.6195318, -0.1945292 51.619351, -0.193974 51.619168, -0.1929497 51.619113, -0.1929635 51.6190341, -0.1927677 51.6190208, -0.1928049 51.6187756, -0.1927579 51.6187108, -0.1927258 51.6186468, -0.1925849 51.6186397, -0.1924849 51.6186674, -0.1918163 51.6185465, -0.1915999 51.6185091, -0.1915061 51.618501, -0.1916163 51.6187097, -0.1916177 51.6187893, -0.1915973 51.6188575, -0.191514 51.6190641))",,,,,,recreation_ground,,,,,The Woodside Park Club,,,,,,,"[206179931, 2087864153, 586902994, 206179933, 2087864167, 2087864144, 2087864132, 586903201, 2087864137, 2087864175, 2087864163, 2087864177, 206179934, 10239191887, 10239191886, 2087864172, 9560294767, 9560294769, 9560294770, 9560294768, 2087864159, 1797950136, 2087864166, 586903018, 10238929120, 586903020, 206179931]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1896006 51.5959534, -0.19028 51.5962476, -0.1905881 51.5963194, -0.1909366 51.5963495, -0.191628 51.5963817, -0.1921383 51.5963946, -0.1918721 51.5974885, -0.1917812 51.5974768, -0.1916609 51.5978426, -0.1909543 51.5976967, -0.1904188 51.597582, -0.189797 51.5974488, -0.1889827 51.5971419, -0.1882222 51.59679, -0.1888397 51.5962772, -0.189106 51.5963817, -0.1896006 51.5959534))",,,,,,recreation_ground,,,,grass,Wilf Slack Sports Ground,,,,,,,"[206180299, 2118713619, 618970347, 206180300, 618970358, 206180301, 4998010301, 4998010300, 206180302, 2118713646, 4995142875, 206180303, 2118713624, 206180304, 2118713666, 2118713657, 206180299]",cricket,,Q8001680,,en:Wilf Slack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOSM,"POLYGON ((-0.1328351 51.3585635, -0.1300476 51.3588876, -0.1296572 51.3579167, -0.129596 51.3575837, -0.1328915 51.3572465, -0.1330608 51.358046, -0.1328351 51.3585635))",,,,,,recreation_ground,,,,,Wallington Sports and Social Club,,,,,,,"[206206129, 206206130, 206206131, 247806023, 206206137, 206206138, 206206129]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1247791 51.3585946, -0.1247858 51.3585496, -0.1248696 51.3585191, -0.1249861 51.3585203, -0.1253541 51.3584877, -0.1269344 51.3582698, -0.1272194 51.358381, -0.1272718 51.3585187, -0.1273689 51.358774, -0.1275166 51.3591623, -0.1280494 51.3593783, -0.1287205 51.3594172, -0.1290728 51.3596807, -0.129652 51.3596435, -0.1299907 51.360047, -0.1299905 51.3601873, -0.1298113 51.3603843, -0.1283818 51.3605243, -0.1269715 51.360713, -0.126559 51.3607681, -0.1263432 51.360797, -0.1255145 51.3608527, -0.1254207 51.3607836, -0.1252122 51.3605021, -0.1251869 51.3602408, -0.1252589 51.3600897, -0.1252923 51.3599872, -0.1252781 51.3598846, -0.1248735 51.3588528, -0.1247791 51.3585946))",,,,,,recreation_ground,,,,,,,,,,,,"[1912459483, 1912459475, 1912459470, 1912459472, 1912459465, 247806027, 247806025, 292293113, 292293115, 206206199, 206206200, 206206201, 206206197, 21381896, 21381895, 21381923, 21381894, 21381878, 4902453310, 4902453308, 21381879, 1912459729, 1912459724, 1912459701, 1912459668, 1912459649, 1912459636, 1912459618, 1912459507, 1912459483]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.3666739 51.5920605, -0.3664159 51.5927951, -0.3662678 51.5925475, -0.365498 51.5927324, -0.3650861 51.5919432, -0.3668971 51.5914953, -0.3666739 51.5920605))",,,,,,recreation_ground,,,,,,,,,,,,"[239974785, 239974786, 239974538, 239974534, 239974787, 239974788, 239974785]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.3595363 51.6096059, -0.3564893 51.6107092, -0.3559486 51.6101549, -0.355927 51.6099993, -0.355956 51.6099121, -0.3560319 51.6097744, -0.3561431 51.6096191, -0.3562748 51.6095206, -0.3591072 51.6088756, -0.3595363 51.6096059))",,,,,,recreation_ground,,,,,,,,,,,,"[241121745, 241121746, 241121747, 241121748, 5638790161, 5638790146, 241121749, 241121750, 241121751, 241121745]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.2702352 51.6084006, -0.269022 51.6086488, -0.2684597 51.6076544, -0.2682604 51.607369, -0.2682191 51.6072551, -0.2684447 51.6071886, -0.2690704 51.6070104, -0.2692156 51.606969, -0.2702352 51.6084006))",,,,,,recreation_ground,,,,,,,,,,,,"[242693978, 242693979, 2101831602, 2090581889, 242693980, 242693981, 5681256807, 242693982, 242693978]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potlatch 0.6c,"POLYGON ((-0.1337194 51.4067049, -0.1324577 51.4069405, -0.1320458 51.4063944, -0.1317453 51.4055645, -0.1328011 51.4053664, -0.1337194 51.4067049))",,,,,,recreation_ground,,,,,,,,,,,,"[243237070, 243237072, 243237074, 243237076, 243237080, 243237070]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.1330974 51.4024622, -0.1304889 51.4033664, -0.130437 51.403252, -0.1300226 51.4030185, -0.1295608 51.4027728, -0.1293373 51.4026538, -0.1298843 51.4024414, -0.1300836 51.4023641, -0.1304556 51.4021979, -0.1316885 51.4016902, -0.1317721 51.4016558, -0.1321925 51.4014828, -0.1322252 51.4015283, -0.1322488 51.4015517, -0.1323345 51.4016423, -0.1325633 51.4018842, -0.1330822 51.4024457, -0.1330974 51.4024622))",fence,,,,,recreation_ground,,,,,Pollards Hill Recreation Ground,,,,,,,"[243240732, 243240506, 1785641559, 243240922, 1787763734, 243240734, 1787763715, 1785641539, 1785641537, 1920128361, 1787763693, 243240735, 1787763684, 1787763688, 1920128433, 1787763699, 1920128542, 243240732]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.256545 51.5100129, -0.2566844 51.5107998, -0.2569762 51.510944, -0.25665 51.5111683, -0.2557059 51.5111416, -0.2557059 51.5112271, -0.2551137 51.5112698, -0.2550753 51.5111959, -0.2550158 51.5110685, -0.2542004 51.5112128, -0.254415 51.5118644, -0.2534365 51.5119766, -0.2533421 51.5117843, -0.2532133 51.5114585, -0.2525612 51.5111481, -0.2524512 51.5108404, -0.2526263 51.5108132, -0.2524409 51.5103207, -0.2521525 51.510335, -0.2521182 51.510116, -0.2518693 51.5099557, -0.2520409 51.5098542, -0.2520238 51.5096673, -0.2517577 51.5094269, -0.2515946 51.5091758, -0.2515002 51.5089087, -0.2521439 51.5088767, -0.2533095 51.5088289, -0.2544815 51.5087689, -0.2544248 51.5083324, -0.2570843 51.5081198, -0.257256 51.5088944, -0.2574448 51.5093591, -0.2571873 51.5094125, -0.2569813 51.5099467, -0.256545 51.5100129))",,,,,,recreation_ground,,,,,,,,,,,,"[254724168, 254724169, 254724170, 254724161, 254724162, 254724163, 254724164, 5221134183, 243459260, 243459261, 243459262, 243459263, 243459268, 243459264, 243459265, 3214483470, 3214483464, 243459266, 254723514, 254723513, 254723512, 254723510, 254723509, 254723508, 254723507, 243459745, 243459746, 243459642, 243459596, 243459185, 243459184, 243459190, 243459189, 243459188, 243459187, 254724168]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.2627905 51.5029158, -0.2627793 51.5025833, -0.2633593 51.5025788, -0.2633712 51.5030648, -0.2631609 51.5030942, -0.2631609 51.5032612, -0.2634602 51.5032498, -0.2635084 51.5039117, -0.2631283 51.5039916, -0.2631713 51.5044324, -0.2622255 51.5046126, -0.2617875 51.5046413, -0.2617589 51.504639, -0.2608085 51.5045509, -0.2598071 51.5042914, -0.2596844 51.5026493, -0.2611655 51.5026325, -0.2611736 51.502937, -0.2616383 51.5029309, -0.2616302 51.5026181, -0.2616909 51.5026167, -0.2617719 51.502614, -0.2617912 51.5029289, -0.2627905 51.5029158))",,,,,,recreation_ground,,,,,Southfield Recreation Ground,,,,,,,"[2418775714, 634466578, 2418775737, 634466567, 2418775722, 634466566, 634466565, 243460713, 243460714, 243460715, 243460716, 243460717, 9215439597, 243460718, 243460719, 243460720, 634466577, 634466576, 8742969620, 8742969622, 8742969623, 8742969621, 8742969619, 2418775714]",,,,,,,,,,,,,,,,,,,,,,,Southfields Recreation Ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.2703623 51.5017408, -0.2689204 51.5019866, -0.2686624 51.5013166, -0.2687166 51.5012057, -0.2690457 51.5009482, -0.2694426 51.5005809, -0.2696277 51.5005275, -0.2698343 51.500449, -0.2700005 51.5005592, -0.2701963 51.5007362, -0.2703519 51.5010684, -0.2705021 51.5014374, -0.2704458 51.5016128, -0.2704056 51.5017079, -0.2703623 51.5017408))",,,,,,recreation_ground,,,,,South Acton Recreation Ground,,,,,,,"[243461006, 243461007, 2429046857, 243461008, 243461009, 243461010, 2927836103, 243461011, 2927836102, 2927836101, 2927833600, 2927836104, 2927836105, 2927836106, 243461006]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.2812707 51.4947702, -0.280421 51.4948824, -0.2786014 51.4955717, -0.2796568 51.4966208, -0.280112 51.4970733, -0.2805068 51.4978213, -0.2807128 51.4969878, -0.2808844 51.4963145, -0.2811162 51.4949572, -0.2812449 51.4948984, -0.2812707 51.4947702))",,,,,,recreation_ground,,,,,,,,,,,,"[243461568, 243461569, 243461570, 10067669228, 243461571, 243461572, 243461573, 243461574, 243461575, 243461576, 243461568]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.3172451 51.4926552, -0.3164664 51.4930504, -0.3156004 51.4933881, -0.3159136 51.4935733, -0.3169204 51.4943528, -0.31758 51.4940017, -0.317711 51.4939349, -0.3183357 51.4936167, -0.3181403 51.4934725, -0.3172451 51.4926552))",,,,,,recreation_ground,,,,,GlaxoSmithKline Sports Ground,GlaxoSmithKline,,,,,,"[3499784282, 3499784284, 3499784285, 243523447, 243523449, 243523371, 10141830518, 243523450, 243523451, 3499784282]",football;tennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.2931799 51.5040201, -0.2926563 51.5041056, -0.2914632 51.5044422, -0.2906993 51.5046986, -0.2899698 51.5049925, -0.2899097 51.5048589, -0.290665 51.504549, -0.2899526 51.5033202, -0.2923473 51.5028394, -0.293076 51.5038722, -0.2931799 51.5040201))",,,,,,recreation_ground,,,,,Popefield,,,,,,,"[243524969, 243524970, 243524971, 243524972, 243524973, 243524974, 243524975, 243524976, 243524977, 560093915, 243524969]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.2880674 51.5017423, -0.2886191 51.5009921, -0.2889828 51.5010443, -0.2904934 51.5013434, -0.2908735 51.502185, -0.2897453 51.5024059, -0.2894182 51.5024719, -0.2886277 51.5026557, -0.2880674 51.5017423))",,,,,,recreation_ground,,,,,Old Actonian's Sports Club,,,,,,,"[243528827, 243528828, 243528829, 243528830, 2282637322, 2282637321, 2282637320, 573204804, 243528827]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((0.0389045 51.4734664, 0.0422402 51.4729673, 0.0420088 51.4722591, 0.0418133 51.4716252, 0.0384762 51.4721249, 0.0389045 51.4734664))",,,,,,recreation_ground,,,,,London Marathon Playing Fields,,,,,,,"[243750666, 243750672, 10313761757, 243750674, 243750675, 243750666]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.2940399 51.6070125, -0.2919556 51.6071034, -0.2918359 51.6071041, -0.2912875 51.6064124, -0.2885156 51.6025116, -0.288498 51.6022277, -0.2899142 51.6009749, -0.2909012 51.6002285, -0.2918335 51.6000669, -0.2925518 51.6019033, -0.2927632 51.6033538, -0.2925832 51.6033627, -0.2928139 51.6045217, -0.2940399 51.6070125))",,,,,,recreation_ground,,,,,Barnet FC Training Ground,,,,,,Under Development to be Barnet FC's training ground,"[243758994, 3780981389, 416960426, 243758995, 3780981399, 243758996, 243758997, 243758998, 243758999, 4975627133, 4975627132, 6361203199, 6361203198, 243758994]",,,,,,,,,,Prince Edward Playing Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4258014 51.4537283, -0.4239449 51.4527369, -0.4236072 51.4530287, -0.422611 51.4538004, -0.4234402 51.454269, -0.4258014 51.4537283))",,,,,,recreation_ground,,,,,,,,,,,,"[245236693, 245236694, 247473191, 245236695, 245236697, 245236693]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((0.1565257 51.5649725, 0.1581619 51.5656472, 0.1595268 51.5659896, 0.1600119 51.5659385, 0.1602816 51.5659355, 0.160725 51.5655944, 0.1609283 51.5652449, 0.1608999 51.5650236, 0.1608671 51.5645483, 0.1612371 51.5643234, 0.1615577 51.5643898, 0.1618537 51.5639912, 0.1621168 51.5638685, 0.1622155 51.563434, 0.1614097 51.5633165, 0.1605875 51.563112, 0.1600202 51.5634187, 0.159609 51.5631938, 0.1582359 51.5640729, 0.1579892 51.5639809, 0.1565257 51.5649725))",,,yahoo,,,recreation_ground,,,,,,,,,,,,"[245782739, 245782740, 245782741, 245782742, 245782743, 245782744, 245782745, 245782746, 245782770, 245782771, 245782772, 245782773, 245782774, 245782775, 245782776, 245782777, 245782778, 245782779, 245782780, 245782781, 245782739]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((-0.4411531 51.4505812, -0.4400021 51.4508695, -0.4397527 51.4509347, -0.43976 51.4508071, -0.4400929 51.449924, -0.4402699 51.4499424, -0.4403085 51.4497119, -0.4406684 51.4497444, -0.4406774 51.4498671, -0.4407184 51.4499499, -0.4407434 51.4499984, -0.4411438 51.4502872, -0.4411697 51.450334, -0.4411946 51.4505346, -0.4411847 51.4505629, -0.4411531 51.4505812))",,,,,,recreation_ground,,,,,Bedfont Green Recreational Field,,,,,24/7,,"[247475054, 6756048212, 566758887, 6756048211, 2597126395, 2597126396, 2597126397, 566758885, 6756048199, 6338756850, 247475061, 247475062, 6756048205, 6756048207, 6756048206, 247475054]",,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
