geometry,name,natural,source,nodes,operator,website,boundary,landcover,leisure,protection_title,url,surface,source:name,wikipedia,landuse,source:alt,managed,planting,building:levels,area,description,grassland,species,official_name,addr:city,addr:housename,addr:street,ways,type,wikidata
"POLYGON ((-0.4518615 51.5204343, -0.4527329 51.5200967, -0.453328 51.5203925, -0.4541114 51.520077, -0.4538634 51.5197363, -0.4535445 51.5191951, -0.4532953 51.5184753, -0.4524503 51.5185547, -0.4523477 51.5182007, -0.4528915 51.5181305, -0.453062 51.5179241, -0.4529421 51.5178922, -0.4527857 51.5178819, -0.4526104 51.5178937, -0.4524778 51.517935, -0.4523664 51.5179924, -0.4522622 51.5180927, -0.4521722 51.5182106, -0.4520703 51.5184037, -0.4520127 51.5186992, -0.4518615 51.5204343))",,grassland,,"[7830025882, 7830025883, 7830025884, 877050395, 877050256, 877050433, 7830060888, 7830060887, 7830060886, 7830060885, 7830060889, 7830060890, 7830060891, 7830060892, 7830060893, 7830060894, 7830060895, 7830060896, 7830060897, 7830060898, 7830025882]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.4315673 51.5238827, -0.4310583 51.5237299, -0.4310939 51.5235211, -0.4312065 51.5233318, -0.4313986 51.5233645, -0.4315673 51.5238827))",,grassland,,"[571545970, 7832705309, 7832705310, 7832705311, 571545971, 571545970]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3713299 51.5401335, -0.3715483 51.5401806, -0.3716742 51.5401876, -0.3717785 51.5401648, -0.3719242 51.54015, -0.3720658 51.5400855, -0.3721765 51.5399812, -0.3722786 51.5398721, -0.3723323 51.5397929, -0.3723994 51.5396722, -0.3724088 51.5395719, -0.3723948 51.5394982, -0.3723916 51.5394608, -0.3722667 51.5393227, -0.3721482 51.5392625, -0.3720692 51.5392392, -0.3719741 51.5392311, -0.3718305 51.5392043, -0.371638 51.5391945, -0.3714948 51.5392049, -0.371378 51.5392188, -0.3711962 51.5392741, -0.3710939 51.539322, -0.3710074 51.5394115, -0.3709429 51.5395102, -0.3708777 51.539623, -0.370848 51.5397242, -0.3708541 51.5397882, -0.3708915 51.5398921, -0.3709757 51.5399765, -0.3710733 51.5400308, -0.3711966 51.5400833, -0.3713299 51.5401335))",,grassland,,"[7835863134, 7835863135, 7835863136, 7835863137, 7835863138, 7835863139, 7835863140, 7835863141, 7835863142, 7835863143, 7835863144, 7835863145, 7835863146, 7835863147, 7835863148, 7835863149, 7835863150, 7835863151, 7835863152, 7835863153, 7835863154, 7835863155, 7835863156, 7835863157, 7835863158, 7835863159, 7835863160, 7835863161, 7835863162, 7835863163, 7835863164, 7835863165, 7835863134]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3723828 51.5399739, -0.3722902 51.5401261, -0.3722422 51.5402456, -0.3722542 51.5403188, -0.3723507 51.540436, -0.3724487 51.5405261, -0.3724876 51.5405578, -0.3726242 51.5406182, -0.3727495 51.5406559, -0.3729373 51.5407012, -0.3731135 51.5407171, -0.3732915 51.5407126, -0.373465 51.5406878, -0.3736706 51.5406269, -0.3738286 51.5405521, -0.3739525 51.5404639, -0.3739958 51.540423, -0.3740461 51.540364, -0.3740835 51.5403086, -0.3741105 51.5402551, -0.374128 51.5401935, -0.3741346 51.5400949, -0.3741326 51.5400591, -0.3741192 51.5400032, -0.3740924 51.5399428, -0.3740477 51.5398809, -0.3739972 51.5398256, -0.3739339 51.5397721, -0.3738574 51.5397193, -0.3738898 51.5396812, -0.3739367 51.5396935, -0.3740914 51.5397229, -0.3743345 51.5397602, -0.3742937 51.5397178, -0.3742391 51.5397044, -0.3742308 51.5396866, -0.3741642 51.5396488, -0.3741023 51.5396439, -0.3740441 51.5395952, -0.3739558 51.5395824, -0.3739415 51.5395618, -0.3738972 51.5395363, -0.3738246 51.5395304, -0.3737864 51.5394999, -0.3737301 51.5394756, -0.3736681 51.5394728, -0.3736437 51.5394403, -0.3735743 51.5394147, -0.3735226 51.5394223, -0.3734895 51.5393856, -0.3733278 51.5393396, -0.3733044 51.5393419, -0.3732467 51.5393537, -0.3731758 51.5393907, -0.3730473 51.5394115, -0.3728596 51.5394764, -0.3727094 51.5395613, -0.3725134 51.5397204, -0.3724365 51.5398593, -0.3723828 51.5399739))",,grassland,,"[7835863166, 7835863167, 7835863168, 7835863169, 7835863170, 7835863171, 2240060148, 2240060150, 2240060152, 2240060155, 2240060157, 2240060154, 2240060153, 2240060149, 7835863172, 7835863173, 2240060130, 7814549123, 2240060116, 7814549121, 7814549133, 2240060072, 7814549119, 2240060020, 7814549117, 2240059993, 7814549116, 2240059983, 7814549132, 7835863174, 2241775045, 2241775048, 2241775049, 7835863175, 7835863176, 7835863177, 7835863178, 7835863179, 7835863180, 7835863181, 7835863182, 7835863183, 7835863184, 7835866385, 7835866386, 7835866387, 7835866388, 7835866389, 7835866390, 7835866391, 7835866392, 7835866393, 7835866394, 7835866395, 7835866396, 7835866397, 7835866398, 7835866399, 7835866400, 7835863166]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3739298 51.5406021, -0.3740147 51.540488, -0.3741016 51.5403993, -0.3742022 51.5402999, -0.3743245 51.5402242, -0.3744983 51.5401706, -0.3747144 51.5401382, -0.3749226 51.5401247, -0.375083 51.5401292, -0.3752691 51.5401721, -0.3753197 51.5402189, -0.3753796 51.5403021, -0.3754333 51.5404173, -0.3754533 51.5405115, -0.3754483 51.5406039, -0.3754288 51.5406924, -0.37539 51.5407703, -0.3753162 51.5408623, -0.3752235 51.5409512, -0.3751305 51.5410132, -0.3750319 51.5410628, -0.3748422 51.5411087, -0.3746909 51.5411267, -0.3745284 51.5411226, -0.3743796 51.5410975, -0.3742327 51.5410468, -0.3741063 51.5409921, -0.373998 51.5409294, -0.3739267 51.5408436, -0.3739023 51.5407192, -0.3739298 51.5406021))",,grassland,,"[7835866401, 7835866402, 7835866403, 7835866404, 7835866405, 7835866406, 7835866407, 7835866408, 7835866409, 7835866410, 2943323740, 7835866411, 7835866412, 7835866413, 7835866414, 7835866415, 7835866416, 7835866417, 7835866418, 7835866419, 7835866420, 7835866421, 7835866422, 7835866423, 7835866424, 7835866425, 7835866426, 7835866427, 7835866428, 7835866429, 7835866401]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3753927 51.5409781, -0.3752776 51.5410821, -0.3752184 51.5411929, -0.3752352 51.5413041, -0.3753043 51.5413967, -0.3754286 51.5414834, -0.3755588 51.5415484, -0.3757105 51.5416009, -0.3758699 51.5416157, -0.3760166 51.541622, -0.376128 51.5416174, -0.3763081 51.5415735, -0.3764295 51.5415361, -0.3765219 51.5415012, -0.3767438 51.5414109, -0.3766082 51.5412822, -0.3765053 51.5412365, -0.3765251 51.541193, -0.3764633 51.5410908, -0.3763343 51.540951, -0.3761776 51.5408272, -0.3761073 51.5407986, -0.3760654 51.540786, -0.3759747 51.5407733, -0.3758304 51.5407641, -0.3756694 51.5408135, -0.375503 51.5408878, -0.3753927 51.5409781))",,grassland,,"[7836142166, 7836142167, 7836142168, 7836142169, 7836142170, 7836142171, 7836142172, 7836142173, 7836142174, 7836142175, 7836142176, 7836142177, 7836142178, 7836142179, 7836142180, 7836142181, 7836142182, 7836142183, 7836142184, 7836197285, 7836197286, 7836197287, 7836197288, 7836197289, 7836197290, 7836197291, 7836197292, 7836142166]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3751449 51.5391774, -0.3751885 51.5391875, -0.3752405 51.5391584, -0.375431 51.5390839, -0.3755968 51.5390007, -0.3757962 51.5389029, -0.3759504 51.5388299, -0.3760019 51.5387806, -0.3759731 51.5387738, -0.3759213 51.5387905, -0.3756896 51.5388895, -0.3754392 51.5390111, -0.3752612 51.5390958, -0.3751884 51.5391231, -0.3751482 51.539139, -0.3751449 51.5391774))",,grassland,,"[7837114643, 272341782, 7837114644, 7837114645, 7837114646, 7837114647, 267845889, 7837114648, 7837114649, 7837114650, 7837114651, 7837114652, 7837114653, 7837114654, 7837114655, 7837114643]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3761106 51.5388594, -0.3760812 51.5388501, -0.3760874 51.5388229, -0.3761269 51.5388039, -0.3761902 51.5387971, -0.3763153 51.5387734, -0.3763996 51.5387525, -0.376459 51.5387345, -0.3765014 51.5387056, -0.3765066 51.5386637, -0.3764832 51.5386403, -0.3765684 51.5386229, -0.3765967 51.5386728, -0.3765599 51.5387077, -0.3764907 51.5387583, -0.376381 51.5387987, -0.3762123 51.538824, -0.3761106 51.5388594))",,grassland,,"[2952826881, 7837114656, 7837114657, 7837114658, 7837114659, 7837114660, 7837114661, 7837114662, 7837114663, 7837114664, 7837114665, 7837114666, 7837114667, 2952826885, 2952826884, 2952826883, 2952826882, 2952826881]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3905882 51.5411281, -0.3900507 51.5412197, -0.3900035 51.5412589, -0.3900201 51.5412763, -0.3900549 51.5412724, -0.3906038 51.5411746, -0.3907429 51.5411587, -0.3908313 51.5411858, -0.3908594 51.5411907, -0.3908723 51.5411847, -0.390857 51.5411641, -0.3908171 51.5411531, -0.3907143 51.5411384, -0.3906397 51.5411299, -0.3905882 51.5411281))",,grassland,,"[7851484286, 7851484287, 7851468176, 7851468175, 7851468174, 7851468173, 7851468172, 7851484288, 7851484289, 7851484290, 7851484291, 7851484292, 7851484293, 7851484294, 7851484286]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3764524 51.5262605, -0.3763682 51.5262697, -0.3763074 51.5260653, -0.3762667 51.5258897, -0.3762441 51.5257688, -0.3762215 51.5256213, -0.3764213 51.5255867, -0.376667 51.5257666, -0.3768334 51.5258094, -0.3768789 51.5259035, -0.3779224 51.5260235, -0.3780233 51.5259124, -0.3782314 51.525938, -0.3783789 51.5258334, -0.3788342 51.5258467, -0.3788159 51.5261585, -0.3789665 51.5262579, -0.3789502 51.52638, -0.378684 51.5264608, -0.3776862 51.5265476, -0.3771856 51.5264489, -0.3770029 51.5264629, -0.3770213 51.5263571, -0.3766551 51.526267, -0.3764524 51.5262605))",,grassland,,"[2372186306, 7876361722, 2513409956, 2513409954, 2513409953, 2513409951, 2372186316, 2372186294, 7876389493, 2372186282, 2372186285, 7876389494, 2372186385, 2372186398, 2372186360, 2372186355, 7876389500, 7876389499, 2372186375, 2372186292, 2372186330, 7876389496, 7876389497, 7876389498, 2372186306]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3762215 51.5256213, -0.3762306 51.5254962, -0.3762645 51.5253599, -0.3763164 51.5252475, -0.3763683 51.5251295, -0.37647 51.5250072, -0.3766416 51.5248246, -0.3770753 51.5244311, -0.3773756 51.5241501, -0.3774818 51.5240349, -0.3776648 51.5240644, -0.3772785 51.524545, -0.3770285 51.5247879, -0.3768934 51.5249192, -0.3767 51.5249411, -0.3766112 51.5251805, -0.3764739 51.525286, -0.3764213 51.5255867, -0.3762215 51.5256213))",,grassland,,"[2513409951, 2513409950, 2513409948, 2513409946, 2513409944, 2513409943, 2513409941, 2513409938, 2513409936, 2513409935, 2372186296, 2372186291, 7876361723, 2372186390, 7876389491, 7876389492, 2372186357, 2372186316, 2513409951]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1493046 51.6377409, -0.1494709 51.6378474, -0.1496694 51.6379905, -0.1499913 51.6380838, -0.1502756 51.6380471, -0.1505121 51.638047, -0.1523415 51.6386552, -0.1522194 51.6390156, -0.1512094 51.6398591, -0.1502906 51.6405361, -0.1496498 51.6409349, -0.1488398 51.6409781, -0.1487057 51.6409282, -0.1486628 51.6407667, -0.1485099 51.6406802, -0.1481612 51.6407584, -0.1479144 51.6407384, -0.1478407 51.6407018, -0.1466217 51.639935, -0.1469207 51.6396819, -0.1471728 51.6393931, -0.1473565 51.6392458, -0.1476958 51.6391592, -0.1477991 51.6390818, -0.147783 51.6390011, -0.1476261 51.6389628, -0.1473847 51.6389753, -0.1469582 51.639086, -0.1466699 51.639175, -0.1466002 51.6391053, -0.1468564 51.6390487, -0.146961 51.6389838, -0.1481808 51.6383434, -0.1484812 51.6382885, -0.1487011 51.6382086, -0.1490686 51.6379939, -0.1493046 51.6377409))",,grassland,,"[3955302588, 3955308328, 3955308332, 3955308327, 3955308329, 5012498076, 7878369367, 7878369360, 7902955974, 7878369357, 7878369356, 7878369355, 7878369354, 7878369353, 7878369352, 7878369351, 7878369350, 7876096223, 7878369322, 7878369321, 7878369320, 7878369319, 7878369318, 7878369317, 7878369316, 7878369315, 7878369314, 7878369313, 7878369337, 7876646681, 7876646682, 7876646683, 3955302638, 3955302639, 3955302630, 3955302640, 3955302588]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.4670331 51.5395528, -0.4669822 51.5398687, -0.4667758 51.5401054, -0.4666854 51.5401519, -0.4668862 51.5402424, -0.4666265 51.5406415, -0.4667403 51.5407367, -0.4666995 51.5412985, -0.4669421 51.5416108, -0.4675993 51.5417209, -0.4681128 51.5416034, -0.4688174 51.541626, -0.4690118 51.5416336, -0.4690435 51.5415822, -0.4689135 51.5415257, -0.4684742 51.541406, -0.4681394 51.5414008, -0.4676923 51.5414458, -0.4671344 51.5415058, -0.4669643 51.5411766, -0.4675416 51.5410575, -0.4675653 51.5408447, -0.4675306 51.5405726, -0.4674764 51.5401476, -0.4673196 51.5399981, -0.4671301 51.5397789, -0.4670331 51.5395528))",,grassland,,"[249179794, 7730766237, 7730766236, 7389854286, 249176622, 249176623, 1775481499, 1775481494, 7881476024, 249174367, 7881476031, 7881476032, 7881476033, 7881476034, 7832524383, 7832524382, 7832524381, 3793096817, 3793096818, 7881476025, 7881476026, 7881476027, 8026549612, 7881476028, 7881476029, 7881476030, 249179794]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3817845 51.5281521, -0.3821917 51.5282155, -0.382407 51.5282689, -0.3824592 51.5282669, -0.3825061 51.5282426, -0.3825686 51.5281804, -0.3824843 51.5280919, -0.3824038 51.5281043, -0.38239 51.5280438, -0.3824094 51.5280303, -0.3824562 51.5279988, -0.3824562 51.5279552, -0.3823717 51.5278357, -0.3823742 51.5277964, -0.3822708 51.5278103, -0.3822086 51.5277855, -0.3821862 51.5276971, -0.3821338 51.5276687, -0.382048 51.5276934, -0.3820098 51.5276162, -0.3820424 51.5275747, -0.3819707 51.5274899, -0.3820096 51.527415, -0.3819086 51.5273641, -0.3819186 51.5272924, -0.3820076 51.5272304, -0.3819556 51.5272073, -0.3817839 51.5271431, -0.3816051 51.5271996, -0.3813679 51.5271886, -0.3815183 51.5271305, -0.3813542 51.5270574, -0.3815216 51.5270621, -0.3815054 51.5269933, -0.3816725 51.5269887, -0.3818502 51.5268811, -0.3819678 51.5267659, -0.3819553 51.5266737, -0.381923 51.5266121, -0.3818085 51.5265817, -0.3813356 51.5266099, -0.3810324 51.5266449, -0.3809595 51.5266796, -0.3808916 51.5266551, -0.3804736 51.5266953, -0.3804009 51.5265986, -0.3802501 51.5265558, -0.3799887 51.5265969, -0.3796606 51.5266175, -0.3795116 51.5266765, -0.3793545 51.5266529, -0.3784833 51.526697, -0.3786645 51.5269144, -0.3789916 51.5270103, -0.379203 51.5271499, -0.3793443 51.5273377, -0.3793849 51.5274885, -0.3793768 51.5276242, -0.3793673 51.5277054, -0.3793005 51.5278182, -0.3793633 51.5278967, -0.3794085 51.5278581, -0.3795147 51.5278335, -0.3795894 51.5278464, -0.3796448 51.5278086, -0.3797581 51.5278102, -0.3798769 51.5277806, -0.3799342 51.5278183, -0.3800212 51.5278046, -0.3801572 51.5279086, -0.3799248 51.5279649, -0.3803076 51.5279798, -0.3803886 51.5280131, -0.3807126 51.5279756, -0.3808092 51.5279342, -0.3808921 51.5279394, -0.3809797 51.5279122, -0.3810954 51.5279319, -0.3812432 51.527939, -0.3813976 51.5279627, -0.3814072 51.5279103, -0.3814701 51.5278022, -0.381525 51.5278627, -0.3815006 51.5279044, -0.3815945 51.527908, -0.381589 51.5279378, -0.381638 51.5279937, -0.3817054 51.5279963, -0.3817735 51.5280625, -0.3817845 51.5281521))",,grassland,,"[7883632573, 7883632574, 7883632575, 7883627396, 7883627477, 7883627476, 7883627475, 7883627474, 7883627473, 7883627472, 7883627471, 7883627470, 7883632411, 7883632412, 7883632413, 7883632414, 7883632415, 7883632416, 7883632417, 7883632418, 7883632419, 7883632420, 7883632421, 7883632422, 7883632423, 7883632424, 7883632425, 7883632426, 7883632449, 7883632448, 7883632447, 7883632446, 7883632445, 7883632444, 7883632433, 7883632434, 7883632435, 7883632436, 7883632437, 7883632438, 7883632439, 7883632440, 7883632441, 7883632442, 7883632443, 7883632389, 7883632390, 7883632391, 7883632392, 7883632393, 7883632394, 7883632576, 7883632486, 7883632485, 7883632484, 7883632483, 7883632482, 7883632481, 7883632480, 7883632479, 7883632450, 7883632467, 7883632466, 7883632465, 7883632464, 7883632463, 7883632462, 7883632461, 7883632460, 7883632459, 7883632458, 3218924468, 7883632474, 7883632473, 7883632472, 7883632471, 7883632470, 7883632469, 7883632468, 7834427569, 7883632577, 7883632578, 7883632579, 7883632580, 7883632581, 7883632582, 7883632583, 7883632584, 7883632585, 7883632573]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3774528 51.5268476, -0.3773964 51.5267912, -0.3773213 51.5267928, -0.3772856 51.526827, -0.3771509 51.5268266, -0.3769822 51.5268468, -0.3769309 51.5269086, -0.3769569 51.5270068, -0.3768131 51.5270689, -0.37699 51.5272534, -0.3771815 51.5273416, -0.3772808 51.5274235, -0.3773364 51.5273577, -0.3770193 51.527237, -0.3769773 51.5271363, -0.3769969 51.5270261, -0.3773052 51.5268577, -0.3774528 51.5268476))",,grassland,,"[7883976775, 7883976774, 7883976780, 2372186340, 7883976781, 7883976782, 2372186334, 7883976783, 7883976784, 7883979630, 7883979619, 7883979620, 7883632495, 7883976779, 7883976778, 7883976777, 7883976776, 7883976775]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3772758 51.5275287, -0.3772744 51.5274642, -0.3772808 51.5274235, -0.3770752 51.5274082, -0.3771722 51.5274885, -0.3771428 51.527513, -0.3771629 51.5275386, -0.3772469 51.5276545, -0.3774247 51.5276477, -0.3773907 51.5276335, -0.3773659 51.5275765, -0.3772758 51.5275287))",,grassland,,"[7883979634, 7883979635, 7883979620, 7883979621, 7883979622, 7883979623, 7883979624, 7883979625, 7883632500, 7883979632, 7883979633, 7883979634]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3769405 51.5280503, -0.3771108 51.5280504, -0.3771561 51.5280054, -0.3774561 51.5279426, -0.3775572 51.5280306, -0.3776898 51.5279599, -0.3776722 51.527919, -0.3775702 51.527867, -0.3774247 51.5276477, -0.3772469 51.5276545, -0.3772442 51.5277374, -0.3771517 51.5277658, -0.3772121 51.527844, -0.3771991 51.5279103, -0.377125 51.5279375, -0.3769405 51.5280503))",,grassland,,"[7883979615, 7883979611, 7883979610, 7883979609, 7883979613, 7883632503, 7883632502, 7883632501, 7883632500, 7883979625, 7883979626, 7883979627, 7883979628, 7883979629, 7883979614, 7883979615]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3779898 51.5282473, -0.3778247 51.5282144, -0.3775817 51.528185, -0.3773774 51.5281853, -0.3771987 51.5282111, -0.3770274 51.5282701, -0.3769405 51.5280503, -0.3771108 51.5280504, -0.377199 51.5280715, -0.3775572 51.5280306, -0.3776898 51.5279599, -0.3778865 51.5280357, -0.3780309 51.5281206, -0.3781581 51.5281698, -0.378111 51.5281967, -0.377978 51.5281952, -0.3779898 51.5282473))",,grassland,,"[7883632509, 7883979636, 7883979637, 7883979638, 7883979639, 7883979640, 7883979615, 7883979611, 7883979612, 7883979613, 7883632503, 7883632504, 7883632505, 7883632506, 7883632507, 7883632508, 7883632509]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3371328 51.4482038, -0.337574 51.4480341, -0.3377899 51.4479054, -0.3381131 51.4476438, -0.3382593 51.4474909, -0.3383277 51.4473914, -0.3383734 51.4474216, -0.3381853 51.4477846, -0.3380508 51.44801, -0.3379355 51.4481225, -0.3371328 51.4482038))",,grassland,,"[7905435378, 7905435379, 7905435380, 7905435381, 7905435382, 7905435383, 8323129724, 7905435384, 7905435385, 7905435386, 7905435378]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3650368 51.5196451, -0.3649605 51.5197376, -0.3651557 51.5197963, -0.3651402 51.519818, -0.3651273 51.51981, -0.3651001 51.5198373, -0.3651156 51.5198406, -0.3649631 51.5200295, -0.3648623 51.5200038, -0.3648001 51.5200711, -0.3649194 51.5201154, -0.365319 51.5196804, -0.3652288 51.5196691, -0.3650368 51.5196451))",,grassland,,"[7931745277, 7931745278, 7931745279, 7931745280, 7931745281, 7931745282, 7931745283, 7931745284, 7931745285, 7931745286, 444768729, 7931744985, 7931745306, 7931745277]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3647865 51.5199596, -0.3647392 51.5200484, -0.3646622 51.5200198, -0.3647351 51.5199425, -0.3647865 51.5199596))",,grassland,,"[7931745287, 7931745288, 7931745289, 7931745290, 7931745287]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3649733 51.5196176, -0.3649196 51.5197004, -0.3648251 51.5196722, -0.3647587 51.5197583, -0.3646087 51.5197132, -0.3645655 51.5196981, -0.3644501 51.5197976, -0.3643451 51.5199021, -0.3642798 51.5198792, -0.3646214 51.5195044, -0.3649733 51.5196176))",,grassland,,"[7931745225, 7931745291, 7931745275, 7931745274, 7931745292, 7931745293, 2315871519, 7931745294, 7931745295, 7931745272, 7931745225]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3654965 51.519602, -0.3654673 51.5195987, -0.3654431 51.5196155, -0.3654103 51.5196173, -0.3653376 51.5195933, -0.3653318 51.5195658, -0.3653145 51.5195538, -0.3652288 51.5196691, -0.365319 51.5196804, -0.3653622 51.5196842, -0.3654215 51.5196963, -0.3654965 51.519602))",,grassland,,"[7931745397, 7931745398, 7931745399, 7931745400, 7931745401, 7931745402, 7931745403, 7931745306, 7931744985, 444768762, 7931745303, 7931745397]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.3653145 51.5195538, -0.3652278 51.519572, -0.3651679 51.5195729, -0.3650495 51.5196253, -0.3650263 51.5196416, -0.3652288 51.5196691, -0.3653145 51.5195538))",,grassland,,"[7931745403, 7931745404, 7931745405, 7931745406, 7931745407, 7931745306, 7931745403]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.2601609 51.4381377, -0.260354 51.4381852, -0.2604256 51.4381959, -0.260905 51.4381338, -0.2611074 51.4380746, -0.261263 51.4380591, -0.2613689 51.438028, -0.261523 51.4380028, -0.2616974 51.4380251, -0.2618032 51.4380436, -0.2619558 51.4380242, -0.2620165 51.4379718, -0.2620741 51.4378922, -0.2621519 51.4378641, -0.2622328 51.4378049, -0.2623714 51.4378058, -0.2625924 51.4377505, -0.2626625 51.4377263, -0.2626578 51.4376447, -0.2624757 51.4375613, -0.2624181 51.4374914, -0.2623589 51.437408, -0.2622344 51.4373827, -0.2621457 51.4373614, -0.2619013 51.4374148, -0.2618032 51.4374148, -0.2617254 51.4373682, -0.2615915 51.4373973, -0.2615261 51.4374487, -0.261467 51.4374526, -0.2614249 51.4374109, -0.261372 51.4373643, -0.2612615 51.4373468, -0.2611728 51.4373391, -0.261112 51.4373924, -0.2612475 51.4374439, -0.2612724 51.4374778, -0.2611821 51.4374711, -0.2611012 51.437473, -0.261042 51.437474, -0.2609735 51.4374284, -0.2609268 51.4373721, -0.2607945 51.4373381, -0.2606357 51.4373158, -0.2605205 51.4373051, -0.2604256 51.4373381, -0.2603866 51.437376, -0.2603835 51.4374148, -0.2603648 51.4374759, -0.26041 51.4375302, -0.2604614 51.4375526, -0.2605999 51.4375623, -0.2607151 51.4375836, -0.2607089 51.4376302, -0.2605579 51.4376593, -0.2603026 51.4376758, -0.2602341 51.4376642, -0.2601469 51.4376981, -0.2601438 51.4377515, -0.260066 51.4377641, -0.2600271 51.4377301, -0.2599881 51.4376758, -0.2598231 51.437668, -0.2597437 51.4376709, -0.2596675 51.4376981, -0.2596379 51.4377379, -0.2596581 51.4378223, -0.2596659 51.4378738, -0.2596846 51.4379951, -0.2597842 51.4380494, -0.2601609 51.4381377))",,grassland,,"[7970388520, 7970388521, 7970388522, 7970388523, 7970388524, 7970388525, 7970388526, 7970388527, 7970388528, 7970388529, 7970388530, 7970388531, 7970388532, 7970388533, 7970388534, 7970388535, 7970388536, 7970388537, 7970388538, 7970388539, 7970388540, 7970388541, 7970388542, 7970388543, 7970388544, 7970388545, 7970388546, 7970388547, 7970388548, 7970388549, 7970388550, 7970388551, 7970388552, 7970388553, 7970388554, 7970388555, 7970388556, 7970388557, 7970388558, 7970388559, 7970388560, 7970388561, 7970388562, 7970388563, 7970388564, 7970388565, 7970388566, 7970388567, 7970388568, 7970388569, 7970388570, 7970388571, 7970388572, 7970388573, 7970388574, 7970388575, 7970388576, 7970388577, 7970388578, 7970388579, 7970388580, 7970388581, 7970388582, 7970388583, 7970388584, 7970454485, 7970454486, 7970454487, 7970454488, 7970454489, 7970388520]",,,,,,,,,,,,,,,,,,bracken,Pteridium aquilinum,,,,,,,
"POLYGON ((-0.2598153 51.4382871, -0.2598231 51.4382221, -0.2597889 51.4381726, -0.2596799 51.4381183, -0.2596083 51.4380892, -0.2595102 51.4380824, -0.2593733 51.4380911, -0.2592876 51.4381125, -0.259283 51.4381697, -0.2592767 51.4382241, -0.259283 51.4382551, -0.2593655 51.4383259, -0.2594526 51.4383696, -0.2595196 51.4383793, -0.2596083 51.4383541, -0.2596846 51.4383415, -0.2597749 51.4383337, -0.2598153 51.4382871))",,grassland,,"[7970454490, 7970454491, 7970454492, 7970454493, 7970454494, 7970454495, 7970454496, 7970454497, 7970454498, 7970454499, 7970454500, 7970454501, 7970454502, 7970454503, 7970454504, 7970454505, 7970454506, 7970454490]",,,,,,,,,,,,,,,,,,bracken,Pteridium aquilinum,,,,,,,
"POLYGON ((-0.2592443 51.4386269, -0.259297 51.4386149, -0.2593382 51.4386233, -0.2593698 51.4386161, -0.2594215 51.4385498, -0.2594196 51.4384805, -0.2593937 51.4384333, -0.2593334 51.4384172, -0.2592682 51.438419, -0.2592299 51.4384196, -0.2591456 51.4384041, -0.2591312 51.4383628, -0.2590938 51.4383802, -0.2590651 51.4383425, -0.2590421 51.4383049, -0.2589932 51.4382828, -0.2589587 51.4382709, -0.2589338 51.4383252, -0.2589137 51.4383551, -0.2588581 51.4383873, -0.2587948 51.4384745, -0.2587383 51.438505, -0.2586664 51.4385188, -0.2586319 51.4385319, -0.2587508 51.43864, -0.2588389 51.4386185, -0.258974 51.4386299, -0.2590478 51.4386496, -0.2591638 51.4386872, -0.2591647 51.4386316, -0.2592443 51.4386269))",,grassland,,"[7970454507, 7970454508, 7970454509, 7970454510, 7970454511, 7970454512, 7970454513, 7970454514, 7970454515, 7970454516, 7970454517, 7970454518, 7970454519, 7970454520, 7970454521, 7970454522, 7970454523, 7970454524, 7970454525, 7970454526, 7970454527, 7970454528, 7970454529, 7970454530, 7970454531, 7970454532, 7970454533, 7970454534, 7970454535, 7970454536, 7970454507]",,,,,,,,,,,,,,,,,,bracken,Pteridium aquilinum,,,,,,,
