geometry,name,natural,source,nodes,operator,website,boundary,landcover,leisure,protection_title,url,surface,source:name,wikipedia,landuse,source:alt,managed,planting,building:levels,area,description,grassland,species,official_name,addr:city,addr:housename,addr:street,ways,type,wikidata
"POLYGON ((-0.4574031 51.5548622, -0.4585103 51.5552304, -0.4592252 51.5539987, -0.4591721 51.5540006, -0.4588451 51.5540884, -0.4585361 51.5541738, -0.4581327 51.5542485, -0.4578838 51.5543552, -0.4575834 51.5545153, -0.457446 51.5546861, -0.4574031 51.5548622))",,grassland,,"[293802221, 293802195, 293802196, 293802610, 293802223, 293802224, 293802609, 293802226, 293802259, 293802614, 293802221]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.4553346 51.5541311, -0.4574031 51.5548622, -0.457446 51.5546861, -0.4575834 51.5545153, -0.4578838 51.5543552, -0.4579095 51.5540457, -0.4556264 51.5535974, -0.4553346 51.5541311))",,grassland,,"[293802257, 293802221, 293802614, 293802259, 293802226, 293802339, 293802262, 293802257]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.4523139 51.5531174, -0.4553346 51.5541311, -0.4556264 51.5535974, -0.4525898 51.5530234, -0.4523139 51.5531174))",,grassland,,"[293802289, 293802257, 293802262, 293802290, 293802289]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.4586478 51.5511611, -0.4525898 51.5530234, -0.4556264 51.5535974, -0.4579095 51.5540457, -0.4583367 51.5524044, -0.4586478 51.5511611))",,grassland,,"[293802337, 293802290, 293802262, 293802339, 336062553, 293802337]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.4664926 51.5519216, -0.4643546 51.551788, -0.4645356 51.5513238, -0.4650234 51.5500307, -0.4667611 51.5501427, -0.4667926 51.5502931, -0.4664926 51.5519216))",,grassland,,"[293803320, 293803321, 293802348, 293802486, 293803322, 1678595830, 293803320]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.4586478 51.5511611, -0.4583367 51.5524044, -0.4579095 51.5540457, -0.4578838 51.5543552, -0.4581327 51.5542485, -0.4585361 51.5541738, -0.4588451 51.5540884, -0.4591721 51.5540006, -0.4592252 51.5539987, -0.4594631 51.5540136, -0.459712 51.5538535, -0.4598235 51.5535333, -0.4605874 51.551041, -0.459815 51.5509983, -0.4598235 51.5508168, -0.4586478 51.5511611))",,grassland,,"[293802337, 336062553, 293802339, 293802226, 293802609, 293802224, 293802223, 293802610, 293802196, 293802197, 293802611, 293802199, 293802483, 293802482, 293802481, 293802337]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.4342416 51.5128318, -0.434021 51.5127221, -0.4338433 51.512599, -0.4335894 51.5123225, -0.4334589 51.512081, -0.4333852 51.5114964, -0.4333257 51.510685, -0.4333024 51.5103674, -0.4332467 51.5100225, -0.4333195 51.5100086, -0.4333817 51.5100181, -0.433522 51.5100671, -0.4337597 51.5101718, -0.4339822 51.5102681, -0.4346326 51.510595, -0.4347358 51.5106749, -0.4347346 51.510725, -0.4347036 51.5120363, -0.4346736 51.5122574, -0.4346606 51.5123528, -0.4346066 51.5125448, -0.4345151 51.5127434, -0.434428 51.5127826, -0.4342416 51.5128318))",,grassland,yahoo,"[444524738, 8410516228, 444524739, 8410516227, 444524740, 444524741, 8556579192, 444524742, 8410516235, 8410516238, 8410516237, 8410516236, 444524743, 8410516233, 8410516234, 444524744, 8556579183, 8410516232, 8556579193, 444524745, 8410516230, 444524746, 8410516229, 444524738]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((0.0515164 51.4774689, 0.0514808 51.4774788, 0.0514667 51.477459, 0.0513259 51.4772619, 0.0513898 51.4772442, 0.0514047 51.4772401, 0.0513764 51.4772005, 0.0518505 51.4770691, 0.0518788 51.4771087, 0.0519421 51.4770912, 0.0522375 51.4775047, 0.0522743 51.4775561, 0.0525728 51.477974, 0.0525087 51.4779917, 0.0525633 51.4780682, 0.052504 51.4780846, 0.0522202 51.4781633, 0.0521965 51.4781739, 0.0521808 51.4781892, 0.0521797 51.4781929, 0.0521753 51.4782077, 0.0521815 51.478226, 0.0521896 51.4782374, 0.0522251 51.478287, 0.0521947 51.4782954, 0.0522098 51.478317, 0.0520389 51.4783615, 0.052112 51.4784684, 0.0521395 51.4784939, 0.0521851 51.4785118, 0.0522245 51.47852, 0.0524256 51.4788244, 0.0543508 51.4782313, 0.0543143 51.47816, 0.0542033 51.4781222, 0.0541589 51.478096, 0.0541286 51.4780675, 0.0540995 51.4780281, 0.0540599 51.47799, 0.0540056 51.4779555, 0.053907 51.47791, 0.0537354 51.4778115, 0.0536737 51.4777635, 0.053618 51.4777369, 0.0535541 51.4777327, 0.0534752 51.4777463, 0.053395 51.4777405, 0.0533239 51.477725, 0.0532564 51.4777036, 0.053221 51.4776821, 0.0531879 51.4776591, 0.0531549 51.4776339, 0.0531265 51.4776043, 0.0531061 51.477563, 0.0530938 51.4775217, 0.0530755 51.477454, 0.0530518 51.4773835, 0.0530163 51.477301, 0.0530086 51.4772419, 0.0530093 51.4771946, 0.0530273 51.4771432, 0.053071 51.4770861, 0.0530953 51.4770692, 0.0531338 51.4770613, 0.0531775 51.4770647, 0.0532928 51.4770981, 0.0533522 51.4771085, 0.0534153 51.4771048, 0.0534582 51.4770884, 0.0534817 51.4770639, 0.0534886 51.4770363, 0.0534762 51.4770038, 0.0534474 51.4769735, 0.0533816 51.4769283, 0.0533161 51.4768804, 0.0532658 51.4768429, 0.0532405 51.4768054, 0.0531971 51.4767721, 0.0531116 51.4767276, 0.053023 51.4766939, 0.0529546 51.4766751, 0.0528704 51.4766446, 0.0527981 51.4766127, 0.0527331 51.4765963, 0.052668 51.4765903, 0.0526217 51.476594, 0.0525449 51.4766233, 0.0524553 51.4766573, 0.0524109 51.4766816, 0.0523752 51.4767177, 0.0523454 51.4767625, 0.052327 51.4767938, 0.0522966 51.4768184, 0.0522387 51.4768367, 0.0521407 51.4768533, 0.0520307 51.476864, 0.0518982 51.4768665, 0.0517776 51.4768631, 0.0516542 51.4768545, 0.0515436 51.4768443, 0.0514628 51.4768371, 0.0513876 51.4768226, 0.0513446 51.4768067, 0.0513158 51.4767778, 0.051161 51.4768189, 0.0510851 51.4770347, 0.051081 51.4770557, 0.0510859 51.4770762, 0.0514024 51.4774979, 0.0514211 51.4775056, 0.0514445 51.477508, 0.051469 51.477508, 0.0514867 51.4775059, 0.0514993 51.4775037, 0.0515128 51.477498, 0.0515211 51.4774892, 0.0515225 51.4774787, 0.0515164 51.4774689))",,grassland,,"[9362998401, 9363000950, 9363000874, 9363000954, 9363000885, 9363000953, 9363000956, 9363000957, 9363000952, 9363000951, 9363000935, 9363000934, 9363000933, 9363000932, 9363000958, 9363000612, 9363000928, 9363000926, 9363000929, 9363000598, 9363000927, 9363000601, 9363000600, 9363000936, 9363000602, 9362998414, 9362998413, 9362998412, 9362998411, 9362998410, 9362998415, 633582584, 633582625, 7501052436, 9364525632, 9363000533, 9364525631, 9364525630, 9363000532, 9364525629, 9363000531, 9363000530, 9364524092, 9363000529, 9364524091, 9363000528, 9364524093, 9364524094, 9363000527, 9364525628, 9364524095, 9364525627, 9363000526, 9364525626, 9364524096, 9363000534, 9364524099, 9363000524, 9364524098, 9364524097, 9363000525, 9363000523, 9364524106, 9364524105, 9362998416, 9363000522, 9364524100, 9364524101, 9363000517, 9364524102, 9363000518, 9364524103, 9364524104, 9363000519, 9363000520, 9364524110, 9364524109, 9364524108, 9363000521, 9364524107, 633582628, 9364524112, 7501052435, 9364524111, 7501052434, 9364524113, 9364524114, 9364524115, 9363000540, 9364524116, 9364525617, 9364525618, 9363000539, 9364525619, 9364525620, 9363000538, 9364525621, 9363000537, 9364525622, 9364525623, 9363000536, 9364525625, 9364525624, 7501052433, 633582631, 9362998409, 9362998408, 633574609, 9362998398, 9362998403, 9362998404, 9362998405, 9362998402, 9362998407, 9362998400, 9362998406, 9362998399, 9362998401]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((0.1153568 51.585105, 0.1147572 51.58484, 0.1143065 51.5846933, 0.1134697 51.5844, 0.1133624 51.58424, 0.1116076 51.5836257, 0.1103631 51.582639, 0.1095692 51.5823857, 0.108935 51.5822363, 0.1088608 51.582836, 0.1065593 51.5834911, 0.1053566 51.5828176, 0.1040648 51.5834265, 0.1017187 51.5838325, 0.1018826 51.5846, 0.1029554 51.5844, 0.1036635 51.5859199, 0.1038996 51.5867999, 0.1027838 51.5867199, 0.1040069 51.588813, 0.1175467 51.588613, 0.1175037 51.5859866, 0.1157442 51.5858533, 0.1157228 51.58556, 0.1153568 51.585105))",,grassland,,"[747066815, 747066816, 747066818, 747066820, 747066822, 25735405, 25735404, 25735403, 248122203, 248122202, 248122201, 248122200, 248122199, 248122198, 747066823, 747066824, 747066735, 747066731, 747066826, 747066829, 747066830, 747066832, 747066738, 747066834, 747066815]",,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.0434877 51.3984983, -0.0435731 51.3983823, -0.0435974 51.3983494, -0.0436365 51.3983299, -0.0436451 51.3983256, -0.0436976 51.3983197, -0.0437501 51.3983227, -0.0438025 51.3983465, -0.043898 51.398403, -0.0441031 51.3985191, -0.0442605 51.3985965, -0.0443034 51.3986292, -0.0443225 51.3986739, -0.0443184 51.3986893, -0.044313 51.3987096, -0.044308 51.3987165, -0.0442891 51.3987423, -0.0442462 51.3987691, -0.044146 51.3988048, -0.0439838 51.3988584, -0.0435259 51.399025, -0.0434848 51.399036, -0.0433923 51.3990608, -0.0433255 51.3990667, -0.0432635 51.3990637, -0.0432062 51.3990459, -0.0431633 51.3990221, -0.0431442 51.3989864, -0.0431442 51.3989387, -0.0431633 51.3988911, -0.0432012 51.3988451, -0.0433303 51.3986887, -0.0434257 51.3985727, -0.0434877 51.3984983))",Elmers End Green,grassland,yahoo (2006/8),"[792051135, 7942166815, 792051184, 7942166807, 792051171, 792051158, 792051173, 792051160, 792051147, 792051131, 792051143, 792051156, 792051169, 7942166803, 792051210, 7942166808, 792051223, 792051235, 792051119, 792051233, 792051117, 7942166816, 792051129, 792051141, 792051182, 792051195, 792051208, 792051221, 792051186, 792051199, 7942166820, 792051212, 792051225, 792051135]",,,,,,,,,other_ways,,,,,,,,,,,,,,,,,
