geometry,barrier,foot,source,name,access,note,ref,operator,natural,landuse,nodes,leisure,wikidata,wikipedia,addr:city,managed,contact:website,source:landuse,meadow,surface,boundary,protection_title,website,fixme,crop,source:name,landcover,name:en,abandoned:leisure,dog,fence_type,area,attraction,description,tourism,zoo,ways,type,operator:wikidata
"POLYGON ((-0.1683975 51.6409903, -0.1683466 51.6409243, -0.168368 51.6409179, -0.1683219 51.6408582, -0.1683001 51.6408647, -0.1682724 51.6408289, -0.1682636 51.6408173, -0.1682794 51.6408127, -0.1682362 51.6407563, -0.1683304 51.6407274, -0.1683607 51.6407622, -0.1684217 51.6407431, -0.1683678 51.6406689, -0.1682946 51.64069, -0.1682878 51.6406811, -0.1681907 51.6407098, -0.1681826 51.6406993, -0.1681094 51.640721, -0.1680655 51.6406637, -0.1677039 51.6407708, -0.1677256 51.640799, -0.1678754 51.6407546, -0.1679035 51.6407912, -0.1679217 51.6407858, -0.1679529 51.6408263, -0.167931 51.6408328, -0.1680827 51.6410295, -0.1680326 51.6410444, -0.1680427 51.6410575, -0.1683416 51.6409687, -0.1683655 51.6409998, -0.1683975 51.6409903))",,,,,,,,,,meadow,"[1703336071, 1703336141, 1703336110, 1703336127, 1703336074, 1703320051, 1703336090, 1703336087, 1703336052, 1703336144, 1703336068, 1703380692, 1703336048, 1703336109, 1703336067, 1703336037, 1703336065, 1703336066, 1703336153, 1703336114, 1703336155, 1703336166, 1703336039, 1703336133, 1703336163, 1703336175, 1703336159, 1703336136, 1703336104, 1703336120, 1703336157, 1703336071]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1676508 51.6407379, -0.167584 51.6407584, -0.1677714 51.6409941, -0.1678267 51.6409771, -0.1679189 51.6410931, -0.1679666 51.6410785, -0.1679544 51.6410632, -0.1679267 51.6410717, -0.1678584 51.6409858, -0.1678445 51.6409901, -0.1678099 51.6409483, -0.1678321 51.6409384, -0.1677256 51.640799, -0.1677039 51.6407708, -0.1676829 51.6407783, -0.1676508 51.6407379))",,,,,,,,,,meadow,"[1703320058, 1703336147, 1703336064, 1703336056, 1703336046, 1703336047, 1703336168, 1703336172, 1703336091, 1703336118, 1703320081, 1703336054, 1703336155, 1703336114, 1703320048, 1703320058]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1681395 51.641826, -0.1680872 51.6417611, -0.1680308 51.6417802, -0.1680684 51.641821, -0.1680952 51.6418302, -0.1681395 51.641826))",,,,,,,,,,meadow,"[1703346757, 1703346699, 1703346684, 1703346688, 1703346714, 1703346757]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1683232 51.6419051, -0.1682119 51.6419359, -0.1682937 51.642054, -0.1683473 51.642069, -0.1684332 51.6420882, -0.1686625 51.6423828, -0.1687228 51.6423986, -0.1687966 51.6423845, -0.1688784 51.6423678, -0.1689924 51.6423778, -0.1691622 51.6424199, -0.1692889 51.6423869, -0.1692704 51.6421793, -0.1692082 51.6421549, -0.1691848 51.6420955, -0.1692012 51.6420698, -0.1691825 51.6420752, -0.1689133 51.6421539, -0.1690142 51.6422889, -0.1688289 51.6423437, -0.1687953 51.6423012, -0.1687255 51.6423212, -0.1685887 51.6421439, -0.1686598 51.6421198, -0.168637 51.642094, -0.1685163 51.642064, -0.168468 51.6420482, -0.1684305 51.6420249, -0.1683929 51.64199, -0.1683648 51.6419517, -0.1683232 51.6419051))",,,,,,,,,,meadow,"[1703346698, 1703346696, 1703346686, 1703346728, 1703346721, 1703346701, 1703346677, 1703346705, 1703346682, 1703346726, 1701698461, 587645196, 1701698501, 1701698485, 1701698505, 1703346718, 1703371430, 1703316446, 1703316485, 1703316476, 1703316493, 1703316463, 1703316477, 1703316444, 1703316509, 1703316511, 1703346708, 1703346763, 1703346679, 1703346730, 1703346698]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1687368 51.641343, -0.1686544 51.6413566, -0.1685901 51.6413591, -0.1685203 51.6413766, -0.1684381 51.6412504, -0.1682212 51.6413041, -0.1684063 51.641543, -0.1683514 51.6415597, -0.1683594 51.6415713, -0.168527 51.6415206, -0.1684975 51.641484, -0.1686598 51.6414365, -0.1687349 51.6415339, -0.168688 51.641548, -0.1686907 51.641558, -0.1686316 51.6415738, -0.1686196 51.6415655, -0.1685901 51.641573, -0.1686196 51.6416105, -0.1685713 51.6416263, -0.1685874 51.6416462, -0.1689295 51.6415532, -0.1689669 51.641543, -0.1688288 51.6413158, -0.1687995 51.6413245, -0.1687368 51.641343))",,,,,,,,,,meadow,"[1703357491, 1703357417, 1703357554, 1703357421, 1703336069, 1703357618, 1703357545, 1703357457, 1703357611, 1703357498, 1703357550, 1703357389, 1703357448, 1703357607, 1703357386, 1703357538, 1703357511, 1703357484, 1703357452, 1703357502, 1703357441, 1703371448, 1703357604, 1703357403, 1703380710, 1703357491]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1687984 51.6419894, -0.1687609 51.642, -0.1686837 51.6418954, -0.168724 51.6418839, -0.1687619 51.6419353, -0.1687435 51.6419405, -0.1687678 51.6419735, -0.1687834 51.6419691, -0.1687984 51.6419894))",,,,,,,,,,meadow,"[1703371299, 1703371188, 1703371384, 1703371200, 1703371182, 1703371148, 1703371092, 1703371091, 1703371299]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1687483 51.6420049, -0.168688 51.6419259, -0.1685767 51.6419558, -0.1685827 51.6419667, -0.1685686 51.6419708, -0.1685807 51.6419858, -0.1687483 51.6420049))",,,,,,,,,,meadow,"[1703371360, 1703371506, 1703371388, 1703371456, 1703371351, 1703371428, 1703371360]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1674045 51.6396787, -0.1672248 51.6397362, -0.167139 51.6397403, -0.167088 51.6397303, -0.1670733 51.6397703, -0.1670384 51.6397803, -0.1671108 51.639876, -0.1670236 51.6399034, -0.1668965 51.6399443, -0.1668238 51.6400408, -0.1669557 51.6401549, -0.1670009 51.6401415, -0.1669928 51.6401323, -0.1670451 51.6401165, -0.1669781 51.6400341, -0.1671511 51.6399817, -0.1671135 51.6399276, -0.1672798 51.6398793, -0.1672248 51.6398086, -0.1673871 51.6397603, -0.1674501 51.6398469, -0.1674622 51.6398452, -0.1674716 51.6397994, -0.1674555 51.6397545, -0.1674045 51.6396787))",,,,,,,,,,meadow,"[1703371345, 1703371357, 1703371143, 1703371359, 1703371237, 1703371124, 1703371296, 1703285564, 1703285561, 1703371339, 1703285537, 1703285538, 1703371086, 1703371242, 1703371481, 1703371081, 1703371342, 1703371395, 1703371308, 1703371230, 1703371239, 1703371244, 1703371502, 1703371381, 1703371345]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1689669 51.641543, -0.1692462 51.6419992, -0.1692012 51.6420698, -0.1691825 51.6420752, -0.1691748 51.6420557, -0.1692016 51.6420457, -0.1691372 51.6419484, -0.1691118 51.6419567, -0.1690983 51.6419367, -0.1689253 51.64199, -0.1689106 51.6419725, -0.1689602 51.6419567, -0.1688207 51.6417669, -0.1688382 51.6417636, -0.1688261 51.6417494, -0.1689307 51.6417195, -0.1689361 51.6417286, -0.1690139 51.641712, -0.1689295 51.6415532, -0.1689669 51.641543))",,,,,,,,,,meadow,"[1703357604, 1703371130, 1703346718, 1703371430, 1703371441, 1703371491, 1703371301, 1703371287, 1703371449, 1703371354, 1703371196, 1703371232, 1703371198, 1703371450, 1703371245, 1703371193, 1703371138, 1703371391, 1703371448, 1703357604]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1685874 51.6416462, -0.1686001 51.6416604, -0.1683828 51.6417263, -0.168413 51.6417646, -0.1683795 51.6417819, -0.1683318 51.6417185, -0.1682899 51.6417306, -0.1682749 51.6417099, -0.1685222 51.6416365, -0.1685303 51.6416412, -0.1685668 51.6416313, -0.1685713 51.6416263, -0.1685874 51.6416462))",,,,,,,,,,meadow,"[1703357441, 1703371257, 1703357566, 1703357455, 1703357411, 1703357487, 1703371185, 1703371401, 1703371291, 1703371068, 1703371435, 1703357502, 1703357441]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1672677 51.6401881, -0.1672235 51.640273, -0.1671242 51.6401606, -0.1670904 51.6401158, -0.1671183 51.6401074, -0.1671283 51.6401182, -0.167206 51.6402064, -0.1672677 51.6401881))",,,,,,,,,,meadow,"[1703285567, 1703285569, 1703285516, 1703371482, 1703371496, 1703285558, 1703285536, 1703285567]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1685391 51.6420233, -0.1685089 51.6420074, -0.1684788 51.6419821, -0.1685197 51.6419708, -0.1685264 51.6419779, -0.1685552 51.6419708, -0.168574 51.6419929, -0.1687765 51.6420191, -0.1688878 51.6421606, -0.1688717 51.6421647, -0.1687765 51.6420374, -0.1687054 51.6420549, -0.1687161 51.6420208, -0.1686169 51.6420066, -0.1685995 51.6420382, -0.1685391 51.6420233))",,,,,,,,,,meadow,"[1703316483, 1703371349, 1703371336, 1703371088, 1703371179, 1703371065, 1703371085, 1703371249, 1703371132, 1703316465, 1703316460, 1703316466, 1703316478, 1703316450, 1703316479, 1703316483]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1691607 51.6420682, -0.1688898 51.6421456, -0.168867 51.6421152, -0.1691299 51.6420411, -0.1691346 51.6420466, -0.1691748 51.6420349, -0.1691815 51.6420416, -0.1691533 51.6420507, -0.1691607 51.6420682))",,,,,,,,,,meadow,"[1703371377, 1703371076, 1703371177, 1703371452, 1703371152, 1703371484, 1703371201, 1703371306, 1703371377]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1686967 51.6418476, -0.1686692 51.6418094, -0.1687483 51.6417861, -0.168741 51.6417783, -0.1684826 51.641851, -0.1684496 51.6418059, -0.1684178 51.6418152, -0.1684494 51.6418627, -0.1683976 51.6418759, -0.1684083 51.6418905, -0.1686426 51.641824, -0.1686672 51.6418572, -0.1686967 51.6418476))",,,,,,,,,,meadow,"[1703371157, 1703371393, 1703371126, 1703357405, 1703357505, 1703357542, 1703357500, 1703357494, 1703371303, 1703371285, 1703371397, 1703371293, 1703371157]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1688682 51.6420029, -0.1687991 51.6420223, -0.1687874 51.6420061, -0.1688565 51.6419867, -0.1688682 51.6420029))",,,,,,,,,,meadow,"[1703371134, 1703371446, 1703371386, 1703371253, 1703371134]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1674622 51.6398452, -0.167426 51.6399218, -0.1673402 51.6400541, -0.167261 51.6400391, -0.1672409 51.6400774, -0.1672345 51.6400604, -0.1671958 51.6400143, -0.1672428 51.640001, -0.1672514 51.6400085, -0.1673016 51.6399922, -0.1672959 51.6399809, -0.1673643 51.6399609, -0.1673118 51.6398978, -0.1673538 51.639886, -0.1673594 51.6398928, -0.1674124 51.6398758, -0.1674058 51.6398662, -0.1674483 51.6398523, -0.1674501 51.6398469, -0.1674622 51.6398452))",,,,,,,,,,meadow,"[1703371244, 1703373962, 1703285559, 1703285546, 1703285533, 1703373991, 1703373989, 1703373964, 1703373995, 1703373977, 1703373958, 1703373987, 1703373981, 1703373979, 1703373961, 1703373985, 1703373983, 1703373993, 1703371239, 1703371244]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1673777 51.6396438, -0.1672369 51.6394682, -0.1671672 51.6394224, -0.1670907 51.6393958, -0.1666897 51.6393283, -0.1665529 51.63933, -0.1664497 51.6393458, -0.1665355 51.6395722, -0.1666495 51.6395822, -0.1667913 51.6396256, -0.166899 51.6395919, -0.1670117 51.639557, -0.1669888 51.6395298, -0.1670263 51.6395173, -0.167017 51.6395048, -0.1668346 51.6395581, -0.1668051 51.6395223, -0.1666347 51.6395697, -0.166565 51.6394757, -0.1667447 51.6394207, -0.1667756 51.6394582, -0.1669365 51.6394082, -0.1670049 51.6394965, -0.1671537 51.6394499, -0.1673174 51.6396604, -0.1673777 51.6396438))",,,,,,,,,,meadow,"[1703380652, 1703380704, 1703380614, 1703380585, 1703380696, 1703380601, 1703380718, 1703380605, 1703380576, 1703285525, 1703285521, 1703285544, 1703380578, 1703380627, 1703380717, 1703380664, 1703380592, 1703380639, 1703380566, 1703380584, 1703380571, 1703380651, 1703380611, 1703380672, 1703380630, 1703380652]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1613236 51.6397784, -0.1611707 51.6396211, -0.1611941 51.6396122, -0.1613236 51.6397459, -0.1613236 51.6397784))",,,,,,,,,,meadow,"[1704415966, 1704415948, 1704415967, 1704415979, 1704415966]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1599141 51.6373821, -0.1598738 51.637378, -0.1596271 51.6372173, -0.1594889 51.6371174, -0.1594554 51.6370808, -0.1594474 51.6370467, -0.1594621 51.6370067, -0.159501 51.6369726, -0.1595251 51.6369593, -0.1600388 51.636772, -0.160079 51.6367637, -0.1601233 51.6367654, -0.1601622 51.6368378, -0.159969 51.6373255, -0.1599141 51.6373821))",,,,,,,,,,meadow,"[1704518897, 1704518834, 1704518857, 1704518910, 1704518889, 1704518878, 1704518903, 1704518803, 1704518833, 1704518800, 1704518837, 1704518893, 1704518869, 1704518828, 1704518897]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1623911 51.6369751, -0.1623924 51.6369118, -0.162375 51.6369027, -0.1622798 51.6369218, -0.1622704 51.6369393, -0.1623508 51.6369843, -0.1623911 51.6369751))",,,,,,,,,,meadow,"[1704527279, 1704527277, 1704527282, 1704527348, 1704527326, 1704527307, 1704527279]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1565726 51.6357212, -0.1564828 51.6357087, -0.1565244 51.6356737, -0.1565726 51.6357212))",,,,,,,,,,meadow,"[1704546714, 1704546689, 1704546664, 1704546714]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1560442 51.6358477, -0.1560302 51.6357807, -0.1560831 51.6357578, -0.1561757 51.6357536, -0.15645 51.6357549, -0.1566129 51.6357844, -0.156755 51.6358444, -0.156869 51.6359251, -0.15702 51.6360554, -0.1571667 51.6362098, -0.1572466 51.6363176, -0.1572915 51.636412, -0.1571761 51.6364561, -0.1567732 51.636201, -0.1564291 51.6360241, -0.1560442 51.6358477))",,,,,,,,,,meadow,"[1704546669, 1704546700, 1704546650, 1704546668, 1704546666, 1704546676, 1704546660, 1704546688, 1704546674, 1704546670, 1704546652, 1704546659, 1704546696, 1704546711, 1704546698, 1704546669]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1625802 51.636648, -0.162438 51.6365656, -0.1626003 51.6365889, -0.1626097 51.6366055, -0.1626057 51.6366247, -0.1625802 51.636648))",,,,,,,,,,meadow,"[1704579619, 1704579631, 1704579620, 1704579624, 1704579617, 1704579619]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1620209 51.6365148, -0.1618573 51.636489, -0.1617755 51.6364715, -0.1617221 51.6364579, -0.1617125 51.6364715, -0.1618694 51.6365165, -0.1619619 51.6365473, -0.1619995 51.6365448, -0.1620209 51.6365148))",,,,,,,,,,meadow,"[1704579634, 1704579633, 1704579630, 1704579623, 1704577755, 1704579632, 1704579615, 1704579635, 1704579634]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1576288 51.636757, -0.1575416 51.6366746, -0.1574943 51.6366194, -0.1574639 51.6365839, -0.1574263 51.6365206, -0.1573599 51.6365286, -0.1573169 51.6364586, -0.1572928 51.6364761, -0.1572915 51.6365152, -0.1573049 51.6365577, -0.1574221 51.6366384, -0.157488 51.6366838, -0.1575993 51.6367695, -0.1576288 51.636757))",,,,,,,,,,meadow,"[1704792327, 1704792306, 1704792326, 1704792314, 1704792322, 1704792324, 1704792308, 1704792311, 1704792312, 1704792319, 2506656656, 1704792302, 1704792333, 1704792327]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1662752 51.6392626, -0.1661639 51.6391211, -0.166243 51.6391611, -0.1662725 51.6391819, -0.1662886 51.6392202, -0.1662752 51.6392626))",,,,,,,,,,meadow,"[1705183570, 1705183757, 1705183782, 1705183775, 1705183635, 1705183570]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1564077 51.6351418, -0.1564405 51.6350194, -0.1563259 51.634888, -0.1561073 51.6349562, -0.1560872 51.6350445, -0.1558846 51.6350278, -0.1559048 51.6348863, -0.1557398 51.6348788, -0.1557519 51.6348305, -0.1556164 51.6346707, -0.1559403 51.6345649, -0.1562977 51.6344077, -0.1561837 51.6343336, -0.1555111 51.6345599, -0.1553522 51.6350386, -0.1564077 51.6351418))",,,,,,,,,,meadow,"[1705712305, 1705712298, 1705712300, 1705712324, 1705712418, 1705712437, 1705712347, 1705712409, 1705712359, 1705712453, 1705712407, 1705712423, 1705712307, 1705712400, 1705712304, 1705712305]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1573579 51.6350979, -0.1571663 51.6349714, -0.1571497 51.6350016, -0.1571265 51.6350486, -0.1572613 51.6350776, -0.1573579 51.6350979))",,,,,,,,,,meadow,"[1705729871, 1705729805, 1705729924, 1705729909, 1705729844, 1705729871]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1574524 51.6352317, -0.1574618 51.6351635, -0.1573666 51.6351044, -0.1572485 51.6353075, -0.1572928 51.6353283, -0.1574524 51.6352317))",,,,,,,,,,meadow,"[1705729803, 1705729796, 1705729920, 1705729922, 1705729800, 1705729803]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1533305 51.6321123, -0.1529442 51.6313515, -0.1528128 51.6313798, -0.1530676 51.631816, -0.1528506 51.6318644, -0.153014 51.6319808, -0.1527538 51.632109, -0.1523815 51.6321509, -0.1520779 51.6320707, -0.1520055 51.6320907, -0.152019 51.6322023, -0.1512008 51.6322372, -0.1512169 51.6323238, -0.1533305 51.6321123))",,,,,,,,,,meadow,"[1705820737, 1705820776, 1705820803, 1705820798, 1705820780, 1705820789, 1705820783, 1705820808, 1705820741, 1705820771, 1705820734, 1705820794, 1705820768, 1705820737]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1515924 51.6318926, -0.1515843 51.6318476, -0.1515522 51.631841, -0.1515227 51.6318143, -0.151461 51.631811, -0.1514771 51.6318476, -0.151528 51.6318809, -0.1515924 51.6318926))",,,,,,,,,,meadow,"[1705830578, 1705830825, 1705830699, 1705830761, 1705830541, 1705830898, 1705830587, 1705830578]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1524319 51.6317943, -0.1523702 51.6317694, -0.1523434 51.6317278, -0.1523166 51.6315163, -0.1523327 51.6314897, -0.1523649 51.6314797, -0.1524105 51.6314764, -0.152448 51.6315013, -0.1525553 51.6317078, -0.1525392 51.6317577, -0.1525017 51.631786, -0.1524319 51.6317943))",,,,,,,,,,meadow,"[1705830695, 1705830873, 1705830703, 1705830734, 1705830865, 1705830860, 1705830567, 1705830872, 1705830641, 1705830749, 1705830818, 1705830695]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1514133 51.63151, -0.1514053 51.6314443, -0.1511025 51.6314586, -0.151109 51.6315117, -0.1512104 51.6315069, -0.1512119 51.6315195, -0.1514133 51.63151))",,,,,,,,,,meadow,"[1705830831, 1705830592, 1705830745, 1705830706, 1705830637, 1705830558, 1705830831]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1516287 51.6318885, -0.1516219 51.6318476, -0.1516568 51.631826, -0.1516684 51.6317987, -0.1516326 51.6317677, -0.1516058 51.6317627, -0.1516085 51.6317144, -0.1516675 51.6317344, -0.1517242 51.6317762, -0.1517346 51.6318343, -0.1517131 51.6318593, -0.1516782 51.6318793, -0.1516287 51.6318885))",,,,,,,,,,meadow,"[1705830701, 1705830757, 1705830764, 1705830651, 1705830654, 1705830738, 1705830624, 1705830571, 1705830789, 1705830867, 1705830870, 1705830697, 1705830701]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.151874 51.6319792, -0.1517802 51.6319175, -0.1516809 51.6319592, -0.1516246 51.6319625, -0.1516326 51.6319891, -0.151874 51.6319792))",,,,,,,,,,meadow,"[1705854958, 1705854847, 1705854780, 1705854968, 1705854964, 1705854958]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1522871 51.6319076, -0.1523246 51.6318726, -0.152271 51.6318376, -0.1522361 51.6318876, -0.1522871 51.6319076))",,,,,,,,,,meadow,"[1705854996, 1705854928, 1705854926, 1705854783, 1705854996]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.151402 51.6319259, -0.1513483 51.6318776, -0.1513215 51.631816, -0.151343 51.6317261, -0.1513966 51.6316828, -0.151292 51.6316878, -0.1513269 51.6319792, -0.151402 51.6319259))",,,,,,,,,,meadow,"[1705854995, 1705854944, 1705854857, 1705854815, 1705854785, 1705854909, 1705854956, 1705854995]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1519236 51.6313681, -0.1519102 51.6312208, -0.1518298 51.6312982, -0.1519236 51.6313681))",,,,,,,,,,meadow,"[1705854931, 1705854852, 1705854975, 1705854931]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.151925 51.6313981, -0.1518204 51.6313232, -0.1517238 51.6314064, -0.151925 51.6313981))",,,,,,,,,,meadow,"[1705854910, 1705854803, 1705854791, 1705854910]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1526606 51.6319061, -0.152609 51.6318526, -0.1525151 51.6318776, -0.1525151 51.6319159, -0.1526606 51.6319061))",,,,,,,,,,meadow,"[1705854966, 1705854811, 1705854941, 1705854868, 1705854966]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1524829 51.6319259, -0.1524748 51.6318876, -0.1523515 51.6318709, -0.1523434 51.6319342, -0.1524829 51.6319259))",,,,,,,,,,meadow,"[1705854824, 1705854924, 1705854866, 1705854899, 1705854824]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1516004 51.6319908, -0.1515897 51.6319642, -0.1515066 51.6319558, -0.1514422 51.6319292, -0.1513456 51.6319958, -0.1516004 51.6319908))",,,,,,,,,,meadow,"[1705854945, 1705854897, 1705854874, 1705854901, 1705854850, 1705854945]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1518043 51.6312999, -0.1517064 51.6312258, -0.1517131 51.6313823, -0.1518043 51.6312999))",,,,,,,,,,meadow,"[1705854993, 1705854842, 1705854849, 1705854993]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1527082 51.6318793, -0.1526787 51.6318576, -0.1527189 51.6318193, -0.1527753 51.6318576, -0.1527082 51.6318793))",,,,,,,,,,meadow,"[1705854912, 1705854959, 1705854822, 1705854794, 1705854912]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1519009 51.6312016, -0.1517064 51.6312058, -0.151815 51.6312874, -0.1519009 51.6312016))",,,,,,,,,,meadow,"[1705854845, 1705854906, 1705854998, 1705854845]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1588364 51.6296151, -0.1587586 51.6296384, -0.1587009 51.6296334, -0.1587344 51.6297083, -0.1588954 51.6296517, -0.1588364 51.6296151))",,,,,,,,,,meadow,"[1708177843, 1708177851, 1708177869, 1708177866, 1708177867, 1708177843]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.158717 51.6297166, -0.1586929 51.6296617, -0.1584823 51.6294527, -0.1584139 51.6294794, -0.1584397 51.6295063, -0.158536 51.6296201, -0.1586076 51.6297559, -0.158717 51.6297166))",,,,,,,,,,meadow,"[1708177876, 1708177873, 1708177845, 1708177848, 1708177842, 1708177855, 1708177853, 1708177876]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1582426 51.6356216, -0.1582396 51.6356477, -0.1581685 51.6356418, -0.1581162 51.6356626, -0.1580505 51.6357101, -0.1580558 51.6356169, -0.1580867 51.6355902, -0.1581739 51.6356169, -0.1582426 51.6356216))",,,,,,,,,,meadow,"[1708345823, 1708345784, 1708345824, 1708345825, 1708345794, 1708345806, 1708345799, 1708345781, 1708345823]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.158021 51.6356493, -0.158029 51.6356119, -0.1580384 51.6356002, -0.1579553 51.6355694, -0.1579097 51.6355386, -0.1578989 51.6355428, -0.1579942 51.6356227, -0.1580009 51.6356485, -0.158021 51.6356493))",,,,,,,,,,meadow,"[1708345833, 1708345802, 1708345797, 1708345835, 1708345812, 1708345803, 1708345818, 1708345813, 1708345833]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1576884 51.6360655, -0.1572579 51.6356377, -0.1571372 51.6355844, -0.1570245 51.6356743, -0.1568623 51.6357475, -0.1568421 51.6357908, -0.1571895 51.6361271, -0.1572311 51.6362062, -0.1576884 51.6360655))",,,,,,,,,,meadow,"[1708345791, 1708345821, 1708345839, 1708345816, 1708345843, 1708345826, 1708345831, 1708345792, 1708345791]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1579794 51.6356518, -0.1577621 51.6354562, -0.1575596 51.6353289, -0.1575784 51.6353147, -0.1576642 51.6353155, -0.1580626 51.6355794, -0.1580545 51.6355911, -0.1579673 51.6355586, -0.1579097 51.6355161, -0.1578681 51.6355295, -0.1579807 51.6356368, -0.1579794 51.6356518))",,,,,,,,,,meadow,"[1708345790, 1708345783, 1708345846, 1708345804, 1708345837, 1708345844, 1708345828, 1708345810, 1708345801, 1708345777, 1708345814, 1708345790]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.162274 51.6419377, -0.1622817 51.6417546, -0.1622455 51.6417421, -0.1620997 51.6417552, -0.161819 51.6416123, -0.1618144 51.6415493, -0.1616481 51.6415859, -0.1619853 51.6418362, -0.1621248 51.6418553, -0.1622294 51.6419352, -0.162274 51.6419377))",,,,,,,,,,meadow,"[1708660978, 1708661002, 1708661008, 1708660970, 1708660916, 1708661055, 1708651906, 1708651878, 1708651862, 1708651910, 1708660978]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.1626545 51.6421799, -0.1625606 51.6421874, -0.1624534 51.6421699, -0.1623801 51.6421473, -0.1623612 51.6420789, -0.1623984 51.6420717, -0.1623635 51.6419427, -0.1623156 51.64194, -0.1623474 51.6417197, -0.1624216 51.6418018, -0.1624493 51.6419177, -0.162499 51.6420201, -0.1625674 51.6420101, -0.1625785 51.642034, -0.1626103 51.6420301, -0.1626545 51.6421799))",,,,,,,,,,meadow,"[1708660998, 1708660937, 1708661000, 1708661017, 1708651844, 1708651883, 1708651882, 1708660974, 1708660933, 1708661012, 1708661005, 1708660953, 1708660976, 1708660943, 1708661034, 1708660998]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
