geometry,barrier,foot,source,name,access,note,ref,operator,natural,landuse,nodes,leisure,wikidata,wikipedia,addr:city,managed,contact:website,source:landuse,meadow,surface,boundary,protection_title,website,fixme,crop,source:name,landcover,name:en,abandoned:leisure,dog,fence_type,area,attraction,description,tourism,zoo,ways,type,operator:wikidata
"POLYGON ((-0.4268334 51.5444513, -0.4270391 51.5452756, -0.4276849 51.5452503, -0.4308349 51.5452236, -0.4314681 51.5452484, -0.431185 51.5444406, -0.4306547 51.5434034, -0.4265091 51.5436169, -0.4268334 51.5444513))",,,,,,,,,,meadow,"[292166290, 292166291, 288357427, 288357428, 292166147, 292166146, 288357077, 288357078, 292166290]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.4239942 51.5443001, -0.4217455 51.5443268, -0.4222261 51.5471665, -0.4228183 51.5471024, -0.4244577 51.5469316, -0.4256164 51.5468142, -0.4249641 51.545357, -0.4270391 51.5452756, -0.4268334 51.5444513, -0.4265091 51.5436169, -0.4265005 51.5429229, -0.4240269 51.5430616, -0.4239942 51.5443001))",,,,,,,,,,meadow,"[288357224, 288356962, 288356833, 288356834, 288356835, 288356836, 288357426, 292166291, 292166290, 288357078, 288357079, 288356983, 288357224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.4663186 51.5542875, -0.4664284 51.5542202, -0.4666762 51.5541553, -0.4669405 51.5541727, -0.467157 51.5541743, -0.4673669 51.5541759, -0.4677746 51.5541759, -0.4680139 51.5541812, -0.467987 51.5544206, -0.4679478 51.5547325, -0.4679197 51.5550381, -0.468428 51.5550546, -0.4680375 51.5553211, -0.46778 51.5553958, -0.4676289 51.5554258, -0.467437 51.5554398, -0.4671504 51.5554462, -0.4665785 51.5554689, -0.466208 51.5554195, -0.4657718 51.5553308, -0.4655037 51.5552226, -0.4654713 51.5551086, -0.4652771 51.5549189, -0.4649939 51.5547112, -0.464685 51.5544891, -0.4645614 51.5542591, -0.4646301 51.554051, -0.4649047 51.5539603, -0.4653647 51.553897, -0.4654421 51.5537638, -0.4655095 51.5539231, -0.4656887 51.5539871, -0.4661216 51.554211, -0.4663186 51.5542875))",,,,,,former ski slope,,,,meadow,"[299163103, 299163105, 299163106, 1423079733, 7833564115, 299163108, 299163109, 299163834, 299161627, 299163112, 299161493, 293801890, 293801889, 293802163, 293802162, 293802161, 293802159, 293802158, 293802157, 293802156, 293802155, 293802154, 293802153, 293802152, 293802151, 293802150, 293802149, 293803601, 1423079662, 1423079669, 7833564130, 7833564129, 299163116, 299163103]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.0676476 51.436754, -0.0678675 51.436303, -0.0677509 51.4362619, -0.0677023 51.4362427, -0.0676988 51.436238, -0.067681 51.4363024, -0.0676298 51.4363157, -0.0675964 51.4363147, -0.0673925 51.436341, -0.0674048 51.4364207, -0.0674325 51.4365698, -0.0674248 51.4365991, -0.0674294 51.4366188, -0.067441 51.4366547, -0.0674694 51.4366567, -0.0675033 51.4366878, -0.067551 51.4367051, -0.0675879 51.4367262, -0.0676476 51.436754))",,,,,,,,,,meadow,"[310097947, 310097943, 310097941, 310097970, 310097971, 310097972, 310097973, 310097952, 310097956, 310097960, 310097965, 310097977, 310097978, 310097979, 310097980, 310097974, 310097975, 310097976, 310097947]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((0.1162537 51.3706604, 0.1167049 51.3711426, 0.1168228 51.3711274, 0.1172131 51.3709802, 0.1173473 51.3709954, 0.1174814 51.3710893, 0.1176563 51.3713609, 0.11814 51.3717289, 0.1186808 51.3722263, 0.1188596 51.3723608, 0.1188596 51.3724369, 0.1187255 51.3725308, 0.1185954 51.3725994, 0.1185263 51.37264, 0.1185751 51.3727364, 0.1187336 51.3727593, 0.1188678 51.3727694, 0.1190507 51.3727872, 0.1192011 51.3727948, 0.1192702 51.3727745, 0.1192824 51.3727288, 0.1192743 51.372678, 0.1192743 51.3726044, 0.1193597 51.3723811, 0.1193963 51.3723456, 0.1193516 51.3722644, 0.1192377 51.3721273, 0.1191808 51.3719167, 0.1192093 51.3717923, 0.1193678 51.3717263, 0.1194613 51.3716984, 0.1195304 51.3716375, 0.1194898 51.3715385, 0.1194003 51.3713761, 0.1193231 51.3712111, 0.1189409 51.3710233, 0.1186076 51.3709802, 0.1177742 51.3710055, 0.117579 51.3710055, 0.1174855 51.3709852, 0.1173473 51.3708533, 0.1170505 51.3706985, 0.1162537 51.3706604))",,,,,,,,,,meadow,"[312826575, 3797185208, 3797185211, 3797185210, 3797185209, 3797185216, 3797185215, 3797185214, 3797185217, 3797185218, 3797185219, 3797185222, 3797185223, 3797185224, 3797185225, 3797185221, 3797185220, 312826576, 3797185226, 3797185227, 312826577, 3797185233, 3797185228, 3797185232, 3797185231, 3797185254, 3797185230, 3797185229, 3797185236, 3797185237, 3797185238, 3797185239, 3797185235, 3797185234, 312826578, 3797185240, 312826579, 3797185241, 3797185213, 312826581, 3797185212, 312826582, 312826575]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((0.0976037 51.3490605, 0.0999383 51.3491998, 0.1025303 51.3494143, 0.1033371 51.3478275, 0.10126 51.3476023, 0.1011227 51.3478275, 0.0984448 51.3478275, 0.0979041 51.3477846, 0.0975865 51.3482563, 0.0976037 51.3490605))",,,Bing,,,,,,,meadow,"[312827350, 312827351, 312827352, 312827353, 312827354, 312827355, 312827356, 312827357, 312827358, 312827350]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((0.078217 51.4598674, 0.0808139 51.4601852, 0.0823711 51.4603703, 0.0821004 51.4611654, 0.0821091 51.4612823, 0.0821266 51.4613245, 0.0821601 51.46135, 0.0820689 51.461406, 0.0810432 51.4613909, 0.0796948 51.4613968, 0.0768983 51.4610416, 0.078155 51.4599226, 0.078217 51.4598674))",,,,Falconwood Field,,,,,,meadow,"[343159791, 455996810, 8557406464, 9872547707, 9872547708, 9872547709, 9872547710, 9872547712, 8557406465, 8557406466, 343159797, 8557406469, 343159791]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((0.0808736 51.4755261, 0.0817233 51.476066, 0.0820065 51.4758682, 0.0823241 51.476066, 0.08247 51.4760233, 0.0828477 51.4765258, 0.0826932 51.4768145, 0.082779 51.4769267, 0.0825559 51.4771192, 0.0816975 51.4774666, 0.0817748 51.4777339, 0.0808392 51.478044, 0.0807448 51.4779691, 0.0797492 51.4784342, 0.0794402 51.478477, 0.078805 51.4776344, 0.0781184 51.4767236, 0.0780841 51.4766113, 0.0808736 51.4755261))",,,,Dot Hill,,,,,,meadow,"[347348865, 347348867, 347348869, 347348872, 347348875, 347348877, 347348879, 347348881, 347348883, 347348885, 347348887, 347348889, 347348893, 347348895, 347348897, 5748128626, 347348899, 347348901, 347348865]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((0.0582238 51.4705177, 0.0581489 51.4703157, 0.0580629 51.4702175, 0.0578721 51.4701639, 0.0547818 51.469686, 0.0548486 51.4698769, 0.0550155 51.4705978, 0.0559335 51.4704509, 0.0560889 51.4708528, 0.0582238 51.4705177))",,,,,,,,,,meadow,"[34815182, 10291804002, 34815183, 10291804003, 34815141, 10291804001, 369847166, 369847167, 369847169, 34815182]",,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-0.4487764 51.5898585, -0.45037 51.5896051, -0.4495326 51.5872025, -0.4483482 51.5872185, -0.4476014 51.5871119, -0.445799 51.5869892, -0.4472749 51.5892924, -0.4487764 51.5898585))",,,,,,,,,,meadow,"[387811691, 60365037, 387810878, 387810876, 387810875, 387810874, 387811063, 387811691]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
