,geo_code,Names,Borough,Population,Hectares,Square Kilometres,Population per hectare,pop_density,Unnamed: 8,Census population (2011),Population per hectare.1
532,E05000557,Belmont,Sutton,11360,233.7,2.3,48.6,4861.0,,10048,43.0
533,E05000558,Carshalton Central,Sutton,10935,202.7,2.0,53.9,5395.0,,10039,49.5
534,E05000559,Carshalton South and Clockhouse,Sutton,11473,705.6,7.1,16.3,1626.0,,9715,13.8
535,E05000560,Cheam,Sutton,10973,393.8,3.9,27.9,2786.0,,10285,26.1
536,E05000561,Nonsuch,Sutton,11449,190.6,1.9,60.1,6007.0,,10641,55.8
537,E05000562,St. Helier,Sutton,11597,150.0,1.5,77.3,7731.0,,11949,79.7
538,E05000563,Stonecot,Sutton,12512,198.1,2.0,63.2,6316.0,,10712,54.1
539,E05000564,Sutton Central,Sutton,11331,131.0,1.3,86.5,8650.0,,10993,83.9
540,E05000565,Sutton North,Sutton,14326,187.5,1.9,76.4,7641.0,,10355,55.2
541,E05000566,Sutton South,Sutton,12305,127.2,1.3,96.7,9674.0,,9599,75.5
542,E05000567,Sutton West,Sutton,10691,177.9,1.8,60.1,6010.0,,10536,59.2
543,E05000568,The Wrythe,Sutton,11761,148.2,1.5,79.4,7936.0,,10163,68.6
544,E05000569,Wallington North,Sutton,11763,161.7,1.6,72.7,7275.0,,10650,65.9
545,E05000570,Wallington South,Sutton,12247,171.9,1.7,71.2,7124.0,,10200,59.3
546,E05000571,Wandle Valley,Sutton,11416,205.5,2.1,55.6,5555.0,,11630,56.6
547,E05000572,Worcester Park,Sutton,14792,195.7,2.0,75.6,7559.0,,11655,59.6
548,E05000573,Bethnal Green North,Tower Hamlets,13448,82.3,0.8,163.4,16340.0,,13683,166.3
549,E05000574,Bethnal Green South,Tower Hamlets,15299,88.1,0.9,173.7,17365.0,,14166,160.8
550,E05000575,Blackwall and Cubitt Town,Tower Hamlets,15082,296.7,3.0,50.8,5083.0,,19461,65.6
551,E05000576,Bow East,Tower Hamlets,38110,185.8,1.9,205.1,20511.0,,14781,79.6
552,E05000577,Bow West,Tower Hamlets,20700,134.7,1.3,153.7,15367.0,,12939,96.1
553,E05000578,Bromley-by-Bow,Tower Hamlets,13746,107.4,1.1,128.0,12799.0,,14480,134.8
554,E05000579,East India and Lansbury,Tower Hamlets,21852,122.4,1.2,178.5,17853.0,,14859,121.4
555,E05000580,Limehouse,Tower Hamlets,22473,114.2,1.1,196.8,19679.0,,15986,140.0
556,E05000581,Mile End and Globe Town,Tower Hamlets,19115,90.0,0.9,212.4,21239.0,,15190,168.8
557,E05000582,Mile End East,Tower Hamlets,15571,107.0,1.1,145.5,14552.0,,13354,124.8
558,E05000583,Millwall,Tower Hamlets,17854,245.8,2.5,72.6,7264.0,,23084,93.9
559,E05000584,St. Dunstan's and Stepney Green,Tower Hamlets,37193,101.8,1.0,365.4,36535.0,,16238,159.5
560,E05000585,St. Katherine's and Wapping,Tower Hamlets,18693,150.6,1.5,124.1,12412.0,,12411,82.4
561,E05000586,Shadwell,Tower Hamlets,16015,96.3,1.0,166.3,16630.0,,15110,156.9
562,E05000587,Spitalfields and Banglatown,Tower Hamlets,15653,63.8,0.6,245.3,24534.0,,10286,161.2
563,E05000588,Weavers,Tower Hamlets,11501,77.9,0.8,147.6,14764.0,,13206,169.5
564,E05000589,Whitechapel,Tower Hamlets,15015,91.8,0.9,163.6,16356.0,,14862,161.9
